
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-15-0.tsp ,154.6,19.38,0,230.42,404.4,38.2295,4.79228,0,56.9782
grubhub-15-1.tsp ,136.26,12.66,0,154.3,303.22,44.9377,4.17519,0,50.8871
grubhub-15-2.tsp ,143.74,16.5,0,242.56,402.8,35.6852,4.09633,0,60.2185
grubhub-15-3.tsp ,149.74,17.16,0,229.32,396.22,37.7921,4.33093,0,57.8769
grubhub-15-4.tsp ,130.3,7.48,0,207.94,345.72,37.6895,2.1636,0,60.1469

Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-15-0.tsp ,126.22,47.76,0,196.4,370.38,34.0785,12.8949,0,53.0266
grubhub-15-1.tsp ,120.74,28.18,0,139.2,288.12,41.9062,9.78065,0,48.3132
grubhub-15-2.tsp ,130.9,30.62,0,197.1,358.62,36.501,8.53829,0,54.9607
grubhub-15-3.tsp ,126.32,40.58,0,209.68,376.58,33.544,10.7759,0,55.6801
grubhub-15-4.tsp ,103.7,34.08,0,180.64,318.42,32.567,10.7028,0,56.7301

Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-15-0.tsp ,119.66,53.6,0,172.6,345.86,34.5978,15.4976,0,49.9046
grubhub-15-1.tsp ,108.24,40.68,0,127.06,275.98,39.2202,14.7402,0,46.0396
grubhub-15-2.tsp ,120.36,39.88,0,183.74,343.98,34.9904,11.5937,0,53.4159
grubhub-15-3.tsp ,117.7,40.58,0,179.6,337.88,34.8349,12.0102,0,53.155
grubhub-15-4.tsp ,83.46,50.52,0,176.18,310.16,26.9087,16.2884,0,56.8029

Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-15-0.tsp ,99.2,62.96,0,132.56,294.72,33.6591,21.3626,0,44.9783
grubhub-15-1.tsp ,80.94,77.4,0,103.46,261.8,30.9167,29.5646,0,39.5187
grubhub-15-2.tsp ,96.44,64.5,0,151.38,312.32,30.8786,20.6519,0,48.4695
grubhub-15-3.tsp ,94.72,57.04,0,159.8,311.56,30.4018,18.3079,0,51.2903
grubhub-15-4.tsp ,68.86,65.12,0,163.22,297.2,23.1696,21.9112,0,54.9192
