
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-12-1.tsp ,2.80325,1.38407,0.715772,2.94927,17.6833,2.65894,28.1946,9.9425,4.90897,2.53868,10.4604,62.7188,9.43067
grubhub-12-2.tsp ,2.4878,1.56732,0.945854,1.91122,13.2392,4.67553,24.8269,10.0206,6.31298,3.80979,7.69818,53.326,18.8325
grubhub-12-4.tsp ,2.33886,1.51626,0.915285,3.46927,22.5261,-5.75928e-15,30.7658,7.60216,4.9284,2.97501,11.2764,73.218,-1.87198e-14
grubhub-13-9.tsp ,2.5161,2.02683,1.02293,2.53024,12.8341,7.05553,27.9857,8.99066,7.24238,3.65518,9.04121,45.8594,25.2112
grubhub-14-1.tsp ,2.52683,2.34959,1.68862,2.98976,11.7337,8.09902,29.3875,8.59832,7.99522,5.74605,10.1736,39.9274,27.5594

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-12-1.tsp ,1.36976,2.34618,1.58423,2.38293,7.57927,3.25041,18.5128,7.39898,12.6733,8.55749,12.8718,40.9408,17.5577
grubhub-12-2.tsp ,1.4813,1.63122,0.945854,1.79805,13.6811,4.37366,23.9112,6.195,6.82198,3.95569,7.51969,57.2164,18.2912
grubhub-12-4.tsp ,1.71236,1.54797,0.739675,2.39659,20.3224,2.77569,29.4947,5.80564,5.24829,2.50782,8.12547,68.902,9.41081
grubhub-13-9.tsp ,1.52569,2.69203,1.39593,1.95171,6.45455,12.1872,26.2072,5.82166,10.2721,5.32654,7.44723,24.629,46.5035
grubhub-14-1.tsp ,1.92862,2.48813,1.68862,1.85659,13.6473,9.68049,31.2898,6.16374,7.9519,5.39671,5.93352,43.6159,30.9382
