 1A
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sfsarp-10-10-1,0.733011,1.62253,0.475713,1.18444,4.0157,18.2537,40.4047,11.8463,29.4953
 sfsarp-10-10-2,1.07857,1.59553,0.0967148,1.69868,4.46951,24.1318,35.6982,2.16388,38.0061
 sfsarp-10-10-3,0.489733,1.97519,0.791495,1.06295,4.31937,11.3381,45.7287,18.3243,24.6089
 sfsarp-10-10-4,0.870177,1.72653,0.220597,1.23953,4.05683,21.4497,42.5587,5.43767,30.554
 sfsarp-10-10-5,1.80679,1.67312,0.0954106,2.13901,5.71434,31.6186,29.2793,1.66967,37.4324
 sfsarp-10-15-1,0.744962,2.13707,0.500945,1.19209,4.57506,16.2831,46.7112,10.9495,26.0562
 sfsarp-10-15-2,1.13579,1.97739,0.485395,0.837503,4.43608,25.6034,44.5753,10.942,18.8794
 sfsarp-10-15-3,0.863301,1.47504,0.352325,0.960402,3.65107,23.6452,40.4003,9.6499,26.3047
 sfsarp-10-15-4,1.73608,2.07235,0.0878335,1.44304,5.3393,32.5151,38.8131,1.64504,27.0267
 sfsarp-10-15-5,0.996633,1.22804,0.0896355,1.10145,3.41576,29.1775,35.9522,2.62417,32.2462
 sfsarp-10-20-1,1.25496,2.07789,0.369987,1.35143,5.05427,24.8298,41.1116,7.32029,26.7384
 sfsarp-10-20-2,1.42535,2.59469,0.187205,1.07687,5.28411,26.9743,49.1035,3.54278,20.3794
 sfsarp-10-20-3,1.43142,1.71329,0.658868,1.49699,5.30058,27.005,32.3227,12.4301,28.2421
 sfsarp-10-20-4,1.79175,1.35222,0.107367,1.22379,4.47513,40.038,30.2164,2.3992,27.3465
 sfsarp-10-20-5,2.31391,1.62916,0.379312,1.58135,5.90373,39.1941,27.5954,6.42495,26.7856
 sfsarp-30-15-1,2.58753,3.83075,1.03281,3.57279,11.0239,23.472,34.7496,9.36883,32.4096
 sfsarp-30-15-2,3.93989,3.54898,0.794301,3.92165,12.2048,32.2815,29.0785,6.50809,32.1319
 sfsarp-30-15-3,4.00231,3.19266,0.531802,3.71944,11.4462,34.9662,27.8927,4.6461,32.495
 sfsarp-30-15-4,3.16881,4.30601,2.41925,3.2076,13.1017,24.1863,32.8661,18.4652,24.4824
 sfsarp-30-15-5,3.22206,3.71569,1.042,3.52444,11.5042,28.0077,32.2986,9.05755,30.6361
 sfsarp-30-20-1,3.01201,3.55305,1.04072,3.89346,11.4992,26.1931,30.8981,9.05034,33.8584
 sfsarp-30-20-2,3.36957,3.53466,1.17437,3.36486,11.4435,29.4454,30.8881,10.2624,29.4042
 sfsarp-30-20-3,4.08477,3.17454,0.59606,3.70815,11.5635,35.3246,27.4531,5.15466,32.0676
 sfsarp-30-20-4,5.25284,3.83125,0.420759,3.90671,13.4116,39.1665,28.5668,3.13729,29.1294
 sfsarp-30-20-5,3.27765,3.91669,1.03494,3.27748,11.5068,28.4846,34.0382,8.99418,28.4831
 sfsarp-30-30-1,3.10173,4.13607,0.971008,3.09546,11.3043,27.4386,36.5885,8.58975,27.3831
 sfsarp-30-30-2,2.10568,4.11349,1.63428,3.23556,11.089,18.9889,37.0952,14.7378,29.1781
 sfsarp-30-30-3,4.65326,4.33943,0.920284,3.759,13.672,34.035,31.7396,6.73117,27.4942
 sfsarp-30-30-4,3.69047,3.28033,1.07089,3.45075,11.4924,32.1121,28.5434,9.31819,30.0263
 sfsarp-30-30-5,3.40481,3.3979,0.695633,2.98718,10.4855,32.4716,32.4056,6.63423,28.4886
 sfsarp-5-15-1,0.837413,1.1031,0.107172,0.44177,2.48946,33.6384,44.311,4.30502,17.7456
 sfsarp-5-15-2,0.483355,0.842364,0,0.490879,1.8166,26.6077,46.3704,0,27.0219
 sfsarp-5-15-3,0.851795,1.40004,0.0882254,0.496657,2.83672,30.0275,49.3542,3.11013,17.5082
 sfsarp-5-15-4,0.601356,1.12455,0.125745,0.648158,2.49981,24.0561,44.9854,5.03019,25.9283
 sfsarp-5-15-5,0.997164,1.23882,0,0.434903,2.67089,37.3345,46.3824,0,16.2831
 sfsarp-5-20-1,0.780496,0.86567,0.238514,0.424995,2.30968,33.7925,37.4802,10.3267,18.4006
 sfsarp-5-20-2,0.949339,1.0711,0,0.886876,2.90731,32.6535,36.8415,0,30.505
 sfsarp-5-20-3,0.856626,0.677155,0.0841479,0.650087,2.26802,37.7698,29.8567,3.7102,28.6633
 sfsarp-5-20-4,0.705245,1.51427,0.188593,0.383884,2.79199,25.2595,54.2362,6.75478,13.7495
 sfsarp-5-20-5,0.854978,1.16172,0.0994951,0.46992,2.58612,33.0603,44.9215,3.84728,18.1709
 sfsarp-5-30-1,0.523595,0.751982,0,0.575199,1.85078,28.2906,40.6306,0,31.0788
 sfsarp-5-30-2,0.965218,0.442221,0,0.559227,1.96667,49.0789,22.4858,0,28.4353
 sfsarp-5-30-3,0.898958,1.6059,0.178064,0.525015,3.20794,28.023,50.0602,5.55074,16.3661
 sfsarp-5-30-4,0.967952,1.51463,0,0.954121,3.4367,28.1651,44.0722,0,27.7627
 sfsarp-5-30-5,0.490455,0.582086,0,0.474358,1.5469,31.7057,37.6292,0,30.6651
