 1A
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sarp-20-10-A-1,2.70813,0,0,4.88374,7.59187,35.6714,0,0,64.3286
 sarp-20-10-A-2,1.36016,2.9622,1.33821,3.73293,9.3935,14.4798,31.5345,14.2461,39.7395
 sarp-20-10-B-1,1.71382,3.16138,1.60163,4.95407,11.4309,14.9929,27.6565,14.0114,43.3393
 sarp-20-10-B-2,1.58902,3.74919,1.79228,4.51423,11.6447,13.6459,32.1965,15.3913,38.7663
 sarp-20-10-C-1,3.0248,5.33821,5.49065,3.86748,17.7211,17.0689,30.1234,30.9836,21.8241
 sarp-20-10-C-2,3.51829,4.9752,4.32154,3.08902,15.9041,22.122,31.2826,27.1726,19.4229
 sarp-20-15-A-1,1.21626,3.2752,1.20163,4.49228,10.1854,11.9413,32.156,11.7976,44.1052
 sarp-20-15-A-2,1.89837,2.04146,0.741463,4.78374,9.46504,20.0567,21.5685,7.83371,50.5411
 sarp-20-15-B-1,1.14472,4.0939,1.80732,3.47764,10.5236,10.8776,38.9022,17.174,33.0462
 sarp-20-15-B-2,1.46951,3.90732,1.52642,2.69187,9.59512,15.3152,40.7219,15.9083,28.0546
 sarp-20-15-C-1,3.98659,4.67602,4.49228,4.21179,17.3667,22.9554,26.9252,25.8672,24.2521
 sarp-20-15-C-2,2.45163,6.31423,4.99065,4.03618,17.7927,13.7788,35.4878,28.0489,22.6845
 sarp-20-20-A-1,1.51423,2.42114,1.07683,3.95366,8.96585,16.8888,27.004,12.0103,44.0968
 sarp-20-20-A-2,1.14024,2.86585,1.2435,3.32602,8.57561,13.2964,33.4187,14.5004,38.7846
 sarp-20-20-B-1,1.79756,2.69187,1.25935,3.56179,9.31057,19.3067,28.912,13.526,38.2553
 sarp-20-20-B-2,1.54593,3.09715,1.24024,3.86626,9.74959,15.8564,31.767,12.721,39.6556
 sarp-20-20-C-1,3.14919,5.53862,4.58821,4.11911,17.3951,18.1039,31.8401,26.3764,23.6797
 sarp-20-20-C-2,3.59878,4.14146,4.08252,4.59919,16.422,21.9145,25.2191,24.8601,28.0063
 sarp-20-30-A-1,1.30894,3.41057,1.21382,4.20325,10.1366,12.9131,33.6461,11.9747,41.4662
 sarp-20-30-A-2,1.10894,3.2313,1.33821,3.71423,9.39268,11.8065,34.4023,14.2474,39.5438
 sarp-20-30-B-1,1.28171,3.71341,1.43862,4.2126,10.6463,12.0389,34.8797,13.5128,39.5685
 sarp-20-30-B-2,2.81545,0,0,4.93252,7.74797,36.3379,0,0,63.6621
 sarp-20-30-C-1,3.10041,5.35569,5.01992,4.02642,17.5024,17.7141,30.5997,28.6813,23.0049
 sarp-20-30-C-2,3.18374,4.68211,5.19756,3.97805,17.0415,18.6823,27.4748,30.4995,23.3434
