 1A
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sarp-10-5-A-1,0.643089,2.02602,0.892683,1.46911,5.03089,12.7828,40.2715,17.744,29.2017
 sarp-10-5-A-2,0.887805,1.78089,0.66748,1.82317,5.15935,17.2077,34.5178,12.9373,35.3372
 sarp-10-5-B-1,1.14593,2.13008,0.804472,1.36667,5.44715,21.0373,39.1045,14.7687,25.0896
 sarp-10-5-B-2,1.2435,1.81585,0.816667,2.00854,5.88455,21.1315,30.858,13.8781,34.1324
 sarp-10-5-C-1,2.24593,2.14268,1.8874,2.41829,8.69431,25.8322,24.6447,21.7084,27.8147
 sarp-10-5-C-2,1.0935,2.81016,3.84715,1.31504,9.06585,12.0617,30.9972,42.4357,14.5054
 sarp-5-10-A-1,0.313008,1.12439,0.396341,0.923984,2.75772,11.3502,40.7724,14.3721,33.5053
 sarp-5-10-A-2,0.506098,0.899187,0.28374,1.19228,2.8813,17.5649,31.2077,9.84763,41.3798
 sarp-5-10-B-1,0.146748,1.17561,0.647967,0.669512,2.63984,5.55898,44.5334,24.5457,25.3619
 sarp-5-10-B-2,0.330081,1.51951,0.542683,1.7752,4.16748,7.92041,36.4612,13.0218,42.5966
 sarp-5-10-C-1,0.671545,1.52439,0.945122,1.31667,4.45772,15.0647,34.1966,21.2019,29.5367
 sarp-5-10-C-2,0.593496,1.49024,1.75244,1.55081,5.38699,11.0172,27.6637,32.5309,28.7881
 sarp-5-5-A-1,0.567073,1.01382,0.444715,1.29715,3.32276,17.0663,30.5114,13.3839,39.0384
 sarp-5-5-A-2,0.295935,1.3122,0.454878,1.21179,3.2748,9.03674,40.0695,13.8903,37.0035
 sarp-5-5-B-1,0.21748,1.6561,1.08943,0.903659,3.86667,5.62447,42.8301,28.1749,23.3705
 sarp-5-5-B-2,0.684146,0.750407,0.369106,1.1313,2.93496,23.3102,25.5679,12.5762,38.5457
