 1A
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sfsarp-10-5-1,0.7567,0.678379,0.0833358,1.0166,2.53502,29.8499,26.7603,3.28739,40.1024
 sfsarp-10-5-2,0.66925,0.940813,0.167623,0.761241,2.53893,26.3595,37.0555,6.60211,29.9828
 sfsarp-10-5-3,0.506734,1.00656,0.334141,0.675269,2.5227,20.087,39.9,13.2453,26.7677
 sfsarp-10-5-4,0.590738,0.752951,0.251266,0.926503,2.52146,23.4284,29.8617,9.9651,36.7447
 sfsarp-10-5-5,0.343658,1.17285,0.5014,0.509934,2.52784,13.5949,46.3973,19.8351,20.1727
 sfsarp-5-10-1,0.0833675,1.84906,0.334385,0.254607,2.52141,3.30638,73.334,13.2618,10.0978
 sfsarp-5-10-2,0.340963,1.43219,0.0843821,0.675879,2.53342,13.4586,56.5321,3.33076,26.6785
 sfsarp-5-10-3,0,2.02895,0.41714,0.0838309,2.52992,0,80.1982,16.4882,3.31357
 sfsarp-5-10-4,0.16743,1.76612,0.252244,0.335141,2.52094,6.64158,70.0582,10.006,13.2943
 sfsarp-5-10-5,0.256017,1.50854,0.167774,0.58796,2.52029,10.1582,59.8557,6.65694,23.3291
 sfsarp-5-5-1,0,1.19396,0.42392,0.0855528,1.70344,0,70.0915,24.8862,5.02237
 sfsarp-5-5-2,0.251522,0.920896,0.167391,0.337689,1.6775,14.9939,54.897,9.97861,20.1305
 sfsarp-5-5-3,0.0834748,1.08971,0.335272,0.168708,1.67716,4.97715,64.9732,19.9905,10.0591
 sfsarp-5-5-4,0.250522,0.922008,0.167313,0.337089,1.67693,14.9393,54.9818,9.97733,20.1016
 sfsarp-5-5-5,0.339033,0.683045,0.0833797,0.602402,1.70786,19.8514,39.9942,4.88212,35.2723
 sfsarp-5-6-1,0.334758,1.00831,0.0835431,0.42193,1.84854,18.1093,54.5462,4.51941,22.8251
 sfsarp-5-6-2,0.16762,1.006,0.25102,0.419552,1.8442,9.08907,54.5498,13.6113,22.7499
 sfsarp-5-6-3,0.337599,0.835902,0.0833358,0.589465,1.8463,18.2852,45.2744,4.51366,31.9268
 sfsarp-5-6-4,0.42503,0.763756,0,0.680193,1.86898,22.7413,40.8649,0,36.3938
 sfsarp-5-6-5,0.16953,1.09262,0.250356,0.338626,1.85113,9.1582,59.0243,13.5245,18.293
 sfsarp-5-7-1,0.172111,1.25649,0.250444,0.340197,2.01924,8.52353,62.2259,12.4029,16.8477
 sfsarp-5-7-2,0.419398,1.01434,0,0.595982,2.02972,20.6628,49.9745,0,29.3627
 sfsarp-5-7-3,0.426108,1.00581,0,0.594948,2.02687,21.023,49.624,0,29.3531
 sfsarp-5-7-4,0.0837504,1.34842,0.33876,0.253446,2.02438,4.13709,66.6092,16.734,12.5197
 sfsarp-5-7-5,0.25159,1.09204,0.171223,0.506373,2.02123,12.4474,54.0287,8.47122,25.0527
 sfsarp-5-8-1,0.251007,1.25896,0.167203,0.504629,2.1818,11.5046,57.7027,7.66356,23.1291
 sfsarp-5-8-2,0.171203,1.35113,0.250759,0.421333,2.19443,7.80173,61.5711,11.4271,19.2001
 sfsarp-5-8-3,0.251517,1.27093,0.167676,0.508622,2.19874,11.4391,57.8025,7.62601,23.1324
 sfsarp-5-8-4,0.167923,1.35739,0.253702,0.420537,2.19955,7.6344,61.7121,11.5343,19.1192
 sfsarp-5-8-5,0.167398,1.43208,0.251239,0.336231,2.18695,7.65442,65.4831,11.4881,15.3744
 sfsarp-5-9-1,0.176384,1.51611,0.251854,0.429701,2.37405,7.42967,63.8618,10.6086,18.0999
 sfsarp-5-9-2,0.250844,1.43622,0.169652,0.503546,2.36027,10.6278,60.8501,7.18784,21.3343
 sfsarp-5-9-3,0.422428,1.09389,0,0.843209,2.35953,17.9031,46.3606,0,35.7364
 sfsarp-5-9-4,0.167352,1.50955,0.252717,0.421025,2.35065,7.11941,64.2186,10.751,17.911
 sfsarp-5-9-5,0.0834089,1.59201,0.342324,0.336733,2.35447,3.54257,67.6163,14.5393,14.3019
 sfsarp-6-5-1,0.41733,0.668142,0.0835016,0.673479,1.84245,22.6508,36.2637,4.53209,36.5534
 sfsarp-6-5-2,0.501583,0.587104,0,0.756695,1.84538,27.1804,31.8148,0,41.0048
 sfsarp-6-5-3,0.0838382,1.01117,0.418981,0.336163,1.85015,4.53143,54.6532,22.6458,18.1695
 sfsarp-6-5-4,0.335636,0.840072,0.16923,0.508754,1.85369,18.1063,45.3189,9.12935,27.4454
 sfsarp-6-5-5,0.167623,1.09451,0.334263,0.252512,1.84891,9.06602,59.1977,18.0789,13.6573
 sfsarp-6-6-1,0.424718,0.752571,0.0837114,0.761917,2.02292,20.9953,37.2023,4.13815,37.6643
 sfsarp-6-6-2,0.502588,0.850072,0,0.67573,2.02839,24.7777,41.9087,0,33.3136
 sfsarp-6-6-3,0.336275,0.919267,0.168006,0.590199,2.01375,16.699,45.6496,8.34294,29.3085
 sfsarp-6-6-4,0.167503,1.11094,0.337753,0.426252,2.04245,8.20109,54.3926,16.5366,20.8696
 sfsarp-6-6-5,0.341428,0.923754,0.167267,0.591338,2.02379,16.8708,45.6448,8.26503,29.2194
 sfsarp-6-7-1,0.335341,0.920162,0.16723,0.757354,2.18009,15.382,42.2076,7.6708,34.7396
 sfsarp-6-7-2,0.418189,0.837428,0.0840065,0.839936,2.17956,19.1868,38.4219,3.85429,38.537
 sfsarp-6-7-3,0,1.6108,0.505634,0.0841407,2.20057,0,73.199,22.9774,3.82358
 sfsarp-6-7-4,0.0884846,1.514,0.422552,0.169176,2.19422,4.03263,68.9997,19.2575,7.71011
 sfsarp-6-7-5,0.167176,1.35635,0.335785,0.33556,2.19487,7.61668,61.7964,15.2986,15.2884
 sfsarp-6-8-1,0.0854211,1.60834,0.426984,0.252522,2.37327,3.59931,67.769,17.9914,10.6403
 sfsarp-6-8-2,0.250273,1.51626,0.250756,0.335419,2.3527,10.6377,64.4474,10.6582,14.2567
 sfsarp-6-8-3,0.42633,1.17287,0.0835919,0.669481,2.35227,18.1242,49.8611,3.55367,28.4611
 sfsarp-6-8-4,0.420879,1.18413,0.0834089,0.680318,2.36874,17.7681,49.99,3.52124,28.7207
 sfsarp-6-8-5,0.167096,1.5222,0.339924,0.340716,2.36994,7.05064,64.2297,14.3431,14.3766
 sfsarp-6-9-1,0.421411,1.43658,0.0837797,0.595475,2.53724,16.609,56.6196,3.302,23.4694
 sfsarp-6-9-2,0.257344,1.50803,0.250622,0.51102,2.52701,10.1837,59.6763,9.91771,20.2223
 sfsarp-6-9-3,0.172803,1.68023,0.333877,0.345119,2.53203,6.82468,66.3591,13.1861,13.6301
 sfsarp-6-9-4,0.424023,1.25532,0.0833358,0.765215,2.5279,16.7737,49.6588,3.29664,30.2708
 sfsarp-6-9-5,0.338236,1.51058,0.166889,0.513173,2.52888,13.3749,59.7332,6.59932,20.2925
 sfsarp-7-5-1,0.418715,0.758254,0.167347,0.677625,2.02194,20.7086,37.5013,8.27656,33.5136
