 1A
Instance,Detours(%)
 sarp-30-20-A-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.727e-12,0,0,1.512e-12,0,0,0,0,0,0,-1.96e-12,1.231e-12,0
 sarp-30-20-A-2,0,0,0,0,0,0,0,2.071e-12,0,0,1.578e-12,1.252e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.231e-12,0
 sarp-30-20-B-1,0,0,0,0,-2.904e-12,0,0,1.769e-12,0,0,0,1.101e-12,0,0,0,1.727e-12,0,0,0,2.106e-12,1.578e-12,0,0,0,1.101e-12,0,0,0,0,0
 sarp-30-20-B-2,0,1.101e-12,0,1.038e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.538e-12,0,0,0,0,0,0,0
 sarp-30-20-C-1,0,0,0,0,0,0,8.77e-13,3.57e-13,0,0,0,0,5.99e-13,0,0,0,0,0,0,0,6.49e-13,0,0,0,0,0,0,9.82e-13,0,0
 sarp-30-20-C-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359e-12,0,0,0,5.12e-13,0,0,0,0,0,0
 sarp-30-30-A-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.481e-12,0,2.071e-12,0,0,0,0,0,0
 sarp-30-30-A-2,0,0,3.155e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.345e-12,0,0,0,0,0,0,1.578e-12,0,0
 sarp-30-30-B-1,0,0,0,0,0,0,-1.191e-12,0,0,0,0,0,0,0,0,0,0,0,0,1.009e-12,0,1.252e-12,0,0,0,1.727e-12,0,0,0,0
 sarp-30-30-B-2,0,0,1.578e-12,0,0,1.252e-12,0,-1.396e-12,0,1.727e-12,0,2.548e-12,0,0,0,0,3.538e-12,0,0,2.014e-12,0,0,1.038e-12,3.538e-12,0,0,0,0,-1.068e-12,1.385e-12
 sarp-30-30-C-1,6.71e-13,0,7.58e-13,0,0,0,4.72e-13,0,0,0,0,0,0,0,0,-6.01e-13,0,6.04e-13,3.64e-13,0,0,0,0,0,0,0,0,-5.31e-13,0,0
 sarp-30-30-C-2,7.39e-13,0,0,-7.13e-13,0,0,0,0,6.61e-13,0,-7.5e-13,3.26e-13,6.49e-13,0,0,0,6.16e-13,0,-8.46e-13,0,0,0,0,0,5.12e-13,0,0,4.16e-13,0,0
 sarp-5-15-A-1,0,0,0,3.298e-12,0
 sarp-5-15-A-2,0,0,0,0,0
 sarp-5-15-B-1,-1.452e-12,-2.201e-12,-1.297e-12,0,0
 sarp-5-15-B-2,0,1.578e-12,0,0,0
 sarp-5-15-C-1,0,6.16e-13,2.3e-13,0,5.43e-13
 sarp-5-15-C-2,0,6.8e-13,0,0,0
 sarp-5-20-A-1,0,0,0,0,0
 sarp-5-20-A-2,0,1.21e-12,0,0,1.252e-12
 sarp-5-20-B-1,0,0,0,1.038e-12,0
 sarp-5-20-B-2,0,2.421e-12,0,1.101e-12,0
 sarp-5-20-C-1,0,0,0,0,0
 sarp-5-20-C-2,0,0,0,0,1.547e-12
 sarp-5-30-A-1,1.345e-12,-1.481e-12,0,0,0
 sarp-5-30-A-2,2.792e-12,0,0,0,0
 sarp-5-30-B-1,1.345e-12,2.548e-12,0,0,0
 sarp-5-30-B-2,0,0,2.169e-12,0,1.69e-12
 sarp-5-30-C-1,-3.28e-13,0,-3.42e-13,5.6e-13,4.92e-13
 sarp-5-30-C-2,0,0,-2.87e-13,0,3.1e-13
