
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sfsarp-7-6-1.txt ,1.30111,1.70934,0,0.493229,14.271,6.22529,24,5.42129,7.12225,0,2.05512,59.4626,25.9387
sfsarp-7-6-2.txt ,1.6025,1.26103,0,1.40719,13.0998,6.62951,24,6.67709,5.25429,0,5.86331,54.5824,27.623
sfsarp-7-6-3.txt ,1.36973,1.65284,0,1.1341,13.8264,6.01696,24,5.70723,6.88681,0,4.72542,57.6099,25.0707
sfsarp-7-6-4.txt ,1.30356,1.67718,0,0.368225,14.3291,6.32192,24,5.43151,6.98824,0,1.53427,59.7046,26.3413
sfsarp-7-6-5.txt ,1.32859,1.29338,0,1.2286,13.636,-4.98213e-15,17.4866,7.59778,7.39641,0,7.02593,77.9799,-2.84911e-14
sfsarp-7-7-1.txt ,1.6025,1.44201,0,1.45196,10.5758,6.40377,21.476,7.46183,6.71451,0,6.76085,49.2446,29.8183
sfsarp-7-7-2.txt ,1.30356,1.84417,0,0.368225,14.3291,6.15493,24,5.43151,7.68405,0,1.53427,59.7046,25.6455
sfsarp-7-7-3.txt ,2.33496,1.90106,0,1.32823,12.5303,5.90547,24,9.72898,7.92109,0,5.53429,52.2095,24.6061
sfsarp-7-7-4.txt ,1.84782,1.36208,0,0.816782,13.4531,-1.29063e-15,17.4798,10.5712,7.79232,0,4.67273,76.9637,-7.3836e-15
sfsarp-7-7-5.txt ,1.58744,0,0,1.58734,20.8252,0,24,6.61433,0,0,6.61391,86.7718,0
sfsarp-7-7-5.txt ,1.58744,0,0,1.58734,20.8252,0,24,6.61433,0,0,6.61391,86.7718,0
sfsarp-8-5-1.txt ,2.00993,0,0,0.459828,21.5302,0,24,8.37469,0,0,1.91595,89.7094,0
sfsarp-8-5-1.txt ,2.00993,0,0,0.459828,21.5302,0,24,8.37469,0,0,1.91595,89.7094,0
sfsarp-8-5-2.txt ,2.1793,0.720321,0,0.907968,13.224,-2.2829e-14,17.0316,12.7956,4.22931,0,5.33107,77.644,-1.34039e-13
sfsarp-8-5-3.txt ,2.01631,1.34997,0,1.72165,12.8,6.11206,24,8.40128,5.62487,0,7.17355,53.3334,25.4669
sfsarp-8-5-4.txt ,1.99434,0.964504,0,2.60073,11.5755,-1.6917e-14,17.1351,11.6389,5.62881,0,15.1778,67.5545,-9.87272e-14
sfsarp-8-5-5.txt ,1.85142,0,0,0.70356,21.445,0,24,7.71425,0,0,2.9315,89.3542,0
sfsarp-8-5-5.txt ,1.85142,0,0,0.70356,21.445,0,24,7.71425,0,0,2.9315,89.3542,0
sfsarp-8-6-1.txt ,2.1793,2.02848,0,0.630815,13.224,5.93737,24,9.08043,8.452,0,2.6284,55.1001,24.7391
sfsarp-8-6-2.txt ,1.99434,1.13201,0,2.60208,11.5755,-8.51311e-07,17.304,11.5253,6.54192,0,15.0375,66.8953,-4.91974e-06
sfsarp-8-6-3.txt ,1.49884,1.74122,0,0.837182,14.1845,5.73821,24,6.24518,7.25507,0,3.48826,59.1023,23.9092
sfsarp-8-6-4.txt ,1.74703,1.72714,0,0.560698,13.7264,6.23871,24,7.27928,7.19643,0,2.33624,57.1934,25.9946
sfsarp-8-6-5.txt ,1.73157,0,0,0.703351,21.5651,0,24,7.21486,0,0,2.93063,89.8545,0
sfsarp-8-6-5.txt ,1.73157,0,0,0.703351,21.5651,0,24,7.21486,0,0,2.93063,89.8545,0
sfsarp-8-7-1.txt ,1.99434,1.32338,0,2.60208,11.5755,6.50466,24,8.30976,5.51407,0,10.842,48.2314,27.1027
sfsarp-8-7-2.txt ,1.74703,1.89582,0,0.560698,13.7264,6.07003,24,7.27928,7.89926,0,2.33624,57.1934,25.2918
sfsarp-8-7-3.txt ,2.078,0.906207,0,1.93085,12.1585,6.92645,24,8.65834,3.77586,0,8.0452,50.6604,28.8602
sfsarp-8-7-4.txt ,2.67914,1.42333,0,2.08189,11.4881,6.32754,24,11.1631,5.93054,0,8.67453,47.8671,26.3647
sfsarp-8-7-5.txt ,1.57081,1.23898,0,0.781399,14.0041,6.65579e-14,17.5953,8.92742,7.04154,0,4.44095,79.5901,3.78271e-13

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
sfsarp-7-6-1.txt ,1.30111,1.55966,0,0.479981,15.6852,4.97409,24,5.42129,6.49859,0,1.99992,65.3548,20.7254
sfsarp-7-6-2.txt ,1.6025,1.26103,0,1.28955,12.9575,7.39686e-15,17.1106,9.36556,7.36988,0,7.53657,75.728,4.32298e-14
sfsarp-7-6-3.txt ,1.36973,1.69039,0,0.987351,5.51121,5.62093,15.1796,9.02351,11.1359,0,6.50445,36.3066,37.0295
sfsarp-7-6-4.txt ,1.30356,1.47139,0,0.415392,11.4268,8.04542,22.6626,5.75205,6.49259,0,1.83294,50.4215,35.5009
sfsarp-7-6-5.txt ,1.32859,1.23468,0,0.917696,16.4337,4.08537,24,5.53581,5.14452,0,3.82373,68.4735,17.0224
sfsarp-7-7-1.txt ,1.6025,1.44201,0,1.29608,14.3606,5.29881,24,6.67709,6.00836,0,5.40032,59.8358,22.0784
sfsarp-7-7-2.txt ,1.30356,1.64927,0,0.422267,8.05959,12.5653,24,5.43151,6.87195,0,1.75944,33.5816,52.3555
sfsarp-7-7-3.txt ,2.33496,1.87562,0,0.913466,15.8714,3.0046,24,9.72898,7.81508,0,3.80611,66.1307,12.5192
sfsarp-7-7-4.txt ,1.84782,1.34113,0,0.826956,13.2686,-1.48354e-14,17.2845,10.6906,7.75911,0,4.78437,76.7659,-8.58302e-14
sfsarp-7-7-5.txt ,1.58744,1.43517,0,1.66566,16.4173,2.89446,24,6.61433,5.97987,0,6.94023,68.4053,12.0603
sfsarp-8-5-1.txt ,2.00993,0.934439,0,0.505822,18.7761,1.77369,24,8.37469,3.89349,0,2.10759,78.2339,7.39036
sfsarp-8-5-2.txt ,2.1793,1.01085,0,0.734281,11.7284,7.47372,23.1265,9.4234,4.37097,0,3.17506,50.7139,32.3167
sfsarp-8-5-3.txt ,2.01631,1.34997,0,1.54623,16.2335,0.361121,21.5071,9.37508,6.27685,0,7.18937,75.4796,1.67908
sfsarp-8-5-4.txt ,1.99434,0.922351,0,1.95454,12.5506,6.57813,24,8.30976,3.84313,0,8.14393,52.2943,27.4089
sfsarp-8-5-5.txt ,1.85142,0.878681,0,0.852804,10.98,2.43525,16.9982,10.8919,5.16927,0,5.01704,64.5953,14.3265
sfsarp-8-6-1.txt ,2.1793,1.67008,0,0.724992,16.0303,3.39536,24,9.08043,6.95866,0,3.0208,66.7928,14.1473
sfsarp-8-6-2.txt ,1.99434,1.08986,0,1.96321,3.50358,7.28796,15.8389,12.5914,6.88088,0,12.3948,22.12,46.0129
sfsarp-8-6-3.txt ,1.49884,1.73677,0,0.728346,6.87023,5.33347,16.1677,9.27063,10.7423,0,4.50496,42.4937,32.9885
sfsarp-8-6-4.txt ,1.74703,1.61611,0,0.504799,6.61941,8.74777,19.2351,9.08249,8.40189,0,2.62436,34.4131,45.4781
sfsarp-8-6-5.txt ,1.73157,1.90304,0,0.650379,6.79505,12.92,24,7.21486,7.92932,0,2.70991,28.3127,53.8332
sfsarp-8-7-1.txt ,1.99434,1.27232,0,1.96321,16.0799,2.69027,24,8.30976,5.30134,0,8.18003,66.9994,11.2095
sfsarp-8-7-2.txt ,1.74703,1.79512,0,0.507721,6.13866,13.8115,24,7.27928,7.47966,0,2.1155,25.5778,57.5478
sfsarp-8-7-3.txt ,2.078,1.24159,0,1.26194,16.4724,2.94609,24,8.65834,5.17331,0,5.25807,68.6349,12.2754
sfsarp-8-7-4.txt ,2.67914,1.42333,0,1.83996,12.7377,4.68308,23.3632,11.4674,6.09219,0,7.87545,54.5203,20.0447
sfsarp-8-7-5.txt ,1.57081,1.23288,0,0.600867,10.4551,2.41702,16.2767,9.65064,7.57447,0,3.69158,64.2338,14.8495
