Instance Name , K
sarp-50-40-A-1,8
sarp-50-40-A-2,6
sarp-50-40-B-1,8
sarp-50-40-B-2,8
sarp-50-40-C-1,8
sarp-50-40-C-2,8
sarp-50-50-A-1,8
sarp-50-50-A-2,8
sarp-50-50-B-1,8
sarp-50-50-B-2,8
sarp-50-50-C-1,10
sarp-50-50-C-2,10
sarp-50-60-A-1,8
sarp-50-60-A-2,8
sarp-50-60-B-1,8
sarp-50-60-B-2,6
sarp-50-60-C-1,10
sarp-50-60-C-2,8
sarp-50-70-A-1,6
sarp-50-70-A-2,6
sarp-50-70-B-1,8
sarp-50-70-B-2,8
sarp-50-70-C-1,10
sarp-50-70-C-2,12
sarp-50-40-C-2,8
sarp-50-40-C-1,8
sarp-50-60-C-2,8
sarp-50-40-A-1,7
sarp-50-40-A-2,6
sarp-50-40-B-1,8
sarp-50-40-B-2,8
sarp-50-40-C-1,12
sarp-50-40-C-2,10
sarp-50-50-A-1,7
sarp-50-50-A-2,7
sarp-50-50-B-1,8
sarp-50-50-B-2,7
sarp-50-50-C-1,9
sarp-50-50-C-2,9
sarp-50-60-A-1,7
sarp-50-60-A-2,8
sarp-50-60-B-1,7
sarp-50-60-B-2,6
sarp-50-60-C-1,9
sarp-50-60-C-2,11
sarp-50-70-A-1,6
sarp-50-70-A-2,6
sarp-50-70-B-1,8
sarp-50-70-B-2,7
sarp-50-70-C-1,13
sarp-50-70-C-2,11
