10,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,10,1,0,115.78,0,69.8372,3,1.66,45.9424,Optimal,,
grubhub-11-1.tsp ,10,1,1,90.8934,11.2724,66.3044,2,0.28,35.8614,Optimal,,
grubhub-11-2.tsp ,10,1,1,99.2952,15.1568,71.1988,2,0.26,43.2532,Optimal,,
grubhub-11-3.tsp ,10,1,1,96.5022,12.5672,58.4568,4,0.71,50.6126,Optimal,,
grubhub-11-4.tsp ,10,1,1,89.913,13.945,69.9016,2,0.4,33.9564,Optimal,,
grubhub-11-5.tsp ,10,1,1,105.953,10.6084,68.3008,3,0.67,48.2604,Optimal,,
grubhub-11-6.tsp ,10,1,1,88.5906,8.7326,62.4864,3,0.62,34.8368,Optimal,,
grubhub-11-7.tsp ,10,1,1,79.5162,11.455,64.2988,2,0.21,26.6724,Optimal,,
grubhub-11-8.tsp ,10,1,0,88.6704,0,55.1264,2,0.35,33.544,Optimal,,
grubhub-11-9.tsp ,10,1,0,94.302,0,46.4876,3,0.02,47.8144,Optimal,,
grubhub-12-0.tsp ,11,1,1,100.449,6.6908,71.8244,3,0.57,35.3154,Optimal,,
grubhub-12-3.tsp ,11,1,1,91.272,6.1264,81.0428,2,1.19,16.3556,Optimal,,
grubhub-12-4.tsp ,11,1,0,90.3144,0,84.042,1,0.01,6.2724,Optimal,,
grubhub-12-5.tsp ,11,1,0,103.926,0,68.7148,2,0.02,35.2112,Optimal,,
grubhub-12-6.tsp ,11,1,0,105.955,0,62.6152,2,0.19,43.34,Optimal,,12-1
grubhub-12-7.tsp ,11,1,1,115.007,7.9524,59.4412,3,0.17,63.518,Optimal,,12-2
grubhub-12-8.tsp ,11,1,1,98.5338,11.8866,59.662,3,0.11,50.7584,Optimal,,13-9
grubhub-12-9.tsp ,11,1,1,108.418,10.9238,85.2932,2,0.17,34.0482,Optimal,,
grubhub-13-0.tsp ,12,1,1,95.994,8.5832,70.2052,3,0.2,34.372,Optimal,,
grubhub-13-1.tsp ,12,1,1,111.008,13.447,84.8148,3,1.16,39.64,Optimal,,
grubhub-13-2.tsp ,12,1,1,108.055,13.0652,76.452,3,1.15,44.6684,Optimal,,
grubhub-13-3.tsp ,12,1,1,107.28,7.471,72.772,2,0.21,41.979,Optimal,,
grubhub-13-4.tsp ,12,1,1,106.55,10.3594,69.8372,2,0.68,47.0726,Optimal,,
grubhub-13-5.tsp ,12,1,1,110.244,16.9662,80.9416,3,0.92,46.2686,Optimal,,
grubhub-13-6.tsp ,12,1,1,106.699,15.0406,90.4912,3,1.01,31.248,Optimal,,
grubhub-13-7.tsp ,12,1,1,113.675,7.9026,79.81,3,2.72,41.768,Optimal,,
grubhub-13-8.tsp ,12,1,1,109.879,7.8528,78.3288,2,0.32,39.4032,Optimal,,
20,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,9,2,1,102.656,17.1322,67.574,3,3,52.214,Optimal,,
grubhub-11-1.tsp ,9,2,2,84.564,18.511,65.3292,2,0.92,37.7458,Optimal,,
grubhub-11-2.tsp ,9,2,2,87.4824,30.38,78.1816,2,0.49,39.6808,Optimal,,
grubhub-11-3.tsp ,9,2,2,86.0118,25.8648,61.41,4,1.13,50.4666,Optimal,,
grubhub-11-4.tsp ,9,2,2,82.8312,22.2792,72.772,2,2.14,32.3384,Optimal,,
grubhub-11-5.tsp ,9,2,2,94.2426,25.6822,69.9568,3,1.16,49.968,Optimal,,
