Instance,LB,UB,Time
sarp-10-5-A-1.txt,35.9985,35.9985,7155
sarp-10-5-A-2.txt,22.7701,42.0,164944
sarp-10-5-B-1.txt,22.8668,22.8668,3655
sarp-10-5-B-2.txt,20.479,20.479,393
sarp-10-5-C-1.txt,19.3647,19.3647,55716
sarp-10-5-C-2.txt,22.7472,22.7472,23626
sarp-5-10-A-1.txt,14.1592,14.1592,8
sarp-5-10-A-2.txt,3.05882,3.05882,19
sarp-5-10-B-1.txt,-3.62621,-3.62621,780
sarp-5-10-B-2.txt,-1.76507,-1.76507,3
sarp-5-10-C-1.txt,-37.3008,-37.3008,30
sarp-5-10-C-2.txt,-18.451,-18.451,4
sarp-5-5-A-1.txt,18.8129,18.8129,2918
sarp-5-5-A-2.txt,19.9862,19.9862,385
sarp-5-5-B-1.txt,-5.53356,-5.53356,3
sarp-5-5-B-2.txt,13.2354,13.2354,15
sarp-5-5-C-1.txt,-7.48775,-7.48775,660
sarp-5-5-C-2.txt,-8.652,-8.652,733
sarp-5-6-A-1.txt,8.73191,8.73191,1678
sarp-5-6-A-2.txt,24.5567,24.5567,8616
sarp-5-6-B-1.txt,6.33376,6.33376,3332
sarp-5-6-B-2.txt,9.24422,9.24422,102
sarp-5-6-C-1.txt,-4.22487,-4.22487,8439
sarp-5-6-C-2.txt,-7.05117,-7.05117,5
sarp-5-7-A-1.txt,18.9763,18.9763,7215
sarp-5-7-A-2.txt,7.24461,7.24461,4
sarp-5-7-B-1.txt,20.7162,20.7162,59976
sarp-5-7-B-2.txt,-8.76474,-8.76474,117
sarp-5-7-C-1.txt,-24.5501,-24.5501,1883
sarp-5-7-C-2.txt,-7.05539,-7.05539,436
sarp-5-8-A-1.txt,10.8516,10.8516,6107
sarp-5-8-A-2.txt,1.0629,1.0629,7
sarp-5-8-B-1.txt,10.8244,10.8244,71779
sarp-5-8-B-2.txt,-4.40891,-4.40891,79
sarp-5-8-C-1.txt,-29.3361,-29.3361,603
sarp-5-8-C-2.txt,-18.7643,9.0,93091
sarp-5-9-A-1.txt,13.7673,13.7673,100
sarp-5-9-A-2.txt,17.1007,17.1007,218
sarp-5-9-B-1.txt,-9.20037,-9.20037,122
sarp-5-9-B-2.txt,-10.819,31.0,96836
sarp-5-9-C-1.txt,N,N,N
sarp-5-9-C-2.txt,-5.69958,-5.69958,130083
sarp-6-5-A-1.txt,21.1965,21.1965,991
sarp-6-5-A-2.txt,20.7847,20.7847,57
sarp-6-5-B-1.txt,-0.425945,-0.425945,39
sarp-6-5-B-2.txt,22.4988,22.4988,19871
sarp-6-5-C-1.txt,-0.312691,-0.312691,12922
sarp-6-5-C-2.txt,0.176605,0.176605,19434
sarp-6-6-A-1.txt,21.2337,21.2337,1357
sarp-6-6-A-2.txt,21.2059,21.2059,13574
sarp-6-6-B-1.txt,12.6127,12.6127,3115
sarp-6-6-B-2.txt,-6.71856,-6.71856,3139
sarp-6-6-C-1.txt,-7.39003,-7.39003,3183
sarp-6-6-C-2.txt,-40.8621,-40.8621,174
sarp-6-7-A-1.txt,7.50465,7.50465,128
