Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sfsarp-16-8-1.txt,1.1422,1.1422,1.1422,0.0000,0.92,0.0000,0.92
sfsarp-16-8-2.txt,14.9451,14.9451,14.9451,0.0001,1.17,0.0000,1.17
sfsarp-16-8-3.txt,1.0035,1.0035,1.0035,0.0000,1.16,0.0000,1.16
sfsarp-16-8-4.txt,2.5319,2.5319,2.5319,0.0000,1.97,0.0000,1.97
sfsarp-16-8-5.txt,-3.9391,-3.9391,-3.9391,0.0000,1.16,0.0000,1.16
sfsarp-20-10-1.txt,13.2042,13.2042,13.2042,0.0002,13.94,0.0000,13.94
sfsarp-20-10-2.txt,-2.6041,-2.6041,-2.6041,0.0000,6.07,0.0000,6.07
sfsarp-20-10-3.txt,21.8399,21.8399,21.8399,0.0001,13.74,0.0000,13.74
sfsarp-20-10-4.txt,4.2278,4.2278,4.2278,0.0000,26.80,0.0000,26.80
sfsarp-20-10-5.txt,23.5357,23.5357,23.5357,0.0000,11.11,0.0000,11.11
sfsarp-30-15-1.txt,37.4763,-1000000000000.0000,22.4000,67.3049,1252.13,4464285714385.7148,1252.13
sfsarp-30-15-2.txt,10.0174,-1000000000000.0000,-20.4000,149.1047,1256.92,4901960784213.7256,1256.92
sfsarp-30-15-3.txt,15.5944,-1000000000000.0000,0.1000,1549.4360,1253.58,100000000000010.0000,1253.58
sfsarp-30-15-4.txt,35.7355,-1000000000000.0000,6.4000,458.3670,1261.47,15625000000100.0000,1261.47
sfsarp-30-15-5.txt,-3.1430,-1000000000000.0000,-32.1000,90.2086,1252.36,3115264797407.7881,1252.36
sfsarp-40-20-1.txt,1000000000000.0000,-1000000000000.0000,75.3000,1328021248239.9734,1271.97,1328021248439.9734,1271.97
sfsarp-40-20-2.txt,26.8877,-1000000000000.0000,10.3000,161.0457,1253.95,9708737864177.6699,1253.95
sfsarp-40-20-3.txt,27.4817,-1000000000000.0000,-38.6000,171.1960,1301.95,2590673575029.5337,1301.95
sfsarp-40-20-4.txt,75.1408,-1000000000000.0000,30.8000,143.9638,1256.91,3246753246853.2466,1256.91
sfsarp-40-20-5.txt,23.6577,-1000000000000.0000,16.6000,42.5164,1259.04,6024096385642.1680,1259.04
