Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sarp-16-8-A-1.txt,55.9140,55.9140,55.9140,0.0000,1.68,0.0000,1.68
sarp-16-8-A-2.txt,46.0690,46.0690,46.0690,0.0000,1.90,0.0000,1.90
sarp-16-8-B-1.txt,32.1700,32.1700,32.1700,0.0000,2.19,0.0000,2.19
sarp-16-8-B-2.txt,40.8350,40.8350,40.8350,0.0000,2.72,0.0000,2.72
sarp-16-8-C-1.txt,-27.2440,-27.2440,-27.2440,0.0000,4.61,0.0000,4.61
sarp-16-8-C-2.txt,-2.3930,-2.3930,-2.3930,0.0000,1.79,0.0000,1.80
sarp-20-10-A-1.txt,64.9600,64.9600,64.9600,0.0000,36.91,0.0000,36.92
sarp-20-10-A-2.txt,53.3660,53.3660,53.3660,0.0000,37.31,0.0000,37.31
sarp-20-10-B-1.txt,43.9570,43.9570,43.9570,0.0000,23.93,0.0000,23.93
sarp-20-10-B-2.txt,37.4870,37.4870,37.4870,0.0000,34.81,0.0000,34.81
sarp-20-10-C-1.txt,-1.0330,-1.0330,-1.0330,0.0000,20.06,0.0000,20.06
sarp-20-10-C-2.txt,-33.8340,-33.8340,-33.8340,0.0000,26.45,0.0000,26.46
sarp-30-15-A-1.txt,91.6251,-1000000000000.0000,54.8000,67.1991,6317.31,1824817518348.1753,6317.31
sarp-30-15-A-2.txt,89.7774,-1000000000000.0000,55.1000,62.9355,6255.07,1814882032767.8765,6255.07
sarp-30-15-B-1.txt,86.6599,-1000000000000.0000,41.1000,110.8513,6288.82,2433090024430.9004,6288.82
sarp-30-15-B-2.txt,87.4790,-1000000000000.0000,39.5000,121.4657,6263.67,2531645569720.2529,6263.67
sarp-30-15-C-1.txt,24.4786,-1000000000000.0000,-32.0000,176.4957,7519.37,3124999999900.0000,7519.37
sarp-30-15-C-2.txt,34.4298,-1000000000000.0000,-35.5000,196.9854,6258.01,2816901408350.7041,6258.01
sarp-40-20-A-1.txt,128.2047,-1000000000000.0000,68.8000,86.3441,7548.18,1453488372193.0234,7548.18
sarp-40-20-A-2.txt,115.2416,-1000000000000.0000,67.1000,71.7460,7544.69,1490312965822.8020,7544.69
sarp-40-20-B-1.txt,135.4963,-1000000000000.0000,51.3000,164.1253,7542.64,1949317738891.4231,7542.64
sarp-40-20-B-2.txt,115.8091,-1000000000000.0000,52.5000,120.5888,7562.49,1904761904861.9048,7562.49
