Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sarp-16-8-A-7.txt,58.8050,58.8050,58.8050,0.0000,2.87,0.0000,2.87
sarp-16-8-A-8.txt,48.5480,48.5480,48.5480,0.0000,1.79,0.0000,1.79
sarp-16-8-B-7.txt,42.9870,42.9870,42.9870,0.0000,1.65,0.0000,1.66
sarp-16-8-B-8.txt,43.0020,43.0020,43.0020,0.0000,1.70,0.0000,1.70
sarp-16-8-C-7.txt,-40.3390,-40.3390,-40.3390,0.0000,1.90,0.0000,1.90
sarp-16-8-C-8.txt,-0.1360,1.5430,1.5430,108.8140,4.80,0.0000,4.80
sarp-50-25-A-7.txt,170.0365,-1000000000000.0000,102.9000,65.2444,15077.58,971817298447.9105,15077.59
sarp-50-25-A-8.txt,245.2280,-1000000000000.0000,123.5000,98.5652,15072.68,809716599290.2834,15072.68
sarp-50-25-B-7.txt,180.9967,-1000000000000.0000,82.5000,119.3900,15085.80,1212121212221.2122,15085.80
sarp-50-25-B-8.txt,199.8969,-1000000000000.0000,87.9000,127.4140,15116.79,1137656427858.8167,15116.80
sarp-50-25-C-7.txt,-38.0892,-1000000000000.0000,-287.3000,86.7424,20399.46,348068221271.3888,20399.47
sarp-50-25-C-8.txt,86.6501,-1000000000000.0000,-206.5000,141.9613,26353.99,484261501110.6537,26354.00
