Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sfsarp-10-5-1.txt,7.2795,7.2795,7.2795,0.0000,0.12,0.0000,0.12
sfsarp-10-5-2.txt,12.1436,12.1436,12.1436,0.0000,0.17,0.0000,0.17
sfsarp-10-5-3.txt,2.3950,2.3950,2.3950,0.0000,0.14,0.0000,0.14
sfsarp-10-5-4.txt,-0.1303,-0.1303,-0.1303,0.0000,0.14,0.0000,0.14
sfsarp-10-5-5.txt,23.9788,23.9788,23.9788,0.0002,0.08,0.0000,0.08
sfsarp-12-6-1.txt,9.9704,9.9704,9.9704,0.0000,0.50,0.0000,0.50
sfsarp-12-6-2.txt,10.1529,10.1529,10.1529,0.0000,0.27,0.0000,0.27
sfsarp-12-6-3.txt,-0.6975,-0.6975,-0.6975,0.0000,0.24,0.0000,0.24
sfsarp-12-6-4.txt,14.7276,14.7276,14.7276,0.0002,0.26,0.0000,0.26
sfsarp-12-6-5.txt,7.3383,7.3383,7.3383,0.0000,0.21,0.0000,0.21
sfsarp-6-3-1.txt,7.0971,7.0971,7.0971,0.0000,0.04,0.0000,0.04
sfsarp-6-3-2.txt,-0.2177,-0.2177,-0.2177,0.0000,0.04,0.0000,0.04
sfsarp-6-3-3.txt,15.4181,15.4181,15.4181,0.0001,0.02,0.0000,0.02
sfsarp-6-3-4.txt,6.6579,6.6579,6.6579,0.0000,0.02,0.0000,0.02
sfsarp-6-3-5.txt,4.6107,4.6107,4.6107,0.0000,0.03,0.0000,0.03
sfsarp-8-4-1.txt,-2.9150,-2.9150,-2.9150,0.0000,0.12,0.0000,0.12
sfsarp-8-4-2.txt,1.3098,1.3098,1.3098,0.0000,0.05,0.0000,0.05
sfsarp-8-4-3.txt,4.2429,4.2438,4.2438,0.0217,0.14,0.0000,0.14
sfsarp-8-4-4.txt,-0.6673,-0.6673,-0.6673,0.0000,0.03,0.0000,0.03
sfsarp-8-4-5.txt,3.3923,3.3923,3.3923,0.0000,0.08,0.0000,0.08
