Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
ghsarp-10-5-0.txt,10.2740,10.2740,10.2740,0.0000,0.11,0.0000,0.11
ghsarp-10-5-1.txt,12.7135,12.7135,12.7135,0.0003,0.07,0.0000,0.07
ghsarp-10-5-2.txt,16.5633,16.5633,16.5633,0.0002,0.10,0.0000,0.10
ghsarp-10-5-3.txt,23.5340,23.5340,23.5340,0.0002,0.08,0.0000,0.08
ghsarp-10-5-4.txt,20.8598,20.8598,20.8598,0.0000,0.07,0.0000,0.07
ghsarp-12-6-0.txt,3.0387,3.0387,3.0387,0.0000,0.29,0.0000,0.29
ghsarp-12-6-1.txt,3.6585,3.6585,3.6585,0.0000,0.33,0.0000,0.33
ghsarp-12-6-2.txt,5.8149,5.8149,5.8149,0.0000,0.22,0.0000,0.22
ghsarp-12-6-3.txt,22.0042,22.0042,22.0042,0.0002,0.24,0.0000,0.24
ghsarp-12-6-4.txt,9.3614,9.3614,9.3614,0.0000,0.29,0.0000,0.29
ghsarp-6-3-0.txt,4.4249,4.4249,4.4249,0.0000,0.03,0.0000,0.03
ghsarp-6-3-1.txt,3.8691,3.8691,3.8691,0.0000,0.03,0.0000,0.03
ghsarp-6-3-2.txt,17.4812,17.4812,17.4812,0.0000,0.02,0.0000,0.02
ghsarp-6-3-3.txt,6.5625,6.5625,6.5625,0.0000,0.06,0.0000,0.06
ghsarp-6-3-4.txt,11.8013,11.8013,11.8013,0.0003,0.02,0.0000,0.02
ghsarp-8-4-0.txt,20.9718,20.9718,20.9718,0.0000,0.03,0.0000,0.03
ghsarp-8-4-1.txt,6.7956,6.7956,6.7956,0.0000,0.06,0.0000,0.06
ghsarp-8-4-2.txt,11.0041,11.0041,11.0041,0.0002,0.04,0.0000,0.04
ghsarp-8-4-3.txt,12.5324,12.5324,12.5324,0.0003,0.06,0.0000,0.06
ghsarp-8-4-4.txt,18.7058,18.7058,18.7058,0.0002,0.03,0.0000,0.03
