Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sfsarp-16-8-11.txt,3.2968,3.2968,3.2968,0.0000,0.22,0.0000,0.22
sfsarp-16-8-21.txt,17.0110,17.0110,17.0110,0.0002,0.31,0.0000,0.31
sfsarp-16-8-31.txt,3.2152,3.2152,3.2152,0.0000,0.46,0.0000,0.46
sfsarp-16-8-41.txt,4.6176,4.6176,4.6176,0.0000,0.56,0.0000,0.56
sfsarp-16-8-51.txt,-2.8752,-2.8752,-2.8752,0.0000,0.29,0.0000,0.29
sfsarp-20-10-11.txt,17.8130,17.8130,17.8130,0.0002,0.72,0.0000,0.72
sfsarp-20-10-21.txt,-0.8308,-0.8308,-0.8308,0.0000,1.00,0.0000,1.00
sfsarp-20-10-31.txt,24.0039,24.0039,24.0039,0.0001,0.77,0.0000,0.77
sfsarp-20-10-41.txt,9.5109,9.5109,9.5109,0.0000,1.57,0.0000,1.57
sfsarp-20-10-51.txt,25.4061,25.4061,25.4061,0.0001,1.04,0.0000,1.04
sfsarp-30-15-11.txt,23.0809,23.0809,23.0809,0.0002,6.74,0.0000,6.74
sfsarp-30-15-21.txt,0.8848,0.8848,0.8848,0.0000,19.88,0.0000,19.88
sfsarp-30-15-31.txt,2.3241,2.3241,2.3241,0.0000,10.75,0.0000,10.75
sfsarp-30-15-41.txt,28.1736,28.1736,28.1736,0.0001,13.31,0.0000,13.31
sfsarp-30-15-51.txt,-20.3161,-20.3161,-20.3161,0.0002,37.45,0.0000,37.45
sfsarp-40-20-11.txt,30.5795,30.5795,30.5794,0.0002,470.54,0.0003,470.54
sfsarp-40-20-21.txt,34.9530,34.9530,34.9531,0.0001,254.86,0.0003,254.86
sfsarp-40-20-31.txt,11.1737,11.1736,11.1737,0.0004,866.33,0.0009,866.33
sfsarp-40-20-41.txt,28.8054,28.8054,28.8054,0.0001,697.86,0.0000,697.86
sfsarp-40-20-51.txt,9.2051,9.2051,9.2051,0.0000,124.09,0.0000,124.09
sfsarp-50-25-11.txt,1000000000000.0000,-1000000000000.0000,3.7000,27027027026927.0273,1301.89,27027027027127.0273,1301.89
sfsarp-50-25-21.txt,1000000000000.0000,-1000000000000.0000,-21.0000,4761904762004.7617,1298.78,4761904761804.7617,1298.78
sfsarp-50-25-31.txt,1000000000000.0000,-1000000000000.0000,-9.6000,10416666666766.6680,1253.71,10416666666566.6680,1253.71
sfsarp-50-25-41.txt,1000000000000.0000,-1000000000000.0000,-15.0000,6666666666766.6670,1252.08,6666666666566.6670,1252.08
sfsarp-50-25-51.txt,1000000000000.0000,-1000000000000.0000,8.5000,11764705882252.9414,1302.62,11764705882452.9414,1302.62
