Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sfsarp-100-50-1.txt,1000000000000.0000,-1000000000000.0000,-46.1000,2169197397063.1235,1293.09,2169197396863.1235,1293.09
sfsarp-100-50-2.txt,1000000000000.0000,-1000000000000.0000,0.7000,99999999999930.0000,1309.65,100000000000070.0000,1309.65
sfsarp-100-50-3.txt,1000000000000.0000,-1000000000000.0000,-4.0000,25000000000100.0000,1419.77,24999999999900.0000,1419.77
sfsarp-100-50-4.txt,1000000000000.0000,-1000000000000.0000,-50.1000,1996007984131.9360,1257.35,1996007983931.9360,1257.35
sfsarp-100-50-5.txt,1000000000000.0000,-1000000000000.0000,-61.4000,1628664495214.0066,1270.52,1628664495014.0066,1270.52
sfsarp-50-25-1.txt,1000000000000.0000,-1000000000000.0000,-4.6000,21739130434882.6094,1258.41,21739130434682.6094,1258.41
sfsarp-50-25-2.txt,38.7960,-1000000000000.0000,-25.3000,253.3438,1268.50,3952569169860.4741,1268.50
sfsarp-50-25-3.txt,7.3665,-1000000000000.0000,-34.3000,121.4767,1268.76,2915451894943.7319,1268.76
sfsarp-50-25-4.txt,46.8473,-1000000000000.0000,-19.0000,346.5647,1260.94,5263157894636.8418,1260.94
sfsarp-50-25-5.txt,1000000000000.0000,-1000000000000.0000,-12.9000,7751937984596.1240,1269.77,7751937984396.1240,1269.77
sfsarp-60-30-1.txt,1000000000000.0000,-1000000000000.0000,-5.1000,19607843137354.9023,1261.35,19607843137154.9023,1261.35
sfsarp-60-30-2.txt,64.4269,-1000000000000.0000,-24.7000,360.8378,1265.32,4048582995851.4170,1265.32
sfsarp-60-30-3.txt,41.4476,-1000000000000.0000,-35.1000,218.0844,1272.28,2849002848902.8491,1272.28
sfsarp-60-30-4.txt,96.5355,-1000000000000.0000,-15.6000,718.8170,1273.83,6410256410156.4102,1273.83
sfsarp-60-30-5.txt,1000000000000.0000,-1000000000000.0000,-24.5000,4081632653161.2246,1258.88,4081632652961.2246,1258.88
sfsarp-80-40-1.txt,1000000000000.0000,-1000000000000.0000,8.1000,12345679012245.6797,1352.73,12345679012445.6797,1352.73
sfsarp-80-40-2.txt,1000000000000.0000,-1000000000000.0000,-44.0000,2272727272827.2729,1265.63,2272727272627.2729,1265.63
sfsarp-80-40-3.txt,1000000000000.0000,-1000000000000.0000,-53.9000,1855287569673.2839,1300.42,1855287569473.2839,1300.42
sfsarp-80-40-4.txt,1000000000000.0000,-1000000000000.0000,-14.9000,6711409396073.1543,1254.27,6711409395873.1543,1254.27
sfsarp-80-40-5.txt,146.2010,-1000000000000.0000,-45.2000,423.4535,1284.77,2212389380430.9731,1284.77
