Row,z_1,z_2
bnd_pnt_1,-1.29008107084256,-0.21213400593694
bnd_pnt_2,-1.48378035913065,0.263049337967946
bnd_pnt_3,-0.932272858916079,-0.0904145437099984
bnd_pnt_4,NaN,NaN
bnd_pnt_5,-0.556620615530359,-0.818763326940878
bnd_pnt_6,0.42570214664952,-1.01607443113666
bnd_pnt_7,-0.22892766336245,-1.22872547224153
bnd_pnt_8,NaN,NaN
bnd_pnt_9,-0.932272858916079,-0.0904145437099984
bnd_pnt_10,-0.426907217266941,0.00193882195604064
bnd_pnt_11,0.0389436502305281,-0.125325555113537
bnd_pnt_12,-0.556620615530359,-0.818763326940878
bnd_pnt_13,NaN,NaN
bnd_pnt_14,-0.868906236958133,1.65442588759159
bnd_pnt_15,-0.749526810202819,2.02485426009435
bnd_pnt_16,-0.44887548231751,2.05920062810386
bnd_pnt_17,NaN,NaN
bnd_pnt_18,0.0966598420180227,1.3095122787128
bnd_pnt_19,0.65001115914354,0.467667498386481
bnd_pnt_20,0.995342061145654,0.288186407201525
bnd_pnt_21,0.56504297729909,0.331988383971256
