Row,NumGoodAlgos
sarp-30-15-A-2,128
sarp-20-10-C-2V3,255
sfsarp-16-8-1,128
sfsarp-16-8-3V1,128
sarp-16-8-C-1,255
sarp-40-20-A-1V3,255
ghsarp-8-4-3,255
sarp-16-8-C-1V2,255
sfsarp-30-15-3V1,128
sarp-8-4-B-1,255
sfsarp-30-15-5,0
sarp-30-15-B-1V3,255
sfsarp-16-8-1V1,128
ghsarp-6-3-2,255
sarp-20-10-B-2V3,255
sarp-16-8-B-1,255
ghsarp-12-6-3,255
sarp-50-25-B-1V1,128
sarp-16-8-A-2V1,255
sarp-30-15-C-1V3,128
sfsarp-50-25-1V1,0
sarp-40-20-B-1V1,128
sfsarp-50-25-3V1,0
sarp-20-10-A-2V1,255
sarp-16-8-B-2V1,255
sarp-6-3-B-2,255
ghsarp-10-5-3,255
sarp-16-8-A-2V2,255
sarp-30-15-A-1V3,255
sfsarp-16-8-4V1,128
sarp-10-5-C-2,255
ghsarp-6-3-0,255
sarp-40-20-B-2V1,255
sfsarp-16-8-2V1,128
ghsarp-10-5-2,255
sfsarp-20-10-3V1,128
sfsarp-12-6-1,255
sfsarp-30-15-1V1,255
sarp-40-20-A-2V1,128
sarp-40-20-B-1V3,255
sarp-6-3-C-1,255
sarp-16-8-C-2,255
sfsarp-40-20-2,0
sarp-50-25-A-2V1,0
sarp-16-8-B-2V2,255
sfsarp-12-6-5,255
sarp-40-20-A-1V2,0
sarp-8-4-B-2,255
sfsarp-6-3-3,255
sarp-20-10-B-1V1,255
sarp-16-8-C-1V1,255
sarp-6-3-C-2,255
sarp-20-10-B-2V2,255
sfsarp-40-20-2V1,128
sarp-30-15-A-2V1,255
sarp-20-10-A-2,255
sfsarp-16-8-5V1,128
sarp-50-25-A-1V2,0
sarp-20-10-B-1V3,255
ghsarp-12-6-0,255
sarp-20-10-C-1V3,255
sarp-16-8-A-1V3,255
sarp-16-8-B-2V3,255
sarp-20-10-A-2V3,255
sarp-10-5-B-1,255
ghsarp-10-5-0,255
sarp-16-8-C-1V3,255
sfsarp-20-10-1,128
sarp-30-15-C-2V1,128
sarp-12-6-B-2,255
sfsarp-8-4-1,255
sarp-50-25-B-1V2,0
sfsarp-30-15-1,0
sfsarp-12-6-4,255
sarp-30-15-B-2V2,128
sarp-10-5-B-2,255
sarp-60-30-B-2V3,0
sarp-30-15-A-1V1,255
sfsarp-40-20-5,0
sfsarp-50-25-2V1,0
sfsarp-10-5-2,255
sarp-16-8-C-2V3,255
sfsarp-50-25-4V1,0
sarp-20-10-B-2,128
sfsarp-20-10-4,128
sarp-30-15-A-2V2,128
sfsarp-12-6-2,255
sarp-40-20-A-2V3,255
sarp-16-8-A-1,255
sarp-6-3-A-2,255
sarp-50-25-C-2V3,128
sarp-40-20-A-1V1,255
sarp-50-25-A-2V2,0
sarp-12-6-A-1,255
sfsarp-8-4-4,255
sarp-40-20-C-1V2,0
ghsarp-12-6-4,255
sarp-30-15-A-2V3,255
sarp-30-15-C-2,0
sfsarp-8-4-2,255
sarp-60-30-A-2V3,255
sarp-40-20-C-1V1,0
sarp-30-15-B-1,0
sfsarp-40-20-4,0
sfsarp-16-8-3,128
ghsarp-12-6-1,255
sarp-30-15-C-2V3,128
sarp-12-6-C-1,255
sarp-30-15-B-1V1,255
sarp-10-5-A-1,255
sarp-40-20-B-2,0
sfsarp-20-10-4V1,0
sfsarp-16-8-4,128
sarp-30-15-A-1V2,255
sfsarp-10-5-3,255
sfsarp-50-25-5V1,0
sarp-20-10-B-1,255
sarp-40-20-C-2,0
sarp-60-30-C-2V3,0
sarp-20-10-C-2V1,255
sarp-30-15-B-1V2,255
sfsarp-30-15-4,0
sarp-16-8-A-1V2,255
sarp-50-25-B-2V3,128
sfsarp-10-5-5,255
sarp-16-8-B-1V3,255
ghsarp-6-3-1,255
sfsarp-20-10-5V1,128
sarp-40-20-C-2V3,0
sarp-40-20-A-1,0
sarp-40-20-B-2V2,0
sarp-50-25-A-1V1,128
ghsarp-10-5-4,255
sfsarp-40-20-3V1,0
sarp-30-15-A-1,0
sarp-40-20-B-2V3,128
sarp-16-8-C-2V1,255
sarp-20-10-A-1V3,255
sarp-20-10-C-2,128
sarp-16-8-B-1V2,255
sarp-16-8-B-1V1,0
sarp-8-4-C-1,255
sarp-30-15-C-1V2,128
sarp-50-25-A-1V3,255
sfsarp-40-20-5V1,128
sfsarp-16-8-5,128
ghsarp-8-4-4,255
sfsarp-20-10-1V1,128
sarp-20-10-C-1V1,255
sarp-30-15-C-1,0
sfsarp-6-3-5,255
sarp-50-25-C-1V2,0
sarp-6-3-A-1,255
sarp-20-10-C-2V2,255
sarp-16-8-A-1V1,255
sarp-20-10-B-1V2,255
sfsarp-6-3-2,255
sfsarp-30-15-2,0
sarp-30-15-B-2V1,255
sarp-50-25-A-2V3,255
sarp-60-30-C-1V3,0
sarp-40-20-C-1,0
sarp-20-10-A-2V2,255
sfsarp-20-10-2,255
sarp-20-10-B-2V1,255
ghsarp-8-4-2,255
sfsarp-30-15-2V1,128
sarp-8-4-A-2,255
sarp-30-15-C-1V1,128
sfsarp-40-20-3,0
ghsarp-8-4-0,255
sarp-40-20-A-2,0
sarp-40-20-B-1V2,0
ghsarp-12-6-2,255
sfsarp-16-8-2,128
sarp-50-25-C-1V3,128
sfsarp-40-20-1,0
sarp-16-8-A-2,255
sarp-6-3-B-1,255
ghsarp-8-4-1,255
sarp-12-6-A-2,255
sfsarp-20-10-2V1,128
sfsarp-12-6-3,255
sarp-8-4-C-2,255
sarp-10-5-A-2,255
sarp-50-25-C-1V1,0
sarp-20-10-A-1,255
sarp-50-25-B-1V3,255
sarp-40-20-A-2V2,0
sfsarp-20-10-3,128
sarp-40-20-B-1,0
sarp-16-8-A-2V3,255
ghsarp-6-3-3,255
sfsarp-20-10-5,128
sarp-30-15-B-2,0
sfsarp-8-4-5,255
sarp-30-15-C-2V2,0
sarp-16-8-B-2,255
sfsarp-30-15-5V1,255
sarp-10-5-C-1,255
sarp-40-20-C-1V3,128
ghsarp-6-3-4,255
sarp-50-25-C-2V2,0
sfsarp-30-15-3,0
sfsarp-40-20-1V1,0
sarp-50-25-B-2V1,0
sarp-20-10-A-1V2,255
sarp-20-10-C-1,255
sfsarp-30-15-4V1,128
sarp-12-6-B-1,255
sarp-40-20-C-2V1,0
sarp-12-6-C-2,255
sfsarp-6-3-1,255
sfsarp-8-4-3,255
sfsarp-10-5-4,255
sarp-50-25-B-2V2,0
sarp-60-30-B-1V3,128
sarp-60-30-A-1V3,255
sarp-20-10-C-1V2,128
sarp-50-25-C-2V1,0
sfsarp-10-5-1,255
sfsarp-40-20-4V1,0
ghsarp-10-5-1,255
sarp-30-15-B-2V3,255
sarp-20-10-A-1V1,255
sfsarp-6-3-4,255
sarp-40-20-C-2V2,0
sarp-8-4-A-1,255
sarp-16-8-C-2V2,255
