Row,standardMIP,BCP
sarp-30-15-A-2,0,100
sarp-20-10-C-2V3,0,0
sfsarp-16-8-1,0.09,0
sfsarp-16-8-3V1,0.09,0
sarp-16-8-C-1,0,0
sarp-40-20-A-1V3,0,0
ghsarp-8-4-3,0,0
sarp-16-8-C-1V2,0,0
sfsarp-30-15-3V1,0.05,0
sarp-8-4-B-1,0,0
sfsarp-30-15-5,4.94,100
sarp-30-15-B-1V3,0,0
sfsarp-16-8-1V1,2.49,0
ghsarp-6-3-2,0,0
sarp-20-10-B-2V3,0,0
sarp-16-8-B-1,0,0
ghsarp-12-6-3,0,0
sarp-50-25-B-1V1,7.09,0
sarp-16-8-A-2V1,0,0
sarp-30-15-C-1V3,8.51,0
sfsarp-50-25-1V1,6.97,100
sarp-40-20-B-1V1,5.28,0
sfsarp-50-25-3V1,10.92,100
sarp-20-10-A-2V1,0,0
sarp-16-8-B-2V1,0,0
sarp-6-3-B-2,0,0
ghsarp-10-5-3,0,0
sarp-16-8-A-2V2,0,0
sarp-30-15-A-1V3,0,0
sfsarp-16-8-4V1,0.08,0
sarp-10-5-C-2,0,0
ghsarp-6-3-0,0,0
sarp-40-20-B-2V1,0,0
sfsarp-16-8-2V1,1.57,0
ghsarp-10-5-2,0,0
sfsarp-20-10-3V1,0.11,0
sfsarp-12-6-1,0,0
sfsarp-30-15-1V1,0.01,0
sarp-40-20-A-2V1,6.76,0
sarp-40-20-B-1V3,0,0
sarp-6-3-C-1,0,0
sarp-16-8-C-2,0,0
sfsarp-40-20-2,7.76,100
sarp-50-25-A-2V1,9.6,5.71
sarp-16-8-B-2V2,0,0
sfsarp-12-6-5,0,0
sarp-40-20-A-1V2,22.96,100
sarp-8-4-B-2,0,0
sfsarp-6-3-3,0,0
sarp-20-10-B-1V1,0,0
sarp-16-8-C-1V1,0,0
sarp-6-3-C-2,0,0
sarp-20-10-B-2V2,0,0
sfsarp-40-20-2V1,18.85,0
sarp-30-15-A-2V1,0,0
sarp-20-10-A-2,0,0
sfsarp-16-8-5V1,3.41,0
sarp-50-25-A-1V2,13.44,100
sarp-20-10-B-1V3,0,0
ghsarp-12-6-0,0,0
sarp-20-10-C-1V3,0,0
sarp-16-8-A-1V3,0,0
sarp-16-8-B-2V3,0,0
sarp-20-10-A-2V3,0,0
sarp-10-5-B-1,0,0
ghsarp-10-5-0,0,0
sarp-16-8-C-1V3,0,0
sfsarp-20-10-1,0.1,0
sarp-30-15-C-2V1,10,0
sarp-12-6-B-2,0,0
sfsarp-8-4-1,0,0
sarp-50-25-B-1V2,16.68,100
sfsarp-30-15-1,5.29,100
sfsarp-12-6-4,0,0
sarp-30-15-B-2V2,4.87,0
sarp-10-5-B-2,0,0
sarp-60-30-B-2V3,8.22,100
sarp-30-15-A-1V1,0,0
sfsarp-40-20-5,3.85,100
sfsarp-50-25-2V1,3.92,100
sfsarp-10-5-2,0,0
sarp-16-8-C-2V3,0,0
sfsarp-50-25-4V1,4.26,100
sarp-20-10-B-2,16.31,0
sfsarp-20-10-4,7.89,0
sarp-30-15-A-2V2,12.26,0
sfsarp-12-6-2,0,0
sarp-40-20-A-2V3,0,0
sarp-16-8-A-1,0,0
sarp-6-3-A-2,0,0
sarp-50-25-C-2V3,10.47,0
sarp-40-20-A-1V1,0,0
sarp-50-25-A-2V2,28.54,100
sarp-12-6-A-1,0,0
sfsarp-8-4-4,0,0
sarp-40-20-C-1V2,8.38,100
ghsarp-12-6-4,0,0
sarp-30-15-A-2V3,0,0
sarp-30-15-C-2,9.91,100
sfsarp-8-4-2,0,0
sarp-60-30-A-2V3,0.01,0.01
sarp-40-20-C-1V1,11.83,0.73
sarp-30-15-B-1,20.38,100
sfsarp-40-20-4,12.21,100
sfsarp-16-8-3,0.1,0
ghsarp-12-6-1,0,0
sarp-30-15-C-2V3,12.34,0
sarp-12-6-C-1,0,0
sarp-30-15-B-1V1,0,0
sarp-10-5-A-1,0,0
