Row,IsBetaEasy
sarp-30-15-A-2,0
sarp-20-10-C-2V3,1
sfsarp-16-8-1,0
sfsarp-16-8-3V1,0
sarp-16-8-C-1,1
sarp-40-20-A-1V3,1
ghsarp-8-4-3,1
sarp-16-8-C-1V2,1
sfsarp-30-15-3V1,0
sarp-8-4-B-1,1
sfsarp-30-15-5,0
sarp-30-15-B-1V3,1
sfsarp-16-8-1V1,0
ghsarp-6-3-2,1
sarp-20-10-B-2V3,1
sarp-16-8-B-1,1
ghsarp-12-6-3,1
sarp-50-25-B-1V1,0
sarp-16-8-A-2V1,1
sarp-30-15-C-1V3,0
sfsarp-50-25-1V1,0
sarp-40-20-B-1V1,0
sfsarp-50-25-3V1,0
sarp-20-10-A-2V1,1
sarp-16-8-B-2V1,1
sarp-6-3-B-2,1
ghsarp-10-5-3,1
sarp-16-8-A-2V2,1
sarp-30-15-A-1V3,1
sfsarp-16-8-4V1,0
sarp-10-5-C-2,1
ghsarp-6-3-0,1
sarp-40-20-B-2V1,1
sfsarp-16-8-2V1,0
ghsarp-10-5-2,1
sfsarp-20-10-3V1,0
sfsarp-12-6-1,1
sfsarp-30-15-1V1,1
sarp-40-20-A-2V1,0
sarp-40-20-B-1V3,1
sarp-6-3-C-1,1
sarp-16-8-C-2,1
sfsarp-40-20-2,0
sarp-50-25-A-2V1,0
sarp-16-8-B-2V2,1
sfsarp-12-6-5,1
sarp-40-20-A-1V2,0
sarp-8-4-B-2,1
sfsarp-6-3-3,1
sarp-20-10-B-1V1,1
sarp-16-8-C-1V1,1
sarp-6-3-C-2,1
sarp-20-10-B-2V2,1
sfsarp-40-20-2V1,0
sarp-30-15-A-2V1,1
sarp-20-10-A-2,1
sfsarp-16-8-5V1,0
sarp-50-25-A-1V2,0
sarp-20-10-B-1V3,1
ghsarp-12-6-0,1
sarp-20-10-C-1V3,1
sarp-16-8-A-1V3,1
sarp-16-8-B-2V3,1
sarp-20-10-A-2V3,1
sarp-10-5-B-1,1
ghsarp-10-5-0,1
sarp-16-8-C-1V3,1
sfsarp-20-10-1,0
sarp-30-15-C-2V1,0
sarp-12-6-B-2,1
sfsarp-8-4-1,1
sarp-50-25-B-1V2,0
sfsarp-30-15-1,0
sfsarp-12-6-4,1
sarp-30-15-B-2V2,0
sarp-10-5-B-2,1
sarp-60-30-B-2V3,0
sarp-30-15-A-1V1,1
sfsarp-40-20-5,0
sfsarp-50-25-2V1,0
sfsarp-10-5-2,1
sarp-16-8-C-2V3,1
sfsarp-50-25-4V1,0
sarp-20-10-B-2,0
sfsarp-20-10-4,0
sarp-30-15-A-2V2,0
sfsarp-12-6-2,1
sarp-40-20-A-2V3,1
sarp-16-8-A-1,1
sarp-6-3-A-2,1
sarp-50-25-C-2V3,0
sarp-40-20-A-1V1,1
sarp-50-25-A-2V2,0
