Row,V,avgReqPerVehicle,TWEntropy
sarp-30-15-A-2,170,228,148
sarp-20-10-C-2V3,127,42,117
sfsarp-16-8-1,105,135,65
sfsarp-16-8-3V1,105,199,111
sarp-16-8-C-1,105,135,107
sarp-40-20-A-1V3,203,135,227
ghsarp-8-4-3,38,54,60
sarp-16-8-C-1V2,105,54,104
sfsarp-30-15-3V1,170,184,165
sarp-8-4-B-1,38,54,32
sfsarp-30-15-5,170,228,181
sarp-30-15-B-1V3,170,122,181
sfsarp-16-8-1V1,105,135,65
ghsarp-6-3-2,0,0,18
sarp-20-10-B-2V3,127,98,125
sarp-16-8-B-1,105,199,108
ghsarp-12-6-3,78,135,131
sarp-50-25-B-1V1,231,238,227
sarp-16-8-A-2V1,105,199,109
sarp-30-15-C-1V3,170,77,206
sfsarp-50-25-1V1,231,238,244
sarp-40-20-B-1V1,203,255,218
sfsarp-50-25-3V1,231,209,230
sarp-20-10-A-2V1,127,255,161
sarp-16-8-B-2V1,105,199,83
sarp-6-3-B-2,0,0,4
ghsarp-10-5-3,61,98,93
sarp-16-8-A-2V2,105,54,122
sarp-30-15-A-1V3,170,122,202
sfsarp-16-8-4V1,105,199,102
sarp-10-5-C-2,61,98,48
ghsarp-6-3-0,0,0,55
sarp-40-20-B-2V1,203,255,196
sfsarp-16-8-2V1,105,199,152
ghsarp-10-5-2,61,98,116
sfsarp-20-10-3V1,127,255,159
sfsarp-12-6-1,78,135,131
sfsarp-30-15-1V1,170,228,187
sarp-40-20-A-2V1,203,255,198
sarp-40-20-B-1V3,203,98,197
sarp-6-3-C-1,0,0,18
sarp-16-8-C-2,105,199,114
sfsarp-40-20-2,203,216,192
sarp-50-25-A-2V1,231,238,239
sarp-16-8-B-2V2,105,54,132
sfsarp-12-6-5,78,135,76
sarp-40-20-A-1V2,203,135,227
sarp-8-4-B-2,38,54,9
sfsarp-6-3-3,0,0,6
sarp-20-10-B-1V1,127,255,166
sarp-16-8-C-1V1,105,135,107
sarp-6-3-C-2,0,0,35
sarp-20-10-B-2V2,127,98,125
sfsarp-40-20-2V1,203,216,192
sarp-30-15-A-2V1,170,228,148
sarp-20-10-A-2,127,255,161
sfsarp-16-8-5V1,105,199,95
sarp-50-25-A-1V2,231,144,236
sarp-20-10-B-1V3,127,98,106
ghsarp-12-6-0,78,135,102
sarp-20-10-C-1V3,127,68,139
sarp-16-8-A-1V3,105,54,117
sarp-16-8-B-2V3,105,54,132
sarp-20-10-A-2V3,127,98,115
sarp-10-5-B-1,61,98,100
ghsarp-10-5-0,61,98,122
sarp-16-8-C-1V3,105,54,104
sfsarp-20-10-1,127,184,134
sarp-30-15-C-2V1,170,228,196
sarp-12-6-B-2,78,135,61
sfsarp-8-4-1,38,54,8
sarp-50-25-B-1V2,231,144,231
sfsarp-30-15-1,170,228,187
sfsarp-12-6-4,78,135,74
sarp-30-15-B-2V2,170,98,175
sarp-10-5-B-2,61,98,11
sarp-60-30-B-2V3,255,98,221
sarp-30-15-A-1V1,170,228,192
sfsarp-40-20-5,203,216,210
sfsarp-50-25-2V1,231,238,201
sfsarp-10-5-2,61,98,57
sarp-16-8-C-2V3,105,54,119
sfsarp-50-25-4V1,231,209,199
sarp-20-10-B-2,127,255,164
sfsarp-20-10-4,127,184,114
sarp-30-15-A-2V2,170,122,124
sfsarp-12-6-2,78,135,67
sarp-40-20-A-2V3,203,135,203
sarp-16-8-A-1,105,199,135
sarp-6-3-A-2,0,0,0
sarp-50-25-C-2V3,231,85,227
sarp-40-20-A-1V1,203,255,214
sarp-50-25-A-2V2,231,144,243
sarp-12-6-A-1,78,135,90
sfsarp-8-4-4,38,54,51
