Row,V,avgReqPerVehicle,TWEntropy
sarp-30-15-A-2,113,219,189
sarp-20-10-C-2V3,66,27,163
sfsarp-16-8-1,47,109,111
sfsarp-16-8-3V1,47,182,159
sarp-16-8-C-1,47,109,154
sarp-40-20-A-1V3,161,109,240
ghsarp-8-4-3,9,36,104
sarp-16-8-C-1V2,47,36,151
sfsarp-30-15-3V1,113,164,201
sarp-8-4-B-1,9,36,65
sfsarp-30-15-5,113,219,212
sarp-30-15-B-1V3,113,96,212
sfsarp-16-8-1V1,47,109,111
ghsarp-6-3-2,0,0,40
sarp-20-10-B-2V3,66,73,170
sarp-16-8-B-1,47,182,156
ghsarp-12-6-3,28,109,175
sarp-50-25-B-1V1,208,232,240
sarp-16-8-A-2V1,47,182,156
sarp-30-15-C-1V3,113,55,228
sfsarp-50-25-1V1,208,232,249
sarp-40-20-B-1V1,161,255,235
sfsarp-50-25-3V1,208,194,241
sarp-20-10-A-2V1,66,255,198
sarp-16-8-B-2V1,47,182,131
sarp-6-3-B-2,0,0,11
ghsarp-10-5-3,19,73,142
sarp-16-8-A-2V2,47,36,168
sarp-30-15-A-1V3,113,96,225
sfsarp-16-8-4V1,47,182,150
sarp-10-5-C-2,19,73,89
ghsarp-6-3-0,0,0,98
sarp-40-20-B-2V1,161,255,222
sfsarp-16-8-2V1,47,182,191
ghsarp-10-5-2,19,73,162
sfsarp-20-10-3V1,66,255,197
sfsarp-12-6-1,28,109,175
sfsarp-30-15-1V1,113,219,216
sarp-40-20-A-2V1,161,255,223
sarp-40-20-B-1V3,161,73,222
sarp-6-3-C-1,0,0,40
sarp-16-8-C-2,47,182,161
sfsarp-40-20-2,161,203,219
sarp-50-25-A-2V1,208,232,246
sarp-16-8-B-2V2,47,36,177
sfsarp-12-6-5,28,109,123
sarp-40-20-A-1V2,161,109,240
sarp-8-4-B-2,9,36,22
sfsarp-6-3-3,0,0,14
sarp-20-10-B-1V1,66,255,202
sarp-16-8-C-1V1,47,109,154
sarp-6-3-C-2,0,0,69
sarp-20-10-B-2V2,66,73,170
sfsarp-40-20-2V1,161,203,219
sarp-30-15-A-2V1,113,219,189
sarp-20-10-A-2,66,255,198
sfsarp-16-8-5V1,47,182,143
sarp-50-25-A-1V2,208,118,245
sarp-20-10-B-1V3,66,73,154
ghsarp-12-6-0,28,109,150
sarp-20-10-C-1V3,66,47,182
sarp-16-8-A-1V3,47,36,163
sarp-16-8-B-2V3,47,36,177
sarp-20-10-A-2V3,66,73,162
sarp-10-5-B-1,19,73,148
ghsarp-10-5-0,19,73,168
sarp-16-8-C-1V3,47,36,151
sfsarp-20-10-1,66,164,178
sarp-30-15-C-2V1,113,219,221
sarp-12-6-B-2,28,109,106
sfsarp-8-4-1,9,36,20
sarp-50-25-B-1V2,208,118,242
sfsarp-30-15-1,113,219,216
sfsarp-12-6-4,28,109,121
sarp-30-15-B-2V2,113,73,208
sarp-10-5-B-2,19,73,26
sarp-60-30-B-2V3,255,73,237
sarp-30-15-A-1V1,113,219,219
sfsarp-40-20-5,161,203,230
sfsarp-50-25-2V1,208,232,224
sfsarp-10-5-2,19,73,100
sarp-16-8-C-2V3,47,36,166
sfsarp-50-25-4V1,208,194,224
sarp-20-10-B-2,66,255,200
sfsarp-20-10-4,66,164,161
sarp-30-15-A-2V2,113,96,169
sfsarp-12-6-2,28,109,113
sarp-40-20-A-2V3,161,109,226
sarp-16-8-A-1,47,182,179
sarp-6-3-A-2,0,0,0
sarp-50-25-C-2V3,208,61,240
sarp-40-20-A-1V1,161,255,233
sarp-50-25-A-2V2,208,118,249
sarp-12-6-A-1,28,109,138
sfsarp-8-4-4,9,36,93
sarp-40-20-C-1V2,161,73,232
ghsarp-12-6-4,28,109,115
sarp-30-15-A-2V3,113,96,169
sarp-30-15-C-2,113,219,221
sfsarp-8-4-2,9,36,34
sarp-60-30-A-2V3,255,73,248
sarp-40-20-C-1V1,161,255,255
sarp-30-15-B-1,113,219,232
sfsarp-40-20-4,161,255,235
sfsarp-16-8-3,47,182,159
ghsarp-12-6-1,28,109,153
sarp-30-15-C-2V3,113,96,187
sarp-12-6-C-1,28,109,120
sarp-30-15-B-1V1,113,219,232
sarp-10-5-A-1,19,73,124
sarp-40-20-B-2,161,255,222
sfsarp-20-10-4V1,66,164,161
sfsarp-16-8-4,47,182,150
sarp-30-15-A-1V2,113,96,225
sfsarp-10-5-3,19,73,101
sfsarp-50-25-5V1,208,194,220
sarp-20-10-B-1,66,255,202
sarp-40-20-C-2,161,164,237
sarp-60-30-C-2V3,255,73,249
sarp-20-10-C-2V1,66,109,176
sarp-30-15-B-1V2,113,96,212
sfsarp-30-15-4,113,219,217
sarp-16-8-A-1V2,47,36,163
sarp-50-25-B-2V3,208,118,248
sfsarp-10-5-5,19,73,101
sarp-16-8-B-1V3,47,36,149
ghsarp-6-3-1,0,0,64
sfsarp-20-10-5V1,66,255,184
sarp-40-20-C-2V3,161,109,249
sarp-40-20-A-1,161,255,233
sarp-40-20-B-2V2,161,109,225
sarp-50-25-A-1V1,208,232,242
ghsarp-10-5-4,19,73,126
sfsarp-40-20-3V1,161,203,200
sarp-30-15-A-1,113,219,219
sarp-40-20-B-2V3,161,109,225
sarp-16-8-C-2V1,47,182,161
sarp-20-10-A-1V3,66,73,195
sarp-20-10-C-2,66,109,176
sarp-16-8-B-1V2,47,36,149
sarp-16-8-B-1V1,47,182,156
sarp-8-4-C-1,9,36,87
sarp-30-15-C-1V2,113,55,228
sarp-50-25-A-1V3,208,118,245
sfsarp-40-20-5V1,161,203,230
sfsarp-16-8-5,47,182,143
ghsarp-8-4-4,9,36,65
sfsarp-20-10-1V1,66,164,178
sarp-20-10-C-1V1,66,164,201
sarp-30-15-C-1,113,164,194
sfsarp-6-3-5,0,0,15
sarp-50-25-C-1V2,208,61,241
sarp-6-3-A-1,0,0,55
sarp-20-10-C-2V2,66,27,163
sarp-16-8-A-1V1,47,182,179
sarp-20-10-B-1V2,66,73,154
sfsarp-6-3-2,0,0,49
sfsarp-30-15-2,113,164,178
sarp-30-15-B-2V1,113,219,225
sarp-50-25-A-2V3,208,118,249
sarp-60-30-C-1V3,255,73,238
sarp-40-20-C-1,161,255,255
sarp-20-10-A-2V2,66,73,162
sfsarp-20-10-2,66,164,158
sarp-20-10-B-2V1,66,255,200
ghsarp-8-4-2,9,36,108
sfsarp-30-15-2V1,113,164,178
sarp-8-4-A-2,9,36,50
sarp-30-15-C-1V1,113,164,194
sfsarp-40-20-3,161,203,200
ghsarp-8-4-0,9,36,130
sarp-40-20-A-2,161,255,223
sarp-40-20-B-1V2,161,73,222
ghsarp-12-6-2,28,109,175
sfsarp-16-8-2,47,182,191
sarp-50-25-C-1V3,208,61,241
sfsarp-40-20-1,161,203,242
sarp-16-8-A-2,47,182,156
sarp-6-3-B-1,0,0,49
ghsarp-8-4-1,9,36,93
sarp-12-6-A-2,28,109,83
sfsarp-20-10-2V1,66,164,158
sfsarp-12-6-3,28,109,96
sarp-8-4-C-2,9,36,113
sarp-10-5-A-2,19,73,136
sarp-50-25-C-1V1,208,194,235
sarp-20-10-A-1,66,255,170
sarp-50-25-B-1V3,208,118,242
sarp-40-20-A-2V2,161,109,226
sfsarp-20-10-3,66,255,197
sarp-40-20-B-1,161,255,235
sarp-16-8-A-2V3,47,36,168
ghsarp-6-3-3,0,0,58
sfsarp-20-10-5,66,255,184
sarp-30-15-B-2,113,219,225
sfsarp-8-4-5,9,36,65
sarp-30-15-C-2V2,113,96,187
sarp-16-8-B-2,47,182,131
sfsarp-30-15-5V1,113,219,212
sarp-10-5-C-1,19,73,136
sarp-40-20-C-1V3,161,73,232
ghsarp-6-3-4,0,0,49
sarp-50-25-C-2V2,208,61,240
sfsarp-30-15-3,113,164,201
sfsarp-40-20-1V1,161,203,242
sarp-50-25-B-2V1,208,232,255
sarp-20-10-A-1V2,66,73,195
sarp-20-10-C-1,66,164,201
sfsarp-30-15-4V1,113,219,217
sarp-12-6-B-1,28,109,129
sarp-40-20-C-2V1,161,164,237
sarp-12-6-C-2,28,109,109
sfsarp-6-3-1,0,0,49
sfsarp-8-4-3,9,36,87
sfsarp-10-5-4,19,73,115
sarp-50-25-B-2V2,208,118,248
sarp-60-30-B-1V3,255,73,245
sarp-60-30-A-1V3,255,73,254
sarp-20-10-C-1V2,66,47,182
sarp-50-25-C-2V1,208,164,241
sfsarp-10-5-1,19,73,89
sfsarp-40-20-4V1,161,255,235
ghsarp-10-5-1,19,73,133
sarp-30-15-B-2V3,113,73,208
sarp-20-10-A-1V1,66,255,170
sfsarp-6-3-4,0,0,49
sarp-40-20-C-2V2,161,109,249
sarp-8-4-A-1,9,36,102
sarp-16-8-C-2V2,47,36,166
