Row,z_1,z_2
bnd_pnt_1,-0.426907217266998,0.00193882195608481
bnd_pnt_2,0.0389436502305281,-0.125325555113537
bnd_pnt_3,1.03773566029161,-0.743558937334622
bnd_pnt_4,1.09755715142673,-1.3652620325832
bnd_pnt_5,0.976156027855391,-1.9912382070188
bnd_pnt_6,0.527070040780447,-1.75783180600233
bnd_pnt_7,0.463842894884537,-1.03589757199125
bnd_pnt_8,-0.22892766336245,-1.22872547224153
bnd_pnt_9,-0.629298235885108,-1.15802569334858
bnd_pnt_10,-0.556620615530359,-0.818763326940878
bnd_pnt_11,-0.932272858916079,-0.0904145437099984
bnd_pnt_12,-1.29008107084256,-0.21213400593694
bnd_pnt_13,-1.48378035913065,0.263049337967946
bnd_pnt_14,-0.903518943808016,0.249651355804573
bnd_pnt_15,NaN,NaN
bnd_pnt_16,0.294651840944792,1.20660860050954
bnd_pnt_17,0.80905011523744,1.25308093734543
bnd_pnt_18,1.06223258290532,1.12149275539451
bnd_pnt_19,1.06777463582527,0.250540550820117
bnd_pnt_20,0.56504297729909,0.331988383971256
