Row,standardMIP,BCP
sarp-30-15-A-2,0,255
sarp-20-10-C-2V3,0,0
sfsarp-16-8-1,1,0
sfsarp-16-8-3V1,1,0
sarp-16-8-C-1,0,0
sarp-40-20-A-1V3,0,0
ghsarp-8-4-3,0,0
sarp-16-8-C-1V2,0,0
sfsarp-30-15-3V1,0,0
sarp-8-4-B-1,0,0
sfsarp-30-15-5,44,255
sarp-30-15-B-1V3,0,0
sfsarp-16-8-1V1,22,0
ghsarp-6-3-2,0,0
sarp-20-10-B-2V3,0,0
sarp-16-8-B-1,0,0
ghsarp-12-6-3,0,0
sarp-50-25-B-1V1,63,0
sarp-16-8-A-2V1,0,0
sarp-30-15-C-1V3,76,0
sfsarp-50-25-1V1,62,255
sarp-40-20-B-1V1,47,0
sfsarp-50-25-3V1,98,255
sarp-20-10-A-2V1,0,0
sarp-16-8-B-2V1,0,0
sarp-6-3-B-2,0,0
ghsarp-10-5-3,0,0
sarp-16-8-A-2V2,0,0
sarp-30-15-A-1V3,0,0
sfsarp-16-8-4V1,1,0
sarp-10-5-C-2,0,0
ghsarp-6-3-0,0,0
sarp-40-20-B-2V1,0,0
sfsarp-16-8-2V1,14,0
ghsarp-10-5-2,0,0
sfsarp-20-10-3V1,1,0
sfsarp-12-6-1,0,0
sfsarp-30-15-1V1,0,0
sarp-40-20-A-2V1,60,0
sarp-40-20-B-1V3,0,0
sarp-6-3-C-1,0,0
sarp-16-8-C-2,0,0
sfsarp-40-20-2,69,255
sarp-50-25-A-2V1,86,15
sarp-16-8-B-2V2,0,0
sfsarp-12-6-5,0,0
sarp-40-20-A-1V2,205,255
sarp-8-4-B-2,0,0
sfsarp-6-3-3,0,0
sarp-20-10-B-1V1,0,0
sarp-16-8-C-1V1,0,0
sarp-6-3-C-2,0,0
sarp-20-10-B-2V2,0,0
sfsarp-40-20-2V1,168,0
sarp-30-15-A-2V1,0,0
sarp-20-10-A-2,0,0
sfsarp-16-8-5V1,30,0
sarp-50-25-A-1V2,120,255
sarp-20-10-B-1V3,0,0
ghsarp-12-6-0,0,0
sarp-20-10-C-1V3,0,0
sarp-16-8-A-1V3,0,0
sarp-16-8-B-2V3,0,0
sarp-20-10-A-2V3,0,0
sarp-10-5-B-1,0,0
ghsarp-10-5-0,0,0
sarp-16-8-C-1V3,0,0
sfsarp-20-10-1,1,0
sarp-30-15-C-2V1,89,0
sarp-12-6-B-2,0,0
sfsarp-8-4-1,0,0
sarp-50-25-B-1V2,149,255
sfsarp-30-15-1,47,255
sfsarp-12-6-4,0,0
sarp-30-15-B-2V2,44,0
sarp-10-5-B-2,0,0
sarp-60-30-B-2V3,73,255
sarp-30-15-A-1V1,0,0
sfsarp-40-20-5,34,255
sfsarp-50-25-2V1,35,255
sfsarp-10-5-2,0,0
sarp-16-8-C-2V3,0,0
sfsarp-50-25-4V1,38,255
sarp-20-10-B-2,146,0
sfsarp-20-10-4,70,0
sarp-30-15-A-2V2,110,0
sfsarp-12-6-2,0,0
sarp-40-20-A-2V3,0,0
sarp-16-8-A-1,0,0
sarp-6-3-A-2,0,0
sarp-50-25-C-2V3,94,0
sarp-40-20-A-1V1,0,0
sarp-50-25-A-2V2,255,255
sarp-12-6-A-1,0,0
sfsarp-8-4-4,0,0
sarp-40-20-C-1V2,75,255
ghsarp-12-6-4,0,0
sarp-30-15-A-2V3,0,0
sarp-30-15-C-2,89,255
sfsarp-8-4-2,0,0
sarp-60-30-A-2V3,0,0
sarp-40-20-C-1V1,106,2
sarp-30-15-B-1,182,255
sfsarp-40-20-4,109,255
sfsarp-16-8-3,1,0
ghsarp-12-6-1,0,0
sarp-30-15-C-2V3,110,0
sarp-12-6-C-1,0,0
sarp-30-15-B-1V1,0,0
sarp-10-5-A-1,0,0
sarp-40-20-B-2,166,255
sfsarp-20-10-4V1,1,0
sfsarp-16-8-4,1,0
sarp-30-15-A-1V2,0,0
sfsarp-10-5-3,0,0
sfsarp-50-25-5V1,60,255
sarp-20-10-B-1,0,0
sarp-40-20-C-2,94,255
sarp-60-30-C-2V3,117,0
sarp-20-10-C-2V1,0,0
sarp-30-15-B-1V2,0,0
sfsarp-30-15-4,87,255
sarp-16-8-A-1V2,0,0
sarp-50-25-B-2V3,84,0
sfsarp-10-5-5,0,0
sarp-16-8-B-1V3,0,0
ghsarp-6-3-1,0,0
sfsarp-20-10-5V1,1,0
sarp-40-20-C-2V3,203,0
sarp-40-20-A-1,108,255
sarp-40-20-B-2V2,218,255
sarp-50-25-A-1V1,82,0
ghsarp-10-5-4,0,0
sfsarp-40-20-3V1,74,0
sarp-30-15-A-1,190,255
sarp-40-20-B-2V3,131,0
sarp-16-8-C-2V1,0,0
sarp-20-10-A-1V3,0,0
sarp-20-10-C-2,40,0
sarp-16-8-B-1V2,0,0
sarp-16-8-B-1V1,29,8
sarp-8-4-C-1,0,0
sarp-30-15-C-1V2,129,0
sarp-50-25-A-1V3,0,0
sfsarp-40-20-5V1,38,0
sfsarp-16-8-5,1,0
ghsarp-8-4-4,0,0
sfsarp-20-10-1V1,1,0
sarp-20-10-C-1V1,0,0
sarp-30-15-C-1,68,255
sfsarp-6-3-5,0,0
sarp-50-25-C-1V2,79,255
sarp-6-3-A-1,0,0
sarp-20-10-C-2V2,0,0
sarp-16-8-A-1V1,0,0
sarp-20-10-B-1V2,0,0
sfsarp-6-3-2,0,0
sfsarp-30-15-2,37,255
sarp-30-15-B-2V1,0,0
sarp-50-25-A-2V3,0,0
sarp-60-30-C-1V3,111,0
sarp-40-20-C-1,113,255
sarp-20-10-A-2V2,0,0
sfsarp-20-10-2,0,0
sarp-20-10-B-2V1,0,0
ghsarp-8-4-2,0,0
sfsarp-30-15-2V1,29,0
sarp-8-4-A-2,0,0
sarp-30-15-C-1V1,28,0
sfsarp-40-20-3,73,255
ghsarp-8-4-0,0,0
sarp-40-20-A-2,169,255
sarp-40-20-B-1V2,174,255
ghsarp-12-6-2,0,0
sfsarp-16-8-2,1,0
sarp-50-25-C-1V3,115,0
sfsarp-40-20-1,221,255
sarp-16-8-A-2,0,0
sarp-6-3-B-1,0,0
ghsarp-8-4-1,0,0
sarp-12-6-A-2,0,0
sfsarp-20-10-2V1,0,0
sfsarp-12-6-3,0,0
sarp-8-4-C-2,0,0
sarp-10-5-A-2,0,0
sarp-50-25-C-1V1,83,1
sarp-20-10-A-1,0,0
sarp-50-25-B-1V3,0,0
sarp-40-20-A-2V2,133,255
sfsarp-20-10-3,1,0
sarp-40-20-B-1,229,255
sarp-16-8-A-2V3,0,0
ghsarp-6-3-3,0,0
sfsarp-20-10-5,59,0
sarp-30-15-B-2,228,255
sfsarp-8-4-5,0,0
sarp-30-15-C-2V2,105,0
sarp-16-8-B-2,0,0
sfsarp-30-15-5V1,0,0
sarp-10-5-C-1,0,0
