Row,V,avgReqPerVehicle,TWEntropy
sarp-30-15-A-2,45,9,0.83
sarp-20-10-C-2V3,30,3.75,0.7935
sfsarp-16-8-1,24,6,0.71823
sfsarp-16-8-3V1,24,8,0.78668
sarp-16-8-C-1,24,6,0.78077
sarp-40-20-A-1V3,60,6,0.90311
ghsarp-8-4-3,12,4,0.70878
sarp-16-8-C-1V2,24,4,0.77639
sfsarp-30-15-3V1,45,7.5,0.8475
sarp-8-4-B-1,12,4,0.65205
sfsarp-30-15-5,45,9,0.86297
sarp-30-15-B-1V3,45,5.625,0.86325
sfsarp-16-8-1V1,24,6,0.71823
ghsarp-6-3-2,9,3,0.61651
sarp-20-10-B-2V3,30,5,0.80367
sarp-16-8-B-1,24,8,0.78269
ghsarp-12-6-3,18,6,0.81091
sarp-50-25-B-1V1,75,9.375,0.90371
sarp-16-8-A-2V1,24,8,0.78308
sarp-30-15-C-1V3,45,4.5,0.88593
sfsarp-50-25-1V1,75,9.375,0.91661
sarp-40-20-B-1V1,60,10,0.89619
sfsarp-50-25-3V1,75,8.33333,0.90559
sarp-20-10-A-2V1,30,10,0.84405
sarp-16-8-B-2V1,24,8,0.7465
sarp-6-3-B-2,9,3,0.57476
ghsarp-10-5-3,15,5,0.76224
sarp-16-8-A-2V2,24,4,0.79977
sarp-30-15-A-1V3,45,5.625,0.88274
sfsarp-16-8-4V1,24,8,0.77437
sarp-10-5-C-2,15,5,0.68708
ghsarp-6-3-0,9,3,0.70002
sarp-40-20-B-2V1,60,10,0.87726
sfsarp-16-8-2V1,24,8,0.83365
ghsarp-10-5-2,15,5,0.79202
sfsarp-20-10-3V1,30,10,0.84138
sfsarp-12-6-1,18,6,0.81091
sfsarp-30-15-1V1,45,9,0.8689
sarp-40-20-A-2V1,60,10,0.87902
sarp-40-20-B-1V3,60,5,0.87792
sarp-6-3-C-1,9,3,0.61651
sarp-16-8-C-2,24,8,0.79002
sfsarp-40-20-2,60,8.57143,0.87363
sarp-50-25-A-2V1,75,9.375,0.9126
sarp-16-8-B-2V2,24,4,0.81248
sfsarp-12-6-5,18,6,0.73594
sarp-40-20-A-1V2,60,6,0.90311
sarp-8-4-B-2,12,4,0.5904
sfsarp-6-3-3,9,3,0.57883
sarp-20-10-B-1V1,30,10,0.84847
sarp-16-8-C-1V1,24,6,0.78077
sarp-6-3-C-2,9,3,0.65827
sarp-20-10-B-2V2,30,5,0.80367
sfsarp-40-20-2V1,60,8.57143,0.87363
sarp-30-15-A-2V1,45,9,0.83
sarp-20-10-A-2,30,10,0.84405
sfsarp-16-8-5V1,24,8,0.76407
sarp-50-25-A-1V2,75,6.25,0.91054
sarp-20-10-B-1V3,30,5,0.77944
ghsarp-12-6-0,18,6,0.77375
sarp-20-10-C-1V3,30,4.28571,0.81983
