Row,standardMIP,BCP
sarp-30-15-A-2,0,255
sarp-20-10-C-2V3,0,30
sfsarp-16-8-1,181,30
sfsarp-16-8-3V1,181,30
sarp-16-8-C-1,0,30
sarp-40-20-A-1V3,0,30
ghsarp-8-4-3,0,30
sarp-16-8-C-1V2,0,30
sfsarp-30-15-3V1,179,30
sarp-8-4-B-1,0,30
sfsarp-30-15-5,195,255
sarp-30-15-B-1V3,0,30
sfsarp-16-8-1V1,193,30
ghsarp-6-3-2,0,30
sarp-20-10-B-2V3,0,30
sarp-16-8-B-1,0,30
ghsarp-12-6-3,0,30
sarp-50-25-B-1V1,196,30
sarp-16-8-A-2V1,0,30
sarp-30-15-C-1V3,197,30
sfsarp-50-25-1V1,196,255
sarp-40-20-B-1V1,195,30
sfsarp-50-25-3V1,198,255
sarp-20-10-A-2V1,0,30
sarp-16-8-B-2V1,0,30
sarp-6-3-B-2,0,30
ghsarp-10-5-3,0,30
sarp-16-8-A-2V2,0,30
sarp-30-15-A-1V3,0,30
sfsarp-16-8-4V1,181,30
sarp-10-5-C-2,0,30
ghsarp-6-3-0,0,30
sarp-40-20-B-2V1,0,30
sfsarp-16-8-2V1,191,30
ghsarp-10-5-2,0,30
sfsarp-20-10-3V1,182,30
sfsarp-12-6-1,0,30
sfsarp-30-15-1V1,173,30
sarp-40-20-A-2V1,196,30
sarp-40-20-B-1V3,0,30
sarp-6-3-C-1,0,30
sarp-16-8-C-2,0,30
sfsarp-40-20-2,197,255
sarp-50-25-A-2V1,197,253
sarp-16-8-B-2V2,0,30
sfsarp-12-6-5,0,30
sarp-40-20-A-1V2,200,255
sarp-8-4-B-2,0,30
sfsarp-6-3-3,0,30
sarp-20-10-B-1V1,0,30
sarp-16-8-C-1V1,0,30
sarp-6-3-C-2,0,30
sarp-20-10-B-2V2,0,30
sfsarp-40-20-2V1,200,30
sarp-30-15-A-2V1,0,30
sarp-20-10-A-2,0,30
sfsarp-16-8-5V1,194,30
sarp-50-25-A-1V2,198,255
sarp-20-10-B-1V3,0,30
ghsarp-12-6-0,0,30
sarp-20-10-C-1V3,0,30
sarp-16-8-A-1V3,0,30
sarp-16-8-B-2V3,0,30
sarp-20-10-A-2V3,0,30
sarp-10-5-B-1,0,30
ghsarp-10-5-0,0,30
sarp-16-8-C-1V3,0,30
sfsarp-20-10-1,181,30
sarp-30-15-C-2V1,197,30
sarp-12-6-B-2,0,30
sfsarp-8-4-1,0,30
sarp-50-25-B-1V2,199,255
sfsarp-30-15-1,195,255
sfsarp-12-6-4,0,30
sarp-30-15-B-2V2,195,30
sarp-10-5-B-2,0,30
sarp-60-30-B-2V3,197,255
sarp-30-15-A-1V1,0,30
sfsarp-40-20-5,194,255
sfsarp-50-25-2V1,194,255
sfsarp-10-5-2,0,30
sarp-16-8-C-2V3,0,30
sfsarp-50-25-4V1,195,255
sarp-20-10-B-2,199,30
sfsarp-20-10-4,197,30
sarp-30-15-A-2V2,198,30
sfsarp-12-6-2,0,30
sarp-40-20-A-2V3,0,30
sarp-16-8-A-1,0,30
sarp-6-3-A-2,0,30
sarp-50-25-C-2V3,198,30
sarp-40-20-A-1V1,0,30
sarp-50-25-A-2V2,201,255
sarp-12-6-A-1,0,30
sfsarp-8-4-4,0,30
sarp-40-20-C-1V2,197,255
ghsarp-12-6-4,0,30
sarp-30-15-A-2V3,0,30
sarp-30-15-C-2,197,255
sfsarp-8-4-2,0,30
sarp-60-30-A-2V3,173,248
sarp-40-20-C-1V1,198,252
sarp-30-15-B-1,200,255
sfsarp-40-20-4,198,255
sfsarp-16-8-3,181,30
ghsarp-12-6-1,0,30
sarp-30-15-C-2V3,198,30
sarp-12-6-C-1,0,30
sarp-30-15-B-1V1,0,30
sarp-10-5-A-1,0,30
sarp-40-20-B-2,200,255
sfsarp-20-10-4V1,182,251
sfsarp-16-8-4,181,30
sarp-30-15-A-1V2,0,30
sfsarp-10-5-3,0,30
sfsarp-50-25-5V1,196,255
sarp-20-10-B-1,0,30
sarp-40-20-C-2,198,255
sarp-60-30-C-2V3,198,250
sarp-20-10-C-2V1,0,30
sarp-30-15-B-1V2,0,30
sfsarp-30-15-4,197,255
sarp-16-8-A-1V2,0,30
sarp-50-25-B-2V3,197,30
sfsarp-10-5-5,0,30
sarp-16-8-B-1V3,0,30
ghsarp-6-3-1,0,30
sfsarp-20-10-5V1,182,30
sarp-40-20-C-2V3,200,250
sarp-40-20-A-1,198,255
sarp-40-20-B-2V2,200,255
sarp-50-25-A-1V1,197,30
ghsarp-10-5-4,0,30
sfsarp-40-20-3V1,197,250
sarp-30-15-A-1,200,255
sarp-40-20-B-2V3,199,30
sarp-16-8-C-2V1,0,30
sarp-20-10-A-1V3,0,30
sarp-20-10-C-2,195,30
sarp-16-8-B-1V2,0,30
sarp-16-8-B-1V1,194,253
sarp-8-4-C-1,0,30
sarp-30-15-C-1V2,199,30
sarp-50-25-A-1V3,0,30
sfsarp-40-20-5V1,195,30
sfsarp-16-8-5,179,30
ghsarp-8-4-4,0,30
sfsarp-20-10-1V1,181,30
sarp-20-10-C-1V1,0,30
sarp-30-15-C-1,197,255
sfsarp-6-3-5,0,30
sarp-50-25-C-1V2,197,255
sarp-6-3-A-1,0,30
sarp-20-10-C-2V2,0,30
sarp-16-8-A-1V1,0,30
sarp-20-10-B-1V2,0,30
sfsarp-6-3-2,0,30
sfsarp-30-15-2,195,255
sarp-30-15-B-2V1,0,30
sarp-50-25-A-2V3,0,30
sarp-60-30-C-1V3,198,250
sarp-40-20-C-1,198,255
sarp-20-10-A-2V2,0,30
sfsarp-20-10-2,0,30
sarp-20-10-B-2V1,0,30
ghsarp-8-4-2,0,30
sfsarp-30-15-2V1,194,30
sarp-8-4-A-2,0,30
sarp-30-15-C-1V1,194,30
sfsarp-40-20-3,197,255
ghsarp-8-4-0,0,30
sarp-40-20-A-2,200,255
sarp-40-20-B-1V2,200,255
ghsarp-12-6-2,0,30
sfsarp-16-8-2,180,30
sarp-50-25-C-1V3,198,30
sfsarp-40-20-1,200,255
sarp-16-8-A-2,0,30
sarp-6-3-B-1,0,30
ghsarp-8-4-1,0,30
sarp-12-6-A-2,0,30
sfsarp-20-10-2V1,178,30
sfsarp-12-6-3,0,30
sarp-8-4-C-2,0,30
sarp-10-5-A-2,0,30
sarp-50-25-C-1V1,197,251
sarp-20-10-A-1,0,30
sarp-50-25-B-1V3,0,30
sarp-40-20-A-2V2,199,255
sfsarp-20-10-3,180,30
sarp-40-20-B-1,201,255
sarp-16-8-A-2V3,0,30
ghsarp-6-3-3,0,30
sfsarp-20-10-5,196,30
sarp-30-15-B-2,201,255
sfsarp-8-4-5,0,30
sarp-30-15-C-2V2,198,251
sarp-16-8-B-2,0,30
sfsarp-30-15-5V1,173,30
sarp-10-5-C-1,0,30
sarp-40-20-C-1V3,198,30
ghsarp-6-3-4,0,30
sarp-50-25-C-2V2,197,255
sfsarp-30-15-3,195,255
sfsarp-40-20-1V1,200,250
sarp-50-25-B-2V1,196,254
sarp-20-10-A-1V2,0,30
sarp-20-10-C-1,0,30
sfsarp-30-15-4V1,193,30
sarp-12-6-B-1,0,30
sarp-40-20-C-2V1,197,252
sarp-12-6-C-2,0,30
sfsarp-6-3-1,0,30
sfsarp-8-4-3,0,30
sfsarp-10-5-4,0,30
sarp-50-25-B-2V2,199,255
sarp-60-30-B-1V3,195,30
sarp-60-30-A-1V3,0,30
sarp-20-10-C-1V2,194,30
sarp-50-25-C-2V1,197,255
sfsarp-10-5-1,0,30
sfsarp-40-20-4V1,197,250
ghsarp-10-5-1,0,30
sarp-30-15-B-2V3,0,30
sarp-20-10-A-1V1,0,30
sfsarp-6-3-4,0,30
sarp-40-20-C-2V2,199,255
sarp-8-4-A-1,0,30
sarp-16-8-C-2V2,0,30
