Row,standardMIP,BCP
sarp-30-15-A-2,0,255
sarp-20-10-C-2V3,0,0
sfsarp-16-8-1,230,0
sfsarp-16-8-3V1,230,0
sarp-16-8-C-1,0,0
sarp-40-20-A-1V3,0,0
ghsarp-8-4-3,0,0
sarp-16-8-C-1V2,0,0
sfsarp-30-15-3V1,227,0
sarp-8-4-B-1,0,0
sfsarp-30-15-5,248,255
sarp-30-15-B-1V3,0,0
sfsarp-16-8-1V1,245,0
ghsarp-6-3-2,0,0
sarp-20-10-B-2V3,0,0
sarp-16-8-B-1,0,0
ghsarp-12-6-3,0,0
sarp-50-25-B-1V1,249,0
sarp-16-8-A-2V1,0,0
sarp-30-15-C-1V3,250,0
sfsarp-50-25-1V1,249,255
sarp-40-20-B-1V1,248,0
sfsarp-50-25-3V1,251,255
sarp-20-10-A-2V1,0,0
sarp-16-8-B-2V1,0,0
sarp-6-3-B-2,0,0
ghsarp-10-5-3,0,0
sarp-16-8-A-2V2,0,0
sarp-30-15-A-1V3,0,0
sfsarp-16-8-4V1,229,0
sarp-10-5-C-2,0,0
ghsarp-6-3-0,0,0
sarp-40-20-B-2V1,0,0
sfsarp-16-8-2V1,243,0
ghsarp-10-5-2,0,0
sfsarp-20-10-3V1,231,0
sfsarp-12-6-1,0,0
sfsarp-30-15-1V1,219,0
sarp-40-20-A-2V1,249,0
sarp-40-20-B-1V3,0,0
sarp-6-3-C-1,0,0
sarp-16-8-C-2,0,0
sfsarp-40-20-2,250,255
sarp-50-25-A-2V1,250,253
sarp-16-8-B-2V2,0,0
sfsarp-12-6-5,0,0
sarp-40-20-A-1V2,254,255
sarp-8-4-B-2,0,0
sfsarp-6-3-3,0,0
sarp-20-10-B-1V1,0,0
sarp-16-8-C-1V1,0,0
sarp-6-3-C-2,0,0
sarp-20-10-B-2V2,0,0
sfsarp-40-20-2V1,253,0
sarp-30-15-A-2V1,0,0
sarp-20-10-A-2,0,0
sfsarp-16-8-5V1,246,0
sarp-50-25-A-1V2,252,255
sarp-20-10-B-1V3,0,0
ghsarp-12-6-0,0,0
sarp-20-10-C-1V3,0,0
sarp-16-8-A-1V3,0,0
sarp-16-8-B-2V3,0,0
sarp-20-10-A-2V3,0,0
sarp-10-5-B-1,0,0
ghsarp-10-5-0,0,0
sarp-16-8-C-1V3,0,0
sfsarp-20-10-1,230,0
sarp-30-15-C-2V1,251,0
sarp-12-6-B-2,0,0
sfsarp-8-4-1,0,0
sarp-50-25-B-1V2,253,255
sfsarp-30-15-1,248,255
sfsarp-12-6-4,0,0
sarp-30-15-B-2V2,248,0
sarp-10-5-B-2,0,0
sarp-60-30-B-2V3,250,255
sarp-30-15-A-1V1,0,0
sfsarp-40-20-5,247,255
sfsarp-50-25-2V1,247,255
sfsarp-10-5-2,0,0
sarp-16-8-C-2V3,0,0
sfsarp-50-25-4V1,247,255
sarp-20-10-B-2,253,0
sfsarp-20-10-4,250,0
sarp-30-15-A-2V2,251,0
sfsarp-12-6-2,0,0
sarp-40-20-A-2V3,0,0
sarp-16-8-A-1,0,0
sarp-6-3-A-2,0,0
sarp-50-25-C-2V3,251,0
sarp-40-20-A-1V1,0,0
sarp-50-25-A-2V2,255,255
sarp-12-6-A-1,0,0
sfsarp-8-4-4,0,0
sarp-40-20-C-1V2,250,255
ghsarp-12-6-4,0,0
sarp-30-15-A-2V3,0,0
sarp-30-15-C-2,251,255
sfsarp-8-4-2,0,0
sarp-60-30-A-2V3,219,247
sarp-40-20-C-1V1,251,252
sarp-30-15-B-1,254,255
sfsarp-40-20-4,251,255
sfsarp-16-8-3,230,0
ghsarp-12-6-1,0,0
sarp-30-15-C-2V3,251,0
sarp-12-6-C-1,0,0
sarp-30-15-B-1V1,0,0
sarp-10-5-A-1,0,0
sarp-40-20-B-2,253,255
sfsarp-20-10-4V1,231,250
sfsarp-16-8-4,230,0
sarp-30-15-A-1V2,0,0
sfsarp-10-5-3,0,0
sfsarp-50-25-5V1,249,255
sarp-20-10-B-1,0,0
sarp-40-20-C-2,251,255
sarp-60-30-C-2V3,252,249
sarp-20-10-C-2V1,0,0
sarp-30-15-B-1V2,0,0
sfsarp-30-15-4,251,255
sarp-16-8-A-1V2,0,0
sarp-50-25-B-2V3,250,0
sfsarp-10-5-5,0,0
sarp-16-8-B-1V3,0,0
ghsarp-6-3-1,0,0
sfsarp-20-10-5V1,231,0
sarp-40-20-C-2V3,254,249
sarp-40-20-A-1,251,255
sarp-40-20-B-2V2,254,255
sarp-50-25-A-1V1,250,0
ghsarp-10-5-4,0,0
sfsarp-40-20-3V1,250,250
sarp-30-15-A-1,254,255
sarp-40-20-B-2V3,252,0
sarp-16-8-C-2V1,0,0
sarp-20-10-A-1V3,0,0
sarp-20-10-C-2,247,0
sarp-16-8-B-1V2,0,0
sarp-16-8-B-1V1,246,253
sarp-8-4-C-1,0,0
sarp-30-15-C-1V2,252,0
sarp-50-25-A-1V3,0,0
sfsarp-40-20-5V1,247,0
sfsarp-16-8-5,228,0
ghsarp-8-4-4,0,0
sfsarp-20-10-1V1,230,0
sarp-20-10-C-1V1,0,0
sarp-30-15-C-1,249,255
sfsarp-6-3-5,0,0
sarp-50-25-C-1V2,250,255
sarp-6-3-A-1,0,0
sarp-20-10-C-2V2,0,0
sarp-16-8-A-1V1,0,0
sarp-20-10-B-1V2,0,0
sfsarp-6-3-2,0,0
sfsarp-30-15-2,247,255
sarp-30-15-B-2V1,0,0
sarp-50-25-A-2V3,0,0
sarp-60-30-C-1V3,252,249
sarp-40-20-C-1,252,255
sarp-20-10-A-2V2,0,0
sfsarp-20-10-2,0,0
sarp-20-10-B-2V1,0,0
ghsarp-8-4-2,0,0
sfsarp-30-15-2V1,246,0
sarp-8-4-A-2,0,0
sarp-30-15-C-1V1,246,0
sfsarp-40-20-3,250,255
ghsarp-8-4-0,0,0
sarp-40-20-A-2,253,255
sarp-40-20-B-1V2,253,255
ghsarp-12-6-2,0,0
sfsarp-16-8-2,228,0
sarp-50-25-C-1V3,252,0
sfsarp-40-20-1,254,255
sarp-16-8-A-2,0,0
sarp-6-3-B-1,0,0
ghsarp-8-4-1,0,0
sarp-12-6-A-2,0,0
sfsarp-20-10-2V1,226,0
sfsarp-12-6-3,0,0
sarp-8-4-C-2,0,0
sarp-10-5-A-2,0,0
sarp-50-25-C-1V1,250,251
sarp-20-10-A-1,0,0
sarp-50-25-B-1V3,0,0
sarp-40-20-A-2V2,252,255
sfsarp-20-10-3,228,0
sarp-40-20-B-1,255,255
sarp-16-8-A-2V3,0,0
ghsarp-6-3-3,0,0
sfsarp-20-10-5,249,0
sarp-30-15-B-2,255,255
sfsarp-8-4-5,0,0
sarp-30-15-C-2V2,251,250
sarp-16-8-B-2,0,0
sfsarp-30-15-5V1,219,0
sarp-10-5-C-1,0,0
