Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms
sarp-100-50-C-11,-1,-1,-1e+12,-310.9,2482658.0,-1,-1
sarp-100-50-C-12,-1,-1,-1e+12,-332.1,2693298.0,-1,-1
sarp-30-15-B-21,-1,-1,-1e+12,9.8,876316.0,-1,-1
sarp-30-15-B-22,-1,-1,-1e+12,-0.4,1126531.0,-1,-1
sarp-40-20-C-11,-1,-1,-1e+12,-126.6,1031807.0,-1,-1
sarp-40-20-C-12,-1,-1,-1e+12,-142.6,1253331.0,-1,-1
sarp-50-25-A-11,-1,-1,-1e+12,22.9,1508750.0,-1,-1
sarp-50-25-A-12,-1,-1,-1e+12,4.5,1887895.0,-1,-1
sarp-60-30-C-21,-1,-1,-1e+12,-162.7,1525442.0,-1,-1
sarp-60-30-C-22,-1,-1,-1e+12,-190.2,1895721.0,-1,-1
sarp-80-40-B-11,-1,-1,-1e+12,-0.7,1898727.0,-1,-1
sarp-80-40-B-12,-1,-1,-1e+12,-18.8,2275979.0,-1,-1
