Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms
sfsarp-100-50-1,-1,-1,-1e+12,-46.1,129309.0,-1,-1
sfsarp-100-50-2,-1,-1,-1e+12,0.7,130965.0,-1,-1
sfsarp-100-50-3,-1,-1,-1e+12,-4,141977.0,-1,-1
sfsarp-100-50-4,-1,-1,-1e+12,-50.1,125735.0,-1,-1
sfsarp-100-50-5,-1,-1,-1e+12,-61.4,127052.0,-1,-1
sfsarp-50-25-1,-1,-1,-1e+12,-4.6,125841.0,-1,-1
sfsarp-50-25-2,-1,-1,-1e+12,-25.3,126850.0,-1,-1
sfsarp-50-25-3,-1,-1,-1e+12,-34.3,126876.0,-1,-1
sfsarp-50-25-4,-1,-1,-1e+12,-19,126094.0,-1,-1
sfsarp-50-25-5,-1,-1,-1e+12,-12.9,126977.0,-1,-1
sfsarp-60-30-1,-1,-1,-1e+12,-5.1,126135.0,-1,-1
sfsarp-60-30-2,-1,-1,-1e+12,-24.7,126532.0,-1,-1
sfsarp-60-30-3,-1,-1,-1e+12,-35.1,127228.0,-1,-1
sfsarp-60-30-4,-1,-1,-1e+12,-15.6,127383.0,-1,-1
sfsarp-60-30-5,-1,-1,-1e+12,-24.5,125888.0,-1,-1
sfsarp-80-40-1,-1,-1,-1e+12,8.1,135273.0,-1,-1
sfsarp-80-40-2,-1,-1,-1e+12,-44,126563.0,-1,-1
sfsarp-80-40-3,-1,-1,-1e+12,-53.9,130042.0,-1,-1
sfsarp-80-40-4,-1,-1,-1e+12,-14.9,125427.0,-1,-1
sfsarp-80-40-5,-1,-1,-1e+12,-45.2,128477.0,-1,-1
