Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms,Pass Free Km
sfsarp-16-8-11,7,3.2968,3.2968,3.2968,22.0,1.3418292682926831,55.01500000000001,65.62500000000001
sfsarp-16-8-21,8,17.011,17.011,17.011,31.0,1.3925853658536582,57.09599999999998,103.74600000000002
sfsarp-16-8-31,8,3.21516,3.21516,3.21516,46.0,1.417609756097561,58.12199999999999,67.98300000000003
sfsarp-16-8-41,8,4.61758,4.61758,4.61758,56.0,1.3748048780487805,56.36699999999999,70.80799999999999
sfsarp-16-8-51,7,-2.87515,-2.87515,-2.87515,29.0,0.9685365853658539,39.709999999999994,55.89399999999999
sfsarp-20-10-11,10,17.813,17.813,17.813,72.0,2.451609756097561,100.51599999999999,121.585
sfsarp-20-10-21,9,-0.83076,-0.83076,-0.83076,100.0,1.5030487804878048,61.625,75.00299999999999
sfsarp-20-10-31,10,24.0039,24.0039,24.0039,77.0,3.1406627783669134,128.76717391304348,148.32
sfsarp-20-10-41,9,9.51088,9.51088,9.51088,157.0,1.9857560975609758,81.416,128.26699999999997
sfsarp-20-10-51,10,25.4061,25.4061,25.4061,104.0,2.5856829268292683,106.01299999999999,143.42899999999997
sfsarp-30-15-11,15,23.0809,23.0809,23.0809,674.0,3.6212216330858955,148.47008695652173,182.77400000000003
sfsarp-30-15-21,13,0.88484,0.88484,0.88484,1988.0,2.062609756097561,84.56700000000002,110.754
sfsarp-30-15-31,15,2.32415,2.32415,2.32415,1075.0,2.4376118769883344,99.94208695652173,146.38899999999995
sfsarp-30-15-41,14,28.1736,28.1736,28.1736,1331.0,2.9484634146341464,120.88699999999999,174.511
sfsarp-30-15-51,15,-20.3161,-20.3161,-20.3161,3745.0,1.4171707317073168,58.10400000000001,91.53600000000002
sfsarp-40-20-11,18,30.5795,30.5795,30.5794,47054.0,4.303146341463414,176.429,214.25799999999995
sfsarp-40-20-21,19,34.9531,34.953,34.9531,25486.0,5.247683987274655,215.15504347826084,309.75600000000003
sfsarp-40-20-31,20,11.1737,11.1736,11.1737,86633.0,3.5798547189819723,146.77404347826084,193.64500000000004
sfsarp-40-20-41,19,28.8054,28.8054,28.8054,69786.0,3.4310487804878043,140.67299999999997,224.667
sfsarp-40-20-51,19,9.20509,9.20509,9.20509,12409.0,3.719634146341462,152.50500000000002,238.521
sfsarp-50-25-11,-1,-1,-1e+12,3.7,130189.0,-1,-1,-1
sfsarp-50-25-21,-1,-1,-1e+12,-21,129878.0,-1,-1,-1
sfsarp-50-25-31,-1,-1,-1e+12,-9.6,125372.0,-1,-1,-1
sfsarp-50-25-41,-1,-1,-1e+12,-15,125208.0,-1,-1,-1
sfsarp-50-25-51,-1,-1,-1e+12,8.5,130262.0,-1,-1,-1
