Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms
sarp-10-5-A-1,3,32.235,32.235,32.235,24.0,2.0,81.99999999999999
sarp-10-5-A-2,5,30.083,30.083,30.083,20.0,2.514634146341463,103.1
sarp-10-5-B-1,3,18.961,18.961,18.961,82.0,1.6853658536585368,69.1
sarp-10-5-B-2,5,14.97,14.97,14.97,29.0,1.5097560975609754,61.89999999999999
sarp-10-5-C-1,5,3.226,3.226,3.226,22.0,2.451219512195122,100.49999999999999
sarp-10-5-C-2,5,7.974,7.974,7.974,27.0,1.6560975609756097,67.89999999999999
sarp-12-6-A-1,3,35.711,35.711,35.711,68.0,1.3048780487804876,53.5
sarp-12-6-A-2,6,24.739,24.739,24.739,77.0,1.6536585365853658,67.8
sarp-12-6-B-1,5,24.049,24.049,24.049,46.0,1.9292682926829265,79.1
sarp-12-6-B-2,4,22.697,22.697,22.697,28.0,1.9682926829268292,80.7
sarp-12-6-C-1,6,27.981,27.981,27.981,57.0,2.6097560975609757,107.0
sarp-12-6-C-2,6,-3.76,-3.76,-3.76,83.0,2.1804878048780485,89.39999999999999
sarp-6-3-A-1,2,9.858,9.858,9.858,7.0,1.2560975609756095,51.5
sarp-6-3-A-2,2,-1.806,-1.806,-1.806,9.0,0.6243902439024389,25.599999999999998
sarp-6-3-B-1,3,-0.67,-0.67,-0.67,6.0,1.1097560975609755,45.49999999999999
sarp-6-3-B-2,3,-2.872,-2.872,-2.872,9.0,0.5902439024390245,24.2
sarp-6-3-C-1,3,3.351,3.351,3.351,6.0,1.0585365853658537,43.39999999999999
sarp-6-3-C-2,3,-14.173,-14.173,-14.173,8.0,1.1439024390243904,46.9
sarp-8-4-A-1,2,20.935,20.935,20.935,15.0,1.6536585365853658,67.8
sarp-8-4-A-2,2,16.799,16.799,16.799,16.0,1.3146341463414635,53.89999999999999
sarp-8-4-B-1,4,4.154,4.154,4.154,15.0,1.6097560975609755,65.99999999999999
sarp-8-4-B-2,4,9.18,9.18,9.18,13.0,1.5829268292682928,64.9
sarp-8-4-C-1,4,-9.212,-9.212,-9.212,8.0,1.2756097560975608,52.3
sarp-8-4-C-2,4,-1.817,-1.817,-1.817,41.0,1.375609756097561,56.39999999999999
