10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-10-0.tsp ,9,1,1,48.008,4.59367,23.184,0,0.07,29.4177,Optimal
grubhub-10-1.tsp ,9,1,1,45.8268,5.58967,20.8687,0,0.04,30.5478,Optimal
grubhub-10-2.tsp ,9,1,1,44.6108,6.7074,18.4675,0,0.07,32.8507,Optimal
grubhub-10-3.tsp ,9,1,1,42.479,4.92013,21.1661,0,0.04,26.233,Optimal
grubhub-10-4.tsp ,9,1,1,50.2272,5.35727,18.6484,0,0.04,36.9361,Optimal
grubhub-10-5.tsp ,9,1,1,47.419,6.90107,22.5461,0,0.04,31.7739,Optimal
grubhub-10-6.tsp ,9,1,1,44.8692,6.27027,16.4373,0,0.05,34.7021,Optimal
grubhub-10-7.tsp ,9,1,0,41.7912,0,18.7281,0,0.03,23.0631,Optimal
grubhub-10-8.tsp ,9,1,1,49.1176,4.02927,21.7856,0,0.03,31.3613,Optimal
grubhub-10-9.tsp ,9,1,1,42.4486,4.90353,20.8012,0,0.03,26.5509,Optimal
grubhub-11-0.tsp ,10,1,1,60.1932,3.902,23.4845,0,0.03,40.6107,Optimal
grubhub-11-1.tsp ,10,1,1,51.8978,5.58413,22.7945,0,0.04,34.6874,Optimal
grubhub-11-2.tsp ,10,1,1,54.6984,6.87893,23.3619,0,0.04,38.2155,Optimal
grubhub-11-3.tsp ,10,1,1,53.7674,6.01573,23.2515,0,0.03,36.5317,Optimal
grubhub-11-4.tsp ,10,1,1,51.571,6.475,19.6604,0,0.04,38.3856,Optimal
grubhub-11-5.tsp ,10,1,1,56.9176,5.3628,25.2448,0,0.03,37.0356,Optimal
grubhub-11-6.tsp ,10,1,1,51.1302,4.73753,26.6095,0,0.03,29.2583,Optimal
grubhub-11-7.tsp ,10,1,1,48.1054,5.645,20.3688,0,0.04,33.3816,Optimal
grubhub-11-8.tsp ,10,1,0,51.1568,0,14.9991,0,0.05,36.1577,Optimal
grubhub-11-9.tsp ,10,1,0,53.034,0,14.4716,0,0.03,38.5624,Optimal
grubhub-12-0.tsp ,11,1,1,57.243,4.05693,23.9813,0,0.05,37.3186,Optimal
grubhub-12-1.tsp ,11,1,1,55.6508,5.83313,29.0413,0,0.05,32.4426,Optimal
grubhub-12-2.tsp ,11,1,1,53.4164,5.33513,20.7889,0,0.07,37.9626,Optimal
grubhub-12-3.tsp ,11,1,1,54.184,3.8688,28.3023,0,0.05,29.7505,Optimal
grubhub-12-4.tsp ,11,1,1,53.8648,4.31147,32.8195,0,0.04,25.3568,Optimal
grubhub-12-5.tsp ,11,1,0,58.402,0,19.0379,0,0.04,39.3641,Optimal
grubhub-12-6.tsp ,11,1,1,59.0784,3.71387,28.8604,0,0.04,33.9319,Optimal
grubhub-12-7.tsp ,11,1,1,62.0956,4.47747,23.828,0,0.04,42.7451,Optimal
grubhub-12-8.tsp ,11,1,1,56.6046,5.78887,25.9747,0,0.05,36.4188,Optimal
grubhub-12-9.tsp ,11,1,1,59.8992,5.46793,25.7907,0,0.03,39.5765,Optimal
grubhub-13-0.tsp ,12,1,1,57.918,4.68773,26.1096,0,0.04,36.4961,Optimal
grubhub-13-1.tsp ,12,1,1,62.9226,6.309,32.2337,0,0.04,36.9979,Optimal
grubhub-13-2.tsp ,12,1,1,61.9384,6.18173,28.3329,0,0.05,39.7872,Optimal
grubhub-13-3.tsp ,12,1,1,61.68,4.317,29.0812,0,0.04,36.9158,Optimal
grubhub-13-4.tsp ,12,1,1,61.4368,5.2798,25.7385,0,0.05,40.9781,Optimal
grubhub-13-5.tsp ,12,1,1,62.668,7.48207,37.9776,0,0.06,32.1725,Optimal
grubhub-13-6.tsp ,12,1,1,61.4862,6.8402,35.1501,0,0.05,33.1763,Optimal
grubhub-13-7.tsp ,12,1,1,63.8118,4.46087,20.5068,0,0.04,47.7659,Optimal
grubhub-13-8.tsp ,12,1,1,62.5464,4.44427,33.5463,0,0.05,33.4444,Optimal
grubhub-13-9.tsp ,12,1,1,60.1828,3.02773,22.3192,0,0.04,40.8913,Optimal
grubhub-14-0.tsp ,13,1,1,66.3032,5.26873,26.1617,0,0.08,45.4102,Optimal
grubhub-14-1.tsp ,13,1,1,67.8346,4.50513,25.5729,0,0.05,46.7668,Optimal
grubhub-14-2.tsp ,13,1,1,69.385,4.98653,37.0637,0,0.04,37.3078,Optimal
grubhub-14-3.tsp ,13,1,1,70.012,5.42367,27.5847,0,0.09,47.851,Optimal
grubhub-14-4.tsp ,13,1,0,70.525,0,21.3501,0,0.06,49.1749,Optimal
grubhub-14-5.tsp ,13,1,1,69.0582,3.31547,30.0257,0,0.06,42.3479,Optimal
grubhub-14-6.tsp ,13,1,1,72.0146,5.2798,27.4436,0,0.13,49.8508,Optimal
grubhub-14-7.tsp ,13,1,1,61.9104,6.1098,27.83,0,0.06,40.1902,Optimal
grubhub-14-8.tsp ,13,1,1,69.6586,4.3336,33.0893,0,0.07,40.9029,Optimal
grubhub-14-9.tsp ,13,1,1,69.3432,4.73753,27.922,0,0.07,46.1587,Optimal
grubhub-15-0.tsp ,14,1,1,74.734,8.1018,30.1361,0,0.1,52.6997,Optimal
grubhub-15-1.tsp ,14,1,1,71.2494,6.2426,28.3789,0,0.09,49.1131,Optimal
grubhub-15-2.tsp ,14,1,1,72.6706,7.305,34.4172,0,0.06,45.5584,Optimal
grubhub-15-3.tsp ,14,1,1,73.8106,7.4876,39.1031,0,0.09,42.1951,Optimal
grubhub-15-4.tsp ,14,1,1,70.117,4.80947,32.3748,0,0.09,42.5517,Optimal
grubhub-15-5.tsp ,14,1,1,76.2502,6.4252,40.9124,0,0.06,41.763,Optimal
grubhub-15-6.tsp ,14,1,1,72.2488,5.2466,34.8251,0,0.07,42.6703,Optimal
grubhub-15-7.tsp ,14,1,1,71.8802,4.72093,27.7595,0,0.1,48.8417,Optimal
grubhub-15-8.tsp ,14,1,1,75.5434,7.056,34.4571,0,0.08,48.1423,Optimal
grubhub-15-9.tsp ,14,1,1,74.2666,5.8608,41.7895,0,0.07,38.3379,Optimal
grubhub-debug.tsp ,3,0,0,173.12,0,113.467,0,0,59.6533,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-10-0.tsp ,8,2,1,43.7268,4.59367,19.09,0,0.05,29.2305,Optimal
grubhub-10-1.tsp ,8,2,2,40.5652,11.2734,23.69,0,0.06,28.1486,Optimal
grubhub-10-2.tsp ,8,2,2,40.0864,11.3177,19.504,0,0.05,31.9001,Optimal
grubhub-10-3.tsp ,8,2,2,38.3042,9.02133,22.5952,0,0.09,24.7303,Optimal
grubhub-10-4.tsp ,8,2,2,45.167,10.7477,21.6721,0,0.07,34.2426,Optimal
grubhub-10-5.tsp ,8,2,2,42.1308,12.6235,23.0644,0,0.06,31.6899,Optimal
grubhub-10-6.tsp ,8,2,2,40.6108,10.4932,17.4647,0,0.06,33.6393,Optimal
grubhub-10-7.tsp ,8,2,1,36.4612,5.78333,18.9919,0,0.06,23.2527,Optimal
grubhub-10-8.tsp ,8,2,2,44.1828,9.23713,21.2551,0,0.08,32.1649,Optimal
grubhub-10-9.tsp ,8,2,2,38.4942,8.6838,21.3992,0,0.06,25.7788,Optimal
grubhub-11-0.tsp ,9,2,2,53.6586,11.4394,22.6167,0,0.06,42.4813,Optimal
grubhub-11-1.tsp ,9,2,2,47.628,9.82367,22.4357,0,0.06,35.0159,Optimal
grubhub-11-2.tsp ,9,2,2,48.6008,13.78,28.3237,0,0.12,34.0571,Optimal
grubhub-11-3.tsp ,9,2,2,48.1106,12.2749,23.3404,0,0.06,37.0451,Optimal
grubhub-11-4.tsp ,9,2,2,47.0504,11.0797,21.2183,0,0.08,36.9119,Optimal
grubhub-11-5.tsp ,9,2,2,50.8542,12.2141,26.7321,0,0.06,36.3361,Optimal
grubhub-11-6.tsp ,9,2,2,46.4576,9.5636,27.2719,0,0.07,28.7493,Optimal
grubhub-11-7.tsp ,9,2,2,43.961,9.70193,20.1817,0,0.07,33.4812,Optimal
grubhub-11-8.tsp ,9,2,1,47.1454,3.86327,15.5787,0,0.06,35.43,Optimal
grubhub-11-9.tsp ,9,2,1,47.5862,5.95487,14.5145,0,0.06,39.0265,Optimal
grubhub-12-0.tsp ,10,2,2,52.8858,8.42373,24.4199,0,0.1,36.8897,Optimal
grubhub-12-1.tsp ,10,2,2,49.88,12.2583,29.0199,0,0.13,33.1185,Optimal
grubhub-12-2.tsp ,10,2,2,48.7552,10.1446,20.6479,0,0.1,38.2519,Optimal
grubhub-12-3.tsp ,10,2,2,48.3752,10.3493,27.3608,0,0.08,31.3637,Optimal
grubhub-12-4.tsp ,10,2,2,48.74,9.796,34.2485,0,0.06,24.2875,Optimal
grubhub-12-5.tsp ,10,2,1,54.2956,4.0016,19.7125,0,0.08,38.5847,Optimal
grubhub-12-6.tsp ,10,2,2,53.1176,10.4157,28.5108,0,0.14,35.0225,Optimal
grubhub-12-7.tsp ,10,2,2,53.2392,15.3957,25.07,0,0.08,43.5649,Optimal
grubhub-12-8.tsp ,10,2,2,50.2942,12.9998,24.9903,0,0.14,38.3037,Optimal
grubhub-12-9.tsp ,10,2,2,53.832,12.3247,26.8057,0,0.12,39.351,Optimal
grubhub-13-0.tsp ,11,2,2,52.9452,9.95093,28.0232,0,0.25,34.8729,Optimal
grubhub-13-1.tsp ,11,2,2,58.3108,11.0465,30.4888,0,0.14,38.8685,Optimal
grubhub-13-2.tsp ,11,2,2,56.7072,11.8212,27.8576,0,0.16,40.6708,Optimal
grubhub-13-3.tsp ,11,2,2,56.8554,9.3644,31.2493,0,0.16,34.9705,Optimal
grubhub-13-4.tsp ,11,2,2,56.4944,10.4987,23.8587,0,0.15,43.1345,Optimal
grubhub-13-5.tsp ,11,2,2,58.5236,11.539,35.3403,0,0.18,34.7223,Optimal
grubhub-13-6.tsp ,11,2,2,55.6812,13.3152,34.6411,0,0.1,34.3553,Optimal
grubhub-13-7.tsp ,11,2,2,59.2532,9.12093,22.7547,0,0.16,45.6195,Optimal
grubhub-13-8.tsp ,11,2,2,58.2158,8.77233,29.6179,0,0.09,37.3703,Optimal
grubhub-13-9.tsp ,11,2,2,54.906,8.7336,25.2509,0,0.09,38.3887,Optimal
grubhub-14-0.tsp ,11,3,3,54.7084,18.1966,30.6421,0,0.22,42.2629,Optimal
grubhub-14-1.tsp ,11,3,3,57.3684,15.7896,25.8765,0,0.18,47.2815,Optimal
grubhub-14-2.tsp ,11,3,3,60.0246,14.6608,37.0576,0,0.22,37.6278,Optimal
grubhub-14-3.tsp ,11,3,3,58.4058,18.3681,31.7216,0,0.23,45.0523,Optimal
grubhub-14-4.tsp ,11,3,2,58.7516,13.1879,21.2735,0,0.16,50.6661,Optimal
grubhub-14-5.tsp ,11,3,3,56.8364,17.1563,30.0073,0,0.26,43.9854,Optimal
grubhub-14-6.tsp ,11,3,3,60.9214,17.4773,28.5844,0,0.23,49.8143,Optimal
grubhub-14-7.tsp ,11,3,3,52.6754,15.6015,30.1116,0,0.21,38.1653,Optimal
grubhub-14-8.tsp ,11,3,2,59.2152,11.2513,29.9552,0,0.2,40.5113,Optimal
grubhub-14-9.tsp ,11,3,3,57.9422,17.3832,29.0107,0,0.22,46.3147,Optimal
grubhub-15-0.tsp ,12,3,3,62.8618,21.4336,35.8892,0,0.24,48.4062,Optimal
grubhub-15-1.tsp ,12,3,3,61.8206,16.0165,27.6552,0,0.26,50.1819,Optimal
grubhub-15-2.tsp ,12,3,3,63.751,16.3374,32.4576,0,0.22,47.6308,Optimal
grubhub-15-3.tsp ,12,3,2,62.8808,14.4495,31.1451,0,0.19,46.1853,Optimal
grubhub-15-4.tsp ,12,3,3,58.583,17.6488,31.6603,0,0.23,44.5715,Optimal
grubhub-15-5.tsp ,12,3,3,64.5832,19.4582,33.7149,0,0.22,50.3265,Optimal
grubhub-15-6.tsp ,12,3,2,63.371,9.132,30.8783,0,0.3,41.6247,Optimal
grubhub-15-7.tsp ,12,3,3,60.8022,16.8963,27.83,0,0.28,49.8685,Optimal
grubhub-15-8.tsp ,12,3,3,64.663,18.9436,28.6028,0,0.21,55.0038,Optimal
grubhub-15-9.tsp ,12,3,3,63.219,17.9919,39.6949,0,0.21,41.5159,Optimal
grubhub-debug.tsp ,3,0,0,173.12,0,113.467,0,0,59.6533,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-10-0.tsp ,7,3,2,38.0092,10.9414,23.2729,0,0.1,25.6777,Optimal
grubhub-10-1.tsp ,7,3,3,35.239,17.0512,22.8283,0,0.14,29.4619,Optimal
grubhub-10-2.tsp ,7,3,3,34.2662,17.8148,20.6847,0,0.1,31.3963,Optimal
grubhub-10-3.tsp ,7,3,3,33.5518,13.9636,22.3192,0,0.12,25.1962,Optimal
grubhub-10-4.tsp ,7,3,2,39.894,11.0908,20.0652,0,0.09,30.9196,Optimal
grubhub-10-5.tsp ,7,3,3,36.417,18.9657,26.2875,0,0.1,29.0953,Optimal
grubhub-10-6.tsp ,7,3,2,35.619,10.4932,15.7075,0,0.07,30.4047,Optimal
grubhub-10-7.tsp ,7,3,2,32.1382,10.1003,18.8017,0,0.05,23.4368,Optimal
grubhub-10-8.tsp ,7,3,2,37.994,12.2417,18.6024,0,0.07,31.6333,Optimal
grubhub-10-9.tsp ,7,3,3,34.2662,12.8625,20.9515,0,0.1,26.1772,Optimal
grubhub-11-0.tsp ,8,3,2,48.2336,11.4394,19.5929,0,0.12,40.0801,Optimal
grubhub-11-1.tsp ,8,3,3,41.2416,17.1453,24.2359,0,0.06,34.151,Optimal
grubhub-11-2.tsp ,8,3,2,44.3424,13.78,27.5264,0,0.07,30.596,Optimal
grubhub-11-3.tsp ,8,3,2,43.5254,12.2749,17.9155,0,0.1,37.8849,Optimal
grubhub-11-4.tsp ,8,3,3,41.0592,17.8259,24.1224,0,0.12,34.7627,Optimal
grubhub-11-5.tsp ,8,3,3,44.9808,18.7887,25.0087,0,0.1,38.7608,Optimal
grubhub-11-6.tsp ,8,3,3,40.6184,16.0884,28.8267,0,0.11,27.8801,Optimal
grubhub-11-7.tsp ,8,3,2,39.7634,9.70193,17.848,0,0.14,31.6173,Optimal
grubhub-11-8.tsp ,8,3,2,42.564,8.55653,16.7593,0,0.12,34.3612,Optimal
grubhub-11-9.tsp ,8,3,2,42.032,12.0647,16.6949,0,0.18,37.4017,Optimal
grubhub-12-0.tsp ,9,3,3,46.6324,15.5517,23.7881,0,0.12,38.3959,Optimal
grubhub-12-1.tsp ,9,3,3,44.8882,17.5492,32.4607,0,0.34,29.9767,Optimal
grubhub-12-2.tsp ,9,3,3,44.2232,14.7659,23.4692,0,0.14,35.5199,Optimal
grubhub-12-3.tsp ,9,3,3,42.9122,16.3263,27.8423,0,0.12,31.3963,Optimal
grubhub-12-4.tsp ,9,3,3,42.8248,16.4315,34.0523,0,0.14,25.204,Optimal
grubhub-12-5.tsp ,9,3,2,47.8902,11.3509,19.9763,0,0.15,39.2648,Optimal
grubhub-12-6.tsp ,9,3,2,48.578,10.4157,23.9047,0,0.18,35.0891,Optimal
grubhub-12-7.tsp ,9,3,3,48.3956,20.4708,24.5671,0,0.16,44.2993,Optimal
grubhub-12-8.tsp ,9,3,3,44.0674,20.089,25.1129,0,0.21,39.0435,Optimal
grubhub-12-9.tsp ,9,3,3,47.7344,19.2258,27.9895,0,0.15,38.9707,Optimal
grubhub-13-0.tsp ,9,4,4,43.3796,19.924,30.0901,0,0.25,33.2135,Optimal
grubhub-13-1.tsp ,9,4,4,47.096,23.4211,30.2925,0,0.16,40.2245,Optimal
