Instance,LB,UB,Time,,,,,,,
ghsarp-10-5-0.txt,19.7785,19.7785,16655,19.7785,20,OK,OK,,,
ghsarp-10-5-1.txt,5,5,419,4.9796,5,OK,Not,,,
ghsarp-10-5-2.txt,26.1784,26.1784,6191,26.1784,27,OK,OK,Legenda,,
ghsarp-10-5-3.txt,5.71609,14,50423,13.3796,14,Not,Not,,,
ghsarp-10-5-4.txt,11.2692,11.2692,14700,11.2692,12,OK,OK,,,
ghsarp-10-5-5.txt,14.1509,14.1509,45885,14.151,15,OK,OK,,,
ghsarp-10-5-6.txt,13.5239,13.5239,13697,13.5239,14,OK,OK,,,
ghsarp-10-5-7.txt,10.7695,10.7695,322,10.7695,11,OK,OK,,,
ghsarp-10-5-8.txt,-2.83054,-2.83054,2216,-2.8306,-2,OK,OK,,,
ghsarp-10-5-9.txt,20.6236,20.6236,647,20.6235,21,OK,OK,,,
ghsarp-5-10-0.txt,N,N,N,6.0889,7,OK,#VALUE!,,,
ghsarp-5-10-1.txt,N,N,N,-11.8309,-11,OK,#VALUE!,,,
ghsarp-5-10-2.txt,N,N,N,13.3708,14,OK,#VALUE!,,,
ghsarp-5-10-3.txt,N,N,N,4.0968,5,OK,#VALUE!,,,
ghsarp-5-10-4.txt,N,N,N,-3.2825,-3,OK,#VALUE!,,,
ghsarp-5-10-5.txt,-7.16147,-7.16147,295,-7.6102,-7,OK,Not,,,
ghsarp-5-10-6.txt,3.63787,3.63787,194,3.6378,4,OK,OK,,,
ghsarp-5-10-7.txt,N,N,N,-8.5699,-8,OK,#VALUE!,,,
ghsarp-5-10-8.txt,-7.87985,-7.87985,31,-7.8798,-7,OK,OK,,,
ghsarp-5-10-9.txt,2.09883,2.09883,884,2.0988,3,OK,OK,,,
ghsarp-5-5-0.txt,14,14,711,13.1871,14,OK,Not,,,
ghsarp-5-5-1.txt,-0.307104,-0.307104,22,-0.307099999999998,0,OK,OK,,,
ghsarp-5-5-2.txt,-3.01522,-3.01522,15,-3.0153,-3,OK,OK,,,
ghsarp-5-5-3.txt,11.8141,11.8141,17,11.8141,12,OK,OK,,,
ghsarp-5-5-4.txt,5,5,107,4.3796,5,OK,Not,,,
ghsarp-5-5-5.txt,4.39661,4.39661,25,4.3966,5,OK,OK,,,
ghsarp-5-5-6.txt,10.5777,10.5777,17,10.5777,11,OK,OK,,,
ghsarp-5-5-7.txt,8,8,14,7.8778,8,OK,Not,,,
ghsarp-5-5-8.txt,14.4334,14.4334,154,14.4334,15,OK,OK,,,
ghsarp-5-5-9.txt,7.20916,7.20916,19,7.2091,8,OK,OK,,,
ghsarp-5-6-0.txt,-3.63528,-3.63528,166,-3.63529999999999,-3,OK,OK,,,
ghsarp-5-6-1.txt,5.04246,5.04246,20,5.0425,6,OK,OK,,,
ghsarp-5-6-2.txt,12.6925,12.6925,9,12.6925,13,OK,OK,,,
ghsarp-5-6-3.txt,N,N,N,6.1538,7,OK,#VALUE!,,,
ghsarp-5-6-4.txt,5.04083,5.04083,595,5.0409,6,OK,OK,,,
ghsarp-5-6-5.txt,N,N,N,14.2582,15,OK,#VALUE!,,,
ghsarp-5-6-6.txt,13,13,82,12.7548,13,OK,Not,,,
ghsarp-5-6-7.txt,9.16628,9.16628,246,11.3219,12,OK,Not,,,
ghsarp-5-6-8.txt,0.751129,0.751129,529,0.751100000000001,1,OK,OK,,,
ghsarp-5-6-9.txt,-2.1117,-2.1117,102,-2.1117,-2,OK,OK,,,
ghsarp-5-7-0.txt,4.01559,4.01559,86,5.1344,6,OK,Not,,,
ghsarp-5-7-1.txt,8.7416,8.7416,43,8.5142,9,OK,Not,,,
ghsarp-5-7-2.txt,1.30074,1.30074,1,1.3007,2,OK,OK,,,
ghsarp-5-7-3.txt,8.58193,8.58193,161,8.4476,9,OK,Not,,,
ghsarp-5-7-4.txt,0.875235,0.875235,7,0.8752,1,OK,OK,,,
ghsarp-5-7-5.txt,-5.58711,-5.58711,2,-5.5871,-5,OK,OK,,,
ghsarp-5-7-6.txt,N,N,N,8.0554,9,OK,#VALUE!,,,
ghsarp-5-7-7.txt,N,N,N,-4.0432,-4,OK,#VALUE!,,,
ghsarp-5-7-8.txt,-7.97691,-7.97691,3,-3.4657,-3,OK,Not,,,
ghsarp-5-7-9.txt,10.2682,10.2682,337,10.2682,11,OK,OK,,,
ghsarp-5-8-0.txt,-2.30049,-2.30049,2,-2.3005,-2,OK,OK,,,
ghsarp-5-8-1.txt,0.928538,0.928538,2,0.928599999999999,1,OK,OK,,,
ghsarp-5-8-2.txt,6.81114,6.81114,65,6.8111,7,OK,OK,,,
ghsarp-5-8-3.txt,N,N,N,7.7133,8,OK,#VALUE!,,,
ghsarp-5-8-4.txt,N,N,N,-2.82839999999999,-2,OK,#VALUE!,,,
ghsarp-5-8-5.txt,2.32758,2.32758,17,2.3276,3,OK,OK,,,
ghsarp-5-8-6.txt,3.57848,3.57848,7,4.5962,5,OK,Not,,,
ghsarp-5-8-7.txt,-0.917694,-0.917694,18,-0.917699999999996,0,OK,OK,,,
ghsarp-5-8-8.txt,N,N,N,5.8364,6,OK,#VALUE!,,,
ghsarp-5-8-9.txt,N,N,N,-0.6478,0,OK,#VALUE!,,,
ghsarp-5-9-0.txt,N,N,N,13.2112,14,OK,#VALUE!,,,
ghsarp-5-9-1.txt,1.03309,1.03309,125,2.2093,3,OK,Not,,,
ghsarp-5-9-2.txt,6,6,66,5.9731,6,OK,Not,,,
ghsarp-5-9-3.txt,N,N,N,8.0974,9,OK,#VALUE!,,,
ghsarp-5-9-4.txt,-3.86859,-3.86859,1464,-2.3901,-2,OK,Not,,,
ghsarp-5-9-5.txt,-5.585,-5.585,3,4.6713,5,OK,Not,,,
ghsarp-5-9-6.txt,N,N,N,1.8599,2,OK,#VALUE!,,,
ghsarp-5-9-7.txt,-3.58614,-3.58614,3,-1.3324,-1,OK,Not,,,
ghsarp-5-9-8.txt,N,N,N,-1.4201,-1,OK,#VALUE!,,,
ghsarp-5-9-9.txt,-6.23839,-6.23839,797,-6.2384,-6,OK,OK,,,
ghsarp-6-5-0.txt,2.99892,2.99892,54,2.9989,3,OK,OK,,,
ghsarp-6-5-1.txt,8.67426,8.67426,4920,8.6743,9,OK,OK,,,
ghsarp-6-5-2.txt,19.7125,19.7125,1176,19.7125,20,OK,OK,,,
ghsarp-6-5-3.txt,4.58505,4.58505,14,4.5851,5,OK,OK,,,
ghsarp-6-5-4.txt,17.297,17.297,2829,17.2969,18,OK,OK,,,
ghsarp-6-5-5.txt,14.2747,14.2747,63,14.2746,15,OK,OK,,,
ghsarp-6-5-6.txt,2.61339,2.61339,3,2.61340000000001,3,OK,OK,,,
ghsarp-6-5-7.txt,14.9394,14.9394,236,14.9394,15,OK,OK,,,
ghsarp-6-5-8.txt,14.2986,14.2986,16530,14.2985,15,OK,OK,,,
ghsarp-6-5-9.txt,4.2315,4.2315,250,4.2315,5,OK,OK,,,
ghsarp-6-6-0.txt,-0.035321,-0.035321,31,-0.0352999999999994,0,OK,OK,,,
ghsarp-6-6-1.txt,4.46357,4.46357,16,4.2582,5,OK,Not,,,
ghsarp-6-6-2.txt,8,8,111,7.7201,8,OK,Not,,,
ghsarp-6-6-3.txt,9,9,172,8.7092,9,OK,Not,,,
ghsarp-6-6-4.txt,10.574,10.574,30,10.5741,11,OK,OK,,,
ghsarp-6-6-5.txt,1.10262,1.10262,763,1.1026,2,OK,OK,,,
ghsarp-6-6-6.txt,4.95726,4.95726,2,4.9572,5,OK,OK,,,
ghsarp-6-6-7.txt,-8.56337,-8.56337,766,-8.5634,-8,OK,OK,,,
ghsarp-6-6-8.txt,1.92861,1.92861,61,1.9286,2,OK,OK,,,
ghsarp-6-6-9.txt,4.07915,4.07915,76,4.02699999999999,5,OK,Not,,,
ghsarp-6-7-0.txt,N,N,N,17.5617,18,OK,#VALUE!,,,
ghsarp-6-7-1.txt,6.65056,6.65056,89,6.6505,7,OK,OK,,,
ghsarp-6-7-2.txt,7.85844,7.85844,2,7.8585,8,OK,OK,,,
ghsarp-6-7-3.txt,5.8667,5.8667,2201,5.8667,6,OK,OK,,,
ghsarp-6-7-4.txt,N,N,N,1.5494,2,OK,#VALUE!,,,
ghsarp-6-7-5.txt,N,N,N,0.356899999999996,1,OK,#VALUE!,,,
ghsarp-6-7-6.txt,N,N,N,15.2102,16,OK,#VALUE!,,,
ghsarp-6-7-7.txt,N,N,N,6.4054,7,OK,#VALUE!,,,
ghsarp-6-7-8.txt,0,0,14,-0.718699999999998,0,OK,Not,,,
ghsarp-6-7-9.txt,5.45816,5.45816,977,5.4582,6,OK,OK,,,
ghsarp-6-8-0.txt,7.07398,7.07398,2,7.074,8,OK,OK,,,
ghsarp-6-8-1.txt,5.2641,5.2641,581,6.7253,7,OK,Not,,,
ghsarp-6-8-2.txt,9.63668,9.63668,17,9.7997,10,OK,Not,,,
ghsarp-6-8-3.txt,N,N,N,11.5685,12,OK,#VALUE!,,,
ghsarp-6-8-4.txt,N,N,N,7.9014,8,OK,#VALUE!,,,
ghsarp-6-8-5.txt,-7.33792,-7.33792,3,2.9122,3,OK,Not,,,
ghsarp-6-8-6.txt,N,N,N,6.9991,7,OK,#VALUE!,,,
ghsarp-6-8-7.txt,N,N,N,4.2366,5,OK,#VALUE!,,,
ghsarp-6-8-8.txt,1,1,71,0.190799999999996,1,OK,Not,,,
ghsarp-6-8-9.txt,N,N,N,11.5858,12,OK,#VALUE!,,,
ghsarp-6-9-0.txt,-2.3959,-2.3959,3,5.6903,6,OK,Not,,,
ghsarp-6-9-1.txt,N,N,N,-1.6146,-1,OK,#VALUE!,,,
ghsarp-6-9-2.txt,N,N,N,13.4025,14,OK,#VALUE!,,,
ghsarp-6-9-3.txt,N,N,N,-1.2058,-1,OK,#VALUE!,,,
ghsarp-6-9-4.txt,N,N,N,9.4978,10,OK,#VALUE!,,,
ghsarp-6-9-5.txt,-2.64651,-2.64651,276,-1.1069,-1,OK,Not,,,
ghsarp-6-9-6.txt,N,N,N,6.3977,7,OK,#VALUE!,,,
ghsarp-6-9-7.txt,N,N,N,-2.6947,-2,OK,#VALUE!,,,
ghsarp-6-9-8.txt,N,N,N,-5.308,-5,OK,#VALUE!,,,
ghsarp-6-9-9.txt,N,N,N,4.5128,5,OK,#VALUE!,,,
ghsarp-7-5-0.txt,8.78559,8.78559,405,8.7856,9,OK,OK,,,
ghsarp-7-5-1.txt,12.9128,12.9128,1912,12.5012,13,OK,Not,,,
ghsarp-7-5-2.txt,5.40405,5.40405,19,5.4041,6,OK,OK,,,
ghsarp-7-5-3.txt,15,15,2282,14.3402,15,OK,Not,,,
ghsarp-7-5-4.txt,16,16,36,15.196,16,OK,Not,,,
ghsarp-7-5-5.txt,1.42655,1.42655,54,1.3048,2,OK,Not,,,
ghsarp-7-5-6.txt,11,11,260,10.062,11,OK,Not,,,
ghsarp-7-5-7.txt,-6.02402,-6.02402,5,-6.024,-6,OK,OK,,,
ghsarp-7-5-8.txt,9.08577,9.08577,86,9.0858,10,OK,OK,,,
ghsarp-7-5-9.txt,8.01683,8.01683,6057,8.0168,9,OK,OK,,,
ghsarp-7-6-0.txt,6.26037,6.26037,1299,6.2287,7,OK,Not,,,
ghsarp-7-6-1.txt,12,12,772,11.1664,12,OK,Not,,,
ghsarp-7-6-2.txt,13.9604,13.9604,2666,13.9605,14,OK,OK,,,
ghsarp-7-6-3.txt,11.4293,27,41075,26.4755,27,Not,Not,,,
ghsarp-7-6-4.txt,10.7828,10.7828,692,10.7828,11,OK,OK,,,
ghsarp-7-6-5.txt,0.403076,0.403076,288,0.403099999999995,1,OK,OK,,,
ghsarp-7-6-6.txt,10.7423,10.7423,32,10.7423,11,OK,OK,,,
ghsarp-7-6-7.txt,6,6,67,5.4788,6,OK,Not,,,
ghsarp-7-6-8.txt,7.1703,7.1703,2433,7.1703,8,OK,OK,,,
ghsarp-7-6-9.txt,1,1,116,0.845200000000006,1,OK,Not,,,
ghsarp-7-7-0.txt,5.6259,5.6259,93,5.6259,6,OK,OK,,,
ghsarp-7-7-1.txt,9.89904,9.89904,12642,9.899,10,OK,OK,,,
ghsarp-7-7-2.txt,20,20,25657,19.2909,20,OK,Not,,,
ghsarp-7-7-3.txt,18,18,5658,17.877,18,OK,Not,,,
ghsarp-7-7-4.txt,4.02327,4.02327,419,4.0232,5,OK,OK,,,
ghsarp-7-7-5.txt,7,7,249,6.2589,7,OK,Not,,,
ghsarp-7-7-6.txt,9.71096,16.0413,30152,16.0413,17,Not,OK,,,
ghsarp-7-7-7.txt,6.38585,6.38585,5387,6.3858,7,OK,OK,,,
ghsarp-7-7-8.txt,11.1061,11.1061,2656,11.1061,12,OK,OK,,,
ghsarp-7-7-9.txt,9.9728,9.9728,736,9.9728,10,OK,OK,,,
ghsarp-7-8-0.txt,N,N,N,7.8914,8,OK,#VALUE!,,,
ghsarp-7-8-1.txt,-8.02636,-8.02636,6,0.618000000000002,1,OK,Not,,,
ghsarp-7-8-2.txt,N,N,N,14.8458,15,OK,#VALUE!,,,
ghsarp-7-8-3.txt,N,N,N,3.6567,4,OK,#VALUE!,,,
ghsarp-7-8-4.txt,0.0464882,0.0464882,53,0.0465000000000018,1,OK,OK,,,
ghsarp-7-8-5.txt,-5.20991,-5.20991,4,-5.2099,-5,OK,OK,,,
ghsarp-7-8-6.txt,7.7757,7.7757,2550,7.3872,8,OK,Not,,,
ghsarp-7-8-7.txt,-6.45394,-6.45394,6,-6.1992,-6,OK,Not,,,
ghsarp-7-8-8.txt,-11.8684,-11.8684,54,-11.8684,-11,OK,OK,,,
ghsarp-7-8-9.txt,N,N,N,12.7046,13,OK,#VALUE!,,,
ghsarp-8-5-0.txt,13.9307,13.9307,2487,13.3169,14,OK,Not,,,
ghsarp-8-5-1.txt,15.2469,15.2469,187,15.2469,16,OK,OK,,,
ghsarp-8-5-2.txt,17,17,3471,16.644,17,OK,Not,,,
ghsarp-8-5-3.txt,16.0616,16.0616,279,16.0616,17,OK,OK,,,
ghsarp-8-5-4.txt,14.8181,26,56701,25.7583,26,Not,Not,,,
ghsarp-8-5-5.txt,6,6,268,5.0995,6,OK,Not,,,
ghsarp-8-5-6.txt,14.2514,14.2514,3173,14.2515,15,OK,OK,,,
ghsarp-8-5-7.txt,6.83518,19,63969,18.0677,19,Not,Not,,,
ghsarp-8-5-8.txt,11.1343,23.1681,32680,23.1681,24,Not,OK,,,
ghsarp-8-5-9.txt,9.86185,9.86185,6947,9.8619,10,OK,OK,,,
ghsarp-8-6-0.txt,3.61596,3.61596,221,3.6159,4,OK,OK,,,
ghsarp-8-6-1.txt,12,12,1277,11.1509,12,OK,Not,,,
ghsarp-8-6-2.txt,16.995,16.995,56,16.9951,17,OK,OK,,,
ghsarp-8-6-3.txt,18.6021,18.6021,4628,18.602,19,OK,OK,,,
ghsarp-8-6-4.txt,0.334885,11,54139,10.1064,11,Not,Not,,,
ghsarp-8-6-5.txt,5,5,133,4.2448,5,OK,Not,,,
ghsarp-8-6-6.txt,18.4807,18.4807,8851,18.4807,19,OK,OK,,,
ghsarp-8-6-7.txt,11.5444,11.5444,6099,11.5444,12,OK,OK,,,
ghsarp-8-6-8.txt,14.5637,14.5637,17161,14.5637,15,OK,OK,,,
ghsarp-8-6-9.txt,9,9,338,8.9409,9,OK,Not,,,
ghsarp-8-7-0.txt,21.2458,21.2458,12384,21.2458,22,OK,OK,,,
ghsarp-8-7-1.txt,0.187301,0.187301,282,0.1873,1,OK,OK,,,
ghsarp-8-7-2.txt,7.27825,7.27825,12,7.2782,8,OK,OK,,,
ghsarp-8-7-3.txt,0,0,3302,-0.750799999999998,0,OK,Not,,,
ghsarp-8-7-4.txt,-1.79768,-1.79768,45,-2.6591,-2,OK,Not,,,
ghsarp-8-7-5.txt,-2.18657,9,51172,8.4123,9,Not,Not,,,
ghsarp-8-7-6.txt,3.34735,12,39915,11.52,12,Not,Not,,,
ghsarp-8-7-7.txt,3.49289,15.645,32325,15.2349,16,Not,Not,,,
ghsarp-8-7-8.txt,-16.4525,-4.70726,32553,-10.5109,-10,Not,Not,,,
ghsarp-8-7-9.txt,14.2448,14.2448,186,14.2448,15,OK,OK,,,
ghsarp-9-5-0.txt,N,N,N,16.3167,17,OK,#VALUE!,,,
ghsarp-9-5-1.txt,16,16,2377,15.8682,16,OK,Not,,,
ghsarp-9-5-2.txt,20.3628,30.5149,90485,30.0161,31,Not,Not,,,
ghsarp-9-5-3.txt,14.9986,33,54463,32.5171,33,Not,Not,,,
ghsarp-9-5-4.txt,8.96896,21,44392,20.6224,21,Not,Not,,,
ghsarp-9-5-5.txt,13,13,7547,12.524,13,OK,Not,,,
ghsarp-9-5-6.txt,10.978,19.2851,42891,19.2851,20,Not,OK,,,
ghsarp-9-5-7.txt,13.7014,21.8454,40185,21.8454,22,Not,OK,,,
ghsarp-9-5-8.txt,18.753,18.753,14770,18.7531,19,OK,OK,,,
ghsarp-9-5-9.txt,19.7622,19.7622,7230,19.7623,20,OK,OK,,,
ghsarp-9-6-0.txt,12,12,12494,11.1271,12,OK,Not,,,
ghsarp-9-6-1.txt,-1.56697,-1.56697,1088,-1.567,-1,OK,OK,,,
ghsarp-9-6-2.txt,12.7991,23.9316,51077,23.9292,24,Not,OK,,,
ghsarp-9-6-3.txt,5.03879,5.03879,1653,5.0388,6,OK,OK,,,
ghsarp-9-6-4.txt,5.05133,5.05133,4158,5.0513,6,OK,OK,,,
ghsarp-9-6-5.txt,13.35,13.35,11546,13.047,14,OK,Not,,,
ghsarp-9-6-6.txt,7.09567,7.09567,4349,7.0956,8,OK,OK,,,
ghsarp-9-6-7.txt,9,9,404,8.1744,9,OK,Not,,,
ghsarp-9-6-8.txt,-6.31218,2.28169,66812,2.0407,3,Not,Not,,,
ghsarp-9-6-9.txt,18.3575,18.3575,1859,18.3575,19,OK,OK,,,
,,,,,,,100,69,41,210
,,,,,,,0.476190476190476,0.328571428571429,0.195238095238095,
