Instance,LB,UB,Time
sfsarp-10-5-1.txt,15.6466,15.6466,6
sfsarp-10-5-2.txt,5.73455,5.73455,7
sfsarp-10-5-3.txt,5.89402,5.89402,13
sfsarp-10-5-4.txt,6.44054,6.44054,22
sfsarp-10-5-5.txt,12.8446,12.8446,11
sfsarp-5-10-1.txt,-13.5136,-13.5136,4
sfsarp-5-10-2.txt,-1.37396,-1.37396,2
sfsarp-5-10-3.txt,-12.2143,-12.2143,3
sfsarp-5-10-4.txt,-8.1166,-8.1166,3
sfsarp-5-10-5.txt,-3.93396,-3.93396,3
sfsarp-5-5-1.txt,29.5019,29.5019,2
sfsarp-5-5-2.txt,-2.28238,-2.28238,1
sfsarp-5-5-3.txt,0.57281,0.57281,3
sfsarp-5-5-4.txt,4.01354,4.01354,2
sfsarp-5-5-5.txt,4.72323,4.72323,26
sfsarp-5-6-1.txt,2.10815,2.10815,96
sfsarp-5-6-2.txt,-9.76466,-9.76466,2
sfsarp-5-6-3.txt,3.29759,3.29759,1
sfsarp-5-6-4.txt,8.24593,8.24593,1
sfsarp-5-6-5.txt,-3.32854,-3.32854,1
sfsarp-5-7-1.txt,-1.54783,-1.54783,3
sfsarp-5-7-2.txt,0.302206,0.302206,3
sfsarp-5-7-3.txt,5.85083,5.85083,3
sfsarp-5-7-4.txt,-0.573329,-0.573329,4
sfsarp-5-7-5.txt,0.481922,0.481922,2
sfsarp-5-8-1.txt,-8.38121,-8.38121,2
sfsarp-5-8-2.txt,-0.378271,-0.378271,2
sfsarp-5-8-3.txt,-8.48853,-8.48853,3
sfsarp-5-8-4.txt,-5.17234,-5.17234,2
sfsarp-5-8-5.txt,-8.94041,-8.94041,2
sfsarp-5-9-1.txt,-4.78513,-4.78513,2
sfsarp-5-9-2.txt,-11.641,-11.641,3
sfsarp-5-9-3.txt,-2.18934,-2.18934,3
sfsarp-5-9-4.txt,-0.170595,-0.170595,2
sfsarp-5-9-5.txt,1.35143,1.35143,1
sfsarp-6-5-1.txt,0.210829,0.210829,2
sfsarp-6-5-2.txt,-0.960843,-0.960843,2
sfsarp-6-5-3.txt,-7.43275,-7.43275,2
sfsarp-6-5-4.txt,-12.1364,-12.1364,2
sfsarp-6-5-5.txt,-1.5935,-1.5935,2
sfsarp-6-6-1.txt,15.2397,15.2397,2
sfsarp-6-6-2.txt,-9.09059,-9.09059,6
sfsarp-6-6-3.txt,-0.540397,-0.540397,2
sfsarp-6-6-4.txt,-9.60292,-9.60292,3
sfsarp-6-6-5.txt,3.95168,3.95168,4
sfsarp-6-7-1.txt,5.14893,5.14893,5
sfsarp-6-7-2.txt,-5.93549,-5.93549,2
sfsarp-6-7-3.txt,-6.45353,-6.45353,3
sfsarp-6-7-4.txt,1.42559,1.42559,2
sfsarp-6-7-5.txt,9.36511,9.36511,40
sfsarp-6-8-1.txt,-0.205468,-0.205468,19
sfsarp-6-8-2.txt,-13.0494,-13.0494,4
sfsarp-6-8-3.txt,6.12881,6.12881,2
sfsarp-6-8-4.txt,7.04445,7.04445,4
sfsarp-6-8-5.txt,10.0354,10.0354,4
sfsarp-6-9-1.txt,-14.6756,-14.6756,5
sfsarp-6-9-2.txt,1.06803,1.06803,3
sfsarp-6-9-3.txt,8.24792,8.24792,5
sfsarp-6-9-4.txt,9.57666,9.57666,8
sfsarp-6-9-5.txt,1.97207,1.97207,4
sfsarp-7-5-1.txt,-7.31114,-7.31114,5
sfsarp-7-5-2.txt,-1.70916,-1.70916,5
sfsarp-7-5-3.txt,-1.55943,-1.55943,5
sfsarp-7-5-4.txt,9.96253,9.96253,2
sfsarp-7-5-5.txt,5.38838,5.38838,2
sfsarp-7-6-1.txt,3.19211,3.19211,4
sfsarp-7-6-2.txt,3.39755,3.39755,7
sfsarp-7-6-3.txt,-4.05507,-4.05507,4
sfsarp-7-6-4.txt,-9.42358,-9.42358,4
sfsarp-7-6-5.txt,-9.83719,-9.83719,6
sfsarp-7-7-1.txt,-13.6297,-13.6297,5
sfsarp-7-7-2.txt,-4.24613,-4.24613,3
sfsarp-7-7-3.txt,-6.65227,-6.65227,6
sfsarp-7-7-4.txt,-3.09222,-3.09222,51
sfsarp-7-7-5.txt,-7.65688,-7.65688,6
sfsarp-7-8-1.txt,0.816167,0.816167,5
sfsarp-7-8-2.txt,-0.629428,-0.629428,6
sfsarp-7-8-3.txt,2.6563,2.6563,8
sfsarp-7-8-4.txt,-12.1406,-12.1406,5
sfsarp-7-8-5.txt,2.15323,2.15323,5
sfsarp-8-5-1.txt,4.85425,4.85425,2
sfsarp-8-5-2.txt,1.59131,1.59131,3
sfsarp-8-5-3.txt,-3.39341,-3.39341,6
sfsarp-8-5-4.txt,8.87085,8.87085,2
sfsarp-8-5-5.txt,-1.27828,-1.27828,10
sfsarp-8-6-1.txt,8.26739,8.26739,3
sfsarp-8-6-2.txt,-3.84329,-3.84329,8
sfsarp-8-6-3.txt,-5.68586,-5.68586,6
sfsarp-8-6-4.txt,-8.50487,-8.50487,6
sfsarp-8-6-5.txt,-2.64671,-2.64671,21
sfsarp-8-7-1.txt,2.73106,2.73106,5
sfsarp-8-7-2.txt,-5.06906,-5.06906,20
sfsarp-8-7-3.txt,4.98526,4.98526,4
sfsarp-8-7-4.txt,4.8068,4.8068,3
sfsarp-8-7-5.txt,-4.93227,-4.93227,20
sfsarp-9-5-1.txt,3.06104,3.06104,16
sfsarp-9-5-2.txt,-2.00659,-2.00659,5
sfsarp-9-5-3.txt,10.8242,10.8242,5
sfsarp-9-5-4.txt,-2.22132,-2.22132,5
sfsarp-9-5-5.txt,1.40955,1.40955,3
sfsarp-9-6-1.txt,2.16159,2.16159,9
sfsarp-9-6-2.txt,-11.8308,-11.8308,11
sfsarp-9-6-3.txt,0.341277,0.341277,250
sfsarp-9-6-4.txt,-12.6495,-12.6495,7
sfsarp-9-6-5.txt,-3.48814,-3.48814,5
