Instance,SumCol2,SumCol3,SumCol4,Col5_from_csv2,Col6_from_csv2,Col7_from_csv2,Status
ghsarp,,,,,,,
ghsarp-10-5-0,30.12,54.3561,54.3542,5.0,1.7387,71.288,Optimal
ghsarp-10-5-1,9.06,64.3413,64.3413,5.0,0.8944,36.672,Optimal
ghsarp-10-5-2,8.17,51.73,51.73,5.0,1.058,43.38,Optimal
ghsarp-10-5-3,0.47,49.0778,49.0778,4.0,1.0555,43.276,Optimal
ghsarp-10-5-4,14.02,46.7384,46.736,5.0,1.4255,58.444,Optimal
ghsarp-10-5-5,20.03,56.0285,56.0285,5.0,1.3177,54.026,Optimal
ghsarp-10-5-6,8.15,49.1488,49.1488,5.0,1.4998,61.49,Optimal
ghsarp-10-5-7,0.41,58.5015,58.5015,5.0,1.5099,61.906,Optimal
ghsarp-10-5-8,18.45,66.8344,66.8344,5.0,0.6145,25.196,Optimal
ghsarp-10-5-9,0.54,47.2041,47.2022,5.0,1.8601,76.266,Optimal
ghsarp-5-10-0,6696.34,59.4962,59.4921,10.0,0.8387,34.388,Optimal
ghsarp-5-10-1,7182.78,73.3627,70.1906,10.0,0.6748,27.668,Feasible
ghsarp-5-10-2,2460.53,58.2419,58.2378,10.0,0.7522,30.84,Optimal
ghsarp-5-10-3,7188.4,56.3744,55.5919,9.0,0.2049,8.4,Feasible
ghsarp-5-10-4,7167.3,52.4127,44.9715,10.0,0.4399,18.034,Feasible
ghsarp-5-10-5,414.47,63.3232,63.3196,10.0,0.7121,29.198,Optimal
ghsarp-5-10-6,7188.58,57.7603,56.3529,10.0,0.5215,21.382,Feasible
ghsarp-5-10-7,430.95,57.1531,57.1487,10.0,0.4348,17.826,Optimal
ghsarp-5-10-8,25.51,79.3564,79.3518,10.0,0.2023,8.296,Optimal
ghsarp-5-10-9,314.78,53.0055,53.0015,9.0,0.4929,20.21,Optimal
ghsarp-5-5-0,2.37,28.2688,28.2688,5.0,0.2185,8.96,Optimal
ghsarp-5-5-1,0.62,34.5062,34.5047,5.0,0.6278,25.74,Optimal
ghsarp-5-5-2,1.46,38.8048,38.8048,5.0,0.3047,12.494,Optimal
ghsarp-5-5-3,9.52,24.389,24.389,5.0,1.1038,45.258,Optimal
ghsarp-5-5-4,0.26,43.7468,43.7468,5.0,0.8467,34.714,Optimal
ghsarp-5-5-5,0.16,37.0686,37.0686,5.0,0.482,19.764,Optimal
ghsarp-5-5-6,0.75,38.4984,38.4984,5.0,1.082,44.364,Optimal
ghsarp-5-5-7,13.58,15.9643,15.9643,5.0,0.8068,33.078,Optimal
ghsarp-5-5-8,2.41,38.7472,38.7472,5.0,0.6788,27.832,Optimal
ghsarp-5-5-9,20.08,28.1634,28.1634,5.0,0.76,31.16,Optimal
ghsarp-5-6-0,0.39,48.5728,48.5728,5.0,0.3288,13.482,Optimal
ghsarp-5-6-1,7180.78,34.8278,32.6735,6.0,0.4285,17.57,Feasible
ghsarp-5-6-2,29.06,37.1783,37.1783,6.0,1.0042,41.174,Optimal
ghsarp-5-6-3,1.22,39.4043,39.4024,5.0,0.182,7.464,Optimal
ghsarp-5-6-4,4.22,42.5508,42.5508,6.0,0.8117,33.278,Optimal
ghsarp-5-6-5,34.89,44.6907,44.6878,6.0,0.6369,26.114,Optimal
ghsarp-5-6-6,7.62,40.4965,40.4965,6.0,0.8539,35.008,Optimal
ghsarp-5-6-7,4.34,39.0238,39.0238,6.0,0.8549,35.05,Optimal
ghsarp-5-6-8,2.16,42.2093,42.2093,6.0,0.4098,16.8,Optimal
ghsarp-5-6-9,6.53,44.5744,44.5744,5.0,0.4259,17.46,Optimal
ghsarp-5-7-0,14.5,37.9015,37.9,7.0,0.9225,37.822,Optimal
ghsarp-5-7-1,42.1,36.2245,36.2228,7.0,0.1497,6.136,Optimal
ghsarp-5-7-2,1.22,40.6778,40.6778,7.0,0.6943,28.466,Optimal
ghsarp-5-7-3,400.5,37.108,37.1048,7.0,0.982,40.26,Optimal
ghsarp-5-7-4,5.91,32.9945,32.9945,6.0,0.3245,13.304,Optimal
ghsarp-5-7-5,79.64,42.9714,42.9714,7.0,0.6027,24.712,Optimal
ghsarp-5-7-6,66.26,34.9705,34.9689,7.0,0.9322,38.22,Optimal
ghsarp-5-7-7,815.35,52.9436,52.9398,7.0,0.0658,2.696,Optimal
ghsarp-5-7-8,43.64,44.3214,44.3177,7.0,0.961,39.4,Optimal
ghsarp-5-7-9,26.76,46.815,46.8121,7.0,0.1529,6.27,Optimal
ghsarp-5-8-0,7185.15,44.2882,41.2327,8.0,0.0663,2.718,Feasible
ghsarp-5-8-1,55.13,41.7761,41.7761,8.0,0.8029,32.92,Optimal
ghsarp-5-8-2,16.42,52.9845,52.9824,8.0,0.8562,35.104,Optimal
ghsarp-5-8-3,288.26,54.7316,54.7272,8.0,0.4795,19.658,Optimal
ghsarp-5-8-4,107.89,48.9859,48.983,8.0,0.089,3.65,Optimal
ghsarp-5-8-5,368.47,43.8216,43.8185,8.0,0.2301,9.434,Optimal
ghsarp-5-8-6,7.36,52.4106,52.4106,8.0,0.4171,17.102,Optimal
ghsarp-5-8-7,377.91,46.6978,46.6951,7.0,0.4835,19.822,Optimal
ghsarp-5-8-8,2307.04,43.1319,43.1289,8.0,0.8711,35.716,Optimal
ghsarp-5-8-9,241.36,41.1488,41.1457,8.0,0.4474,18.344,Optimal
ghsarp-5-9-0,765.84,54.4534,54.4489,9.0,0.3992,16.366,Optimal
ghsarp-5-9-1,166.76,49.7532,49.7499,9.0,0.2815,11.542,Optimal
ghsarp-5-9-2,0.9,44.4254,44.4254,9.0,1.0675,43.768,Optimal
ghsarp-5-9-3,3148.71,43.5455,43.5422,9.0,1.0974,44.994,Optimal
ghsarp-5-9-4,7173.21,52.5553,44.2987,9.0,0.6597,27.046,Feasible
ghsarp-5-9-5,7186.45,57.2366,45.3791,9.0,0.0792,3.246,Feasible
ghsarp-5-9-6,174.02,49.3745,49.3718,9.0,0.5966,24.46,Optimal
ghsarp-5-9-7,523.01,44.505,44.502,9.0,0.3458,14.176,Optimal
ghsarp-5-9-8,1225.78,45.4022,45.3986,9.0,0.5138,21.066,Optimal
ghsarp-5-9-9,7153.76,69.0006,65.8248,9.0,0.3523,14.444,Feasible
ghsarp-6-5-0,3.14,43.246,43.246,5.0,1.2023,49.294,Optimal
ghsarp-6-5-1,2.4,40.1462,40.1447,5.0,0.6755,27.696,Optimal
ghsarp-6-5-2,2.7,37.5004,37.5004,5.0,1.0356,42.46,Optimal
ghsarp-6-5-3,7.08,33.72,33.72,4.0,0.4826,19.786,Optimal
ghsarp-6-5-4,1.06,42.1912,42.1912,5.0,1.0507,43.08,Optimal
ghsarp-6-5-5,3.38,46.4737,46.4733,5.0,0.9456,38.77,Optimal
ghsarp-6-5-6,13.04,37.0137,37.0137,5.0,1.0224,41.92,Optimal
ghsarp-6-5-7,9.6,37.2684,37.2666,5.0,0.4585,18.8,Optimal
ghsarp-6-5-8,3.55,34.4974,34.4974,5.0,1.2272,50.314,Optimal
ghsarp-6-5-9,0.26,43.7939,43.7939,5.0,0.6712,27.52,Optimal
ghsarp-6-6-0,57.26,36.3848,36.384,6.0,0.4429,18.16,Optimal
ghsarp-6-6-1,162.07,31.0367,31.0349,6.0,0.7818,32.054,Optimal
ghsarp-6-6-2,0.11,45.3648,45.3648,6.0,0.4362,17.886,Optimal
ghsarp-6-6-3,64.67,40.6945,40.6921,6.0,0.9894,40.566,Optimal
ghsarp-6-6-4,600.61,26.2178,26.2159,6.0,0.1282,5.256,Optimal
