10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,14,1,1,135.91,15.688,89.194,5,1.47,62.4042,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,12,3,3,116.229,40.3908,88.872,5,22.79,67.7478,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,11,4,4,107.369,51.3146,87.9796,5,65.11,70.7038,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,9,6,5,89.2494,62.4376,93.4444,4,4217.72,58.2426,Optimal
10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,14,1,1,135.91,15.688,89.194,5,1.33,62.4042,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,12,3,3,116.229,40.3908,88.044,5,238.64,68.5758,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,11,4,4,107.369,51.3146,87.9796,5,73.18,70.7038,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,9,6,5,89.2494,62.4376,91.2088,4,1368.55,60.4782,Optimal
10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,14,1,1,135.91,15.688,89.194,5,1.44,62.4042,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,12,3,3,116.229,40.3908,87.7772,5,52.85,68.8426,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,11,4,4,107.369,51.3146,84.4192,5,828.96,74.2642,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,9,6,6,89.2494,73.7432,92.3128,4,4581.02,70.6798,Optimal
10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,14,1,1,135.91,15.688,89.194,5,1.34,62.4042,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,12,3,3,116.229,40.3908,87.7772,5,110.24,68.8426,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,11,4,4,107.369,51.3146,84.4192,5,1491.16,74.2642,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-8.tsp ,9,6,6,89.2494,73.7432,92.3128,4,7197.58,70.6798,Feasible
