10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-1.tsp ,14,1,1,123.028,13.2478,77.9976,5,1.3,58.2784,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-1.tsp ,12,3,3,107.702,31.6094,79.6904,5,246.58,59.6208,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-1.tsp ,11,4,4,97.3368,44.7244,73.922,4,1397.6,68.1392,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-1.tsp ,9,6,6,75.2958,72.8634,72.6248,4,537.39,75.5344,Optimal
