,,,,,,,,,,,,,
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-10-0.tsp ,3.92,0.33,0.00,3.98,21.08,0.00,29.31,13.37,1.13,0.00,13.57,71.93,0.00
grubhub-10-1.tsp ,3.64,0.42,0.00,2.99,16.22,0.00,23.27,15.64,1.80,0.00,12.85,69.71,0.00
grubhub-10-2.tsp ,3.48,0.52,0.00,3.08,8.06,0.00,15.14,23.01,3.41,0.00,20.36,53.22,0.00
grubhub-10-3.tsp ,3.21,0.36,0.00,3.20,12.03,2.90,21.70,14.79,1.65,0.00,14.73,55.46,13.37
grubhub-10-4.tsp ,4.20,0.40,0.00,3.69,6.38,2.96,17.64,23.83,2.25,0.00,20.94,36.18,16.80
grubhub-10-5.tsp ,3.84,0.53,0.00,3.89,19.79,0.00,28.06,13.70,1.90,0.00,13.87,70.53,0.00
grubhub-10-6.tsp ,3.52,0.48,0.00,2.59,15.33,0.00,21.92,16.05,2.18,0.00,11.83,69.95,0.00
grubhub-10-7.tsp ,3.12,0.43,0.00,2.97,13.23,0.00,19.74,15.81,2.17,0.00,15.03,66.99,0.00
grubhub-10-8.tsp ,4.06,0.28,0.00,3.44,16.38,0.00,24.17,16.81,1.16,0.00,14.25,67.79,0.00
grubhub-10-9.tsp ,3.21,0.36,0.00,2.76,17.68,0.00,24.00,13.36,1.49,0.00,11.50,73.66,0.00
,,,,,,,,,,,,,
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-10-0.tsp ,3.62,0.33,0.00,3.66,17.80,6.59,32.00,11.31,1.03,0.00,11.45,55.62,20.58
grubhub-10-1.tsp ,3.21,0.84,0.00,2.99,6.56,3.99,17.60,18.26,4.80,0.00,16.99,37.28,22.67
grubhub-10-2.tsp ,3.15,0.85,0.00,2.76,13.99,0.25,20.99,15.01,4.04,0.00,13.14,66.64,1.17
grubhub-10-3.tsp ,2.92,0.65,0.00,2.89,12.76,2.35,21.57,13.55,2.99,0.00,13.39,59.16,10.90
grubhub-10-4.tsp ,3.80,0.80,0.00,3.46,9.83,2.96,20.86,18.24,3.82,0.00,16.59,47.14,14.21
grubhub-10-5.tsp ,3.41,0.96,0.00,3.50,20.49,0.00,28.38,12.03,3.39,0.00,12.35,72.22,0.00
grubhub-10-6.tsp ,3.22,0.78,0.00,2.46,12.98,0.00,19.44,16.56,3.99,0.00,12.67,66.78,0.00
grubhub-10-7.tsp ,2.69,0.86,0.00,2.97,13.23,0.13,19.87,13.52,4.35,0.00,14.93,66.57,0.64
grubhub-10-8.tsp ,3.68,0.66,0.00,3.12,15.15,4.58,27.20,13.52,2.44,0.00,11.48,55.72,16.84
grubhub-10-9.tsp ,2.95,0.62,0.00,2.63,12.90,2.72,21.81,13.51,2.82,0.00,12.05,59.16,12.46
,,,,,,,,,,,,,
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-10-0.tsp ,3.13,0.81,0.00,3.05,15.72,9.29,32.00,9.80,2.55,0.00,9.52,49.11,29.03
grubhub-10-1.tsp ,2.78,1.28,0.00,2.97,8.52,0.00,15.55,17.87,8.22,0.00,19.11,54.81,0.00
grubhub-10-2.tsp ,2.65,1.35,0.00,2.49,9.01,0.00,15.50,17.13,8.69,0.00,16.07,58.12,0.00
grubhub-10-3.tsp ,2.56,1.01,0.00,2.71,10.70,0.00,16.98,15.09,5.93,0.00,15.97,63.02,0.00
grubhub-10-4.tsp ,3.38,1.26,0.00,2.93,13.40,0.78,21.76,15.52,5.81,0.00,13.45,61.61,3.61
grubhub-10-5.tsp ,2.93,1.62,0.00,2.34,18.43,0.25,25.57,11.46,6.32,0.00,9.17,72.09,0.96
grubhub-10-6.tsp ,2.83,1.23,0.00,2.14,14.83,1.08,22.10,12.79,5.55,0.00,9.69,67.08,4.89
grubhub-10-7.tsp ,2.38,1.17,0.00,2.90,9.18,0.37,16.00,14.88,7.31,0.00,18.13,57.35,2.33
grubhub-10-8.tsp ,3.13,1.23,0.00,2.70,22.80,1.42,31.29,10.01,3.93,0.00,8.64,72.86,4.55
grubhub-10-9.tsp ,2.65,0.91,0.00,2.32,9.96,2.72,18.55,14.31,4.90,0.00,12.49,53.66,14.65
,,,,,,,,,,,,,
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-10-0.tsp ,2.53,1.42,0.00,2.68,12.25,5.12,24.00,10.54,5.92,0.00,11.16,51.04,21.34
grubhub-10-1.tsp ,2.28,1.78,0.00,2.77,4.79,4.38,16.00,14.26,11.10,0.00,17.32,29.95,27.37
grubhub-10-2.tsp ,2.37,1.63,0.00,2.49,5.82,8.87,21.18,11.20,7.69,0.00,11.76,27.48,41.87
grubhub-10-3.tsp ,1.94,1.62,0.00,2.52,6.96,2.96,16.00,12.15,10.15,0.00,15.72,43.51,18.47
grubhub-10-4.tsp ,2.93,1.71,0.00,2.60,2.00,7.39,16.63,17.62,10.29,0.00,15.64,12.02,44.43
grubhub-10-5.tsp ,2.59,1.96,0.00,2.15,16.25,0.00,22.95,11.27,8.54,0.00,9.37,70.82,0.00
grubhub-10-6.tsp ,2.66,1.39,0.00,1.85,9.78,1.08,16.76,15.88,8.31,0.00,11.02,58.35,6.44
grubhub-10-7.tsp ,1.97,1.58,0.00,2.70,9.25,0.38,15.87,12.40,9.96,0.00,17.02,58.25,2.36
grubhub-10-8.tsp ,2.84,1.53,0.00,2.57,9.85,0.57,17.35,16.34,8.80,0.00,14.81,56.77,3.28
grubhub-10-9.tsp ,2.17,1.55,0.00,2.46,8.46,1.35,16.00,13.58,9.68,0.00,15.38,52.90,8.45
