
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-0.tsp ,5.27106,0.389593,0,4.37268,26.5742,-4.16334e-17,36.6075,14.3988,1.06424,0,11.9448,72.5921,-1.13729e-16
grubhub-14-2.tsp ,5.66667,0.364715,0,5.95902,21.5728,0.836016,34.3993,16.4732,1.06024,0,17.3231,62.7131,2.43033
grubhub-14-3.tsp ,5.74715,0.403252,0,4.97463,20.1463,1.05333,32.3246,17.7795,1.24751,0,15.3896,62.3248,3.25861
grubhub-14-4.tsp ,5.81301,0.356911,0,5.17512,19.3018,-1.45717e-15,30.6468,18.9677,1.16459,0,16.8863,62.9814,-4.75471e-15

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-0.tsp ,4.28114,1.54341,0,3.7439,24.8659,0.434472,34.8689,12.2778,4.42634,0,10.7371,71.3127,1.24602
grubhub-14-2.tsp ,4.96358,1.0678,0,5.04585,16.4142,3.54626,31.0377,15.9921,3.44035,0,16.2572,52.8848,11.4256
grubhub-14-3.tsp ,4.75577,1.46732,0,4.49073,23.7055,0.961626,35.381,13.4416,4.14719,0,12.6925,67.0008,2.71792
grubhub-14-4.tsp ,4.80016,1.36976,0,4.69073,13.7669,-5.28744e-15,24.6276,19.491,5.56188,0,19.0467,55.9004,-2.14696e-14

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-0.tsp ,4.06423,1.74618,0,3.55171,24.108,-4.64906e-15,33.4701,12.1429,5.21713,0,10.6116,72.0284,-1.38902e-14
grubhub-14-2.tsp ,4.64862,1.38276,0,5.04585,15.7084,5.76789,32.5535,14.2799,4.24767,0,15.5002,48.254,17.7182
grubhub-14-3.tsp ,4.42374,1.79935,0,4.34829,20.4659,0.961626,31.9989,13.8246,5.62315,0,13.5889,63.9582,3.00518
grubhub-14-4.tsp ,4.31398,1.85593,0,3.67024,10.5895,1.94724,22.3769,19.2787,8.29397,0,16.4019,47.3234,8.70199

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-14-0.tsp ,3.06846,2.56049,0,2.86293,20.2915,4.39926e-14,28.7834,10.6605,8.89571,0,9.94645,70.4974,1.5284e-13
grubhub-14-2.tsp ,4.04699,1.98439,0,4.67073,8.50163,2.17797,21.3817,18.9274,9.28078,0,21.8445,39.7612,10.1861
grubhub-14-3.tsp ,3.70211,2.34732,0,3.8078,13.7193,5.83041,29.4069,12.5893,7.9822,0,12.9487,46.6532,19.8267
grubhub-14-4.tsp ,3.49626,2.68732,0,3.29512,2.91211,8.51333,20.9041,16.7252,12.8554,0,15.763,13.9308,40.7256
