instance	UB	LB	nodes	time
J10_M2_id1	465	465	11027	5.95696
J10_M2_id2	375	375	1579	0.334983
J10_M2_id3	565	565	972	0.350485
J10_M2_id4	515	515	72602	27.8183
J10_M2_id5	339	340	13111	5.58969
J10_M3_id1	265	265	4636	2.44429
J10_M3_id2	320	320	7921	4.61594
J10_M3_id3	395	395	771643	434.834
J10_M3_id4	415	415	52068	28.5206
J10_M3_id5	299	300	194097	91.8831
J20_M2_id1	695	695	308339	417.336
J20_M2_id2	980	980	67554	73.7158
J20_M2_id3	1074	1075	16962	24.9404
J20_M2_id4	840	840	6855	12.093
J20_M2_id5	1155	1155	1489170	981.895
J20_M3_id1	545	533.333	1974059	3595.4
J20_M3_id2	645	643.333	1538705	3595.79
J20_M3_id3	835	810.931	4663173	3595.11
J20_M3_id4	824	800.785	3960376	3594.95
J20_M3_id5	410	398.43	1963691	3595.29
J30_M3_id1	990	968.215	1273139	2911.77
J30_M3_id2	745	738.347	929104	3595.13
J30_M3_id3	1100	1093.1	5274778	3596.01
J30_M3_id4	760	736.532	1009919	3595.26
J30_M3_id5	1045	998.177	1950186	3595.57
J30_M4_id1	845	741.384	1201289	2894.5
J30_M4_id2	540	482.368	853815	3595.1
J30_M4_id3	680	647.5	1080948	3254.12
J30_M4_id4	770	714.118	803266	3595.49
J30_M4_id5	690	663.552	1218700	3595.71
J40_M3_id1	1535	1506.23	1059385	3595.18
J40_M3_id2	1195	1063.32	599635	3594.84
J40_M3_id3	1640	1636	932776	3595.7
J40_M3_id4	995	463.441	171453	3596.21
J40_M3_id5	1005	717.638	279818	3595.87
J40_M4_id1	855	692.847	498783	3595.18
J40_M4_id2	890	529.423	391217	3594.66
J40_M4_id3	980	526.507	421239	3593.72
J40_M4_id4	1085	967.531	834645	3595.45
J40_M4_id5	825	666	236198	3594.69
J50_M4_id1	1020	635.557	277164	3595.07
J50_M4_id2	1370	634.345	349782	3120.26
J50_M4_id3	1200	915.599	160266	3595.6
J50_M4_id4	1315	883	400461	3594.79
J50_M4_id5	1015	825.881	234719	3596.13
J50_M5_id1	770	396.59	188264	3596.49
J50_M5_id2	865	519	184863	3595.36
J50_M5_id3	760	413.759	163394	3596.29
J50_M5_id4	1065	543.448	338845	3595.62
J50_M5_id5	790	410.724	176839	3596.16
