Instance			OF		Optimal Nodes	Time	UB		LB		GAP

J10_Mw180_S10_30_0	320		1		15548	10.53	-		-		-
J10_Mw180_S10_30_1	380		1		57330	33.56	-		-		-
J10_Mw180_S10_30_2	230		1		14094	12.31	-		-		-
J10_Mw180_S10_30_3	390		1		53646	25.17	-		-		-
J10_Mw180_S10_30_4	290		1		8090	5.84 	-		-		-
J10_Mw180_S10_30_5	230		1		18142	13.28	-		-		-
J10_Mw180_S10_30_6	340		1		32455 	23.00	-		-		-
J10_Mw180_S10_30_7	330		1		3504	3.42	-		-		-
J10_Mw180_S10_30_8	380		1		44135 	27.29	-		-		-
J10_Mw180_S10_30_9	320		1		35027 	23.36	-		-		-
J20_Mw180_S10_30_0	860		0 		390813	600		860		831.07	3.36
J20_Mw180_S10_30_1	490		0 		342082	600		490		447.28 	8.72
J20_Mw180_S10_30_2	430 	0 		268459	600		430 	395.69 	7.98
J20_Mw180_S10_30_3	830 	0 		575499 	600 	830 	790.30 	4.78
J20_Mw180_S10_30_4	490 	0 		376669 	600 	490		453.54 	7.44
J20_Mw180_S10_30_5	590 	0 		337797 	600 	590 	533.64 	9.55
J20_Mw180_S10_30_6	430 	0 		322077 	600 	430 	388.96 	9.54
J20_Mw180_S10_30_7	580 	0 		384765 	600 	580 	524.82 	9.51
J20_Mw180_S10_30_8	540 	0 		366665  600 	540 	520.21 	3.66
J20_Mw180_S10_30_9	780 	0 		535097 	600 	780 	770.00 	1.28
J30_Mw180_S10_30_0	970		0		247063 	600		970		920		5.10	
J30_Mw180_S10_30_1	870		0		189643	600		870		680		21.76
J30_Mw180_S10_30_2	530		0		136975	600 	530 	410 	22.46
J30_Mw180_S10_30_3	620		0		170593 	600 	620 	506.13 	18.37
J30_Mw180_S10_30_4	1440	0		336899	600		1440 	1406.36	2.34
J30_Mw180_S10_30_5	930		0		156892 	600 	930 	715.23 	23.09
J30_Mw180_S10_30_6	550 	0		116113	600 	550 	439.84 	20.03
J30_Mw180_S10_30_7	960 	0		110089  600 	960 	904.17 	5.81
J30_Mw180_S10_30_8	870 	0		171270 	600 	870 	588.34 	32.37
J30_Mw180_S10_30_9	710 	0		183158 	600 	710 	559.29 	21.23
J40_Mw180_S10_30_0	1750 	0		40687 	600 	1750 	746.46 	57.34
J40_Mw180_S10_30_1	1410 	0		69021 	600		1410 	1032.00 26.18
J40_Mw180_S10_30_2	970 	0		59210 	600 	970 	503.41 	48.10
J40_Mw180_S10_30_3	910 	0		76475 	600 	910 	631.68 	31.58
J40_Mw180_S10_30_4	1280 	0		76267 	600 	1280 	919.32 	28.18
J40_Mw180_S10_30_5	1200 	0		77341 	600 	1200 	733.16 	38.90
J40_Mw180_S10_30_6	1130 	0		66116 	600 	1130 	713.19 	36.89
J40_Mw180_S10_30_7	1670 	0		45345 	600 	1670 	967.24 	42.08
J40_Mw180_S10_30_8	970 	0		41230 	600 	970 	520.55 	46.33
J40_Mw180_S10_30_9	1310 	0		67580 	600 	1310 	700.38 	36.54
J50_Mw180_S10_30_0	990 	0		17902 	600 	990 	505.75 	48.91
J50_Mw180_S10_30_1	1770	0		27588 	600 	1770 	775.14 	56.21
J50_Mw180_S10_30_2	1740	0		48925 	600 	1740 	774.23 	55.50
J50_Mw180_S10_30_3	1060	0		37478 	600 	1060 	471.48 	55.52
J50_Mw180_S10_30_4	1790	0		21795 	600 	1790 	727.23 	59.37
J50_Mw180_S10_30_5	1290	0		29342 	600 	1790 	588.14 	54.41
J50_Mw180_S10_30_6	1660	0		28235 	600 	1660 	718.48 	56.72
J50_Mw180_S10_30_7	1070	0		20097 	600 	1070 	582.20 	45.59
J50_Mw180_S10_30_8	2260	0		69461 	600 	2260 	2045.54 9.49
J50_Mw180_S10_30_9	1280	0		38951 	600 	1280 	577.22 	54.90
=========================================================================
===============================Second set================================
Instance			OF		Optimal Nodes	Time	UB		LB		GAP

J10_Mw180_S10_30_0	320		1		37439	24.87 	-		-		-
J10_Mw180_S10_30_1	500		1		198209	141.16 	-		-		-
J10_Mw180_S10_30_2	340		1		18952	13.92 	-		-		-
J10_Mw180_S10_30_3	270		1		18550	14.56 	-		-		-
J10_Mw180_S10_30_4	390		1		21028 	20.43 	-		-		-
J10_Mw180_S10_30_5	380		1		93239 	67.12 	-		-		-
J10_Mw180_S10_30_6	340		1		75464 	46.77 	-		-		-
J10_Mw180_S10_30_7	350		1		124183	67.65 	-		-		-
J10_Mw180_S10_30_8	490		1		20482 	13.22 	-		-		-
J10_Mw180_S10_30_9	270		1		1662	1.29 	-		-		-
J20_Mw180_S10_30_0	510		0 		578190	600 	510 	463.49 	9.12
J20_Mw180_S10_30_1	620		0 		334237 	600 	620 	601.26 	3.02
J20_Mw180_S10_30_2	670	 	0 		308315 	600 	670 	599.42 	10.53
J20_Mw180_S10_30_3	430	 	0 		324801 	600 	430 	388.62 	9.62
J20_Mw180_S10_30_4	810	 	0 		608516 	600 	810 	786.66 	2.88
J20_Mw180_S10_30_5	750	 	0 		296082 	600 	750 	748.00	0.27
J20_Mw180_S10_30_6	590	 	0 		300722 	600 	590 	558.66 	5.31
J20_Mw180_S10_30_7	850	 	0 		602463 	600 	850 	813.70 	4.27
J20_Mw180_S10_30_8	720	 	0 		355832 	600 	720 	639.25 	11.21
J20_Mw180_S10_30_9	550	 	0 		611818 	600 	550 	484.17 	11.97
J30_Mw180_S10_30_0	820		0		217304 	600 	820 	665.55 	18.84
J30_Mw180_S10_30_1 	1080	1		33242 	97.73 	-		-		-
J30_Mw180_S10_30_2	1030	0		182890 	600 	1030 	930.50 	9.66
J30_Mw180_S10_30_3	1430	0		236695 	600 	1430 	1366.95 4.41
J30_Mw180_S10_30_4	750		0		113284	600 	750 	590.01 	21.33
J30_Mw180_S10_30_5	1300	0		244257 	600 	1300 	1114.42 14.27
J30_Mw180_S10_30_6	1120 	0		228297 	600 	1120 	808.10 	27.85
J30_Mw180_S10_30_7	880	 	0		143879 	600 	880 	799.81 	9.11
J30_Mw180_S10_30_8	930	 	1		22499 	101.82 	-		-		-
J30_Mw180_S10_30_9	1300 	0		336253 	600 	1300 	1210.70 6.87
J40_Mw180_S10_30_0	1160	0		66019 	600 	1160 	587.12 	49.38
J40_Mw180_S10_30_1	960		0		65389 	600 	960 	581.50 	39.43
J40_Mw180_S10_30_2	1270	0		54100 	600 	120 	683.66 	46.17
J40_Mw180_S10_30_3	740	 	0		42396 	600 	740 	482.20 	34.84
J40_Mw180_S10_30_4	1350	0		52660 	600 	1350 	567.29 	57.98
J40_Mw180_S10_30_5	930	 	0		63122 	600 	930 	589.77 	36.58
J40_Mw180_S10_30_6	1430 	0		46859 	600 	1430 	811.81 	43.23
J40_Mw180_S10_30_7	1420	0		85698 	600 	1420 	722.79 	49.10
J40_Mw180_S10_30_8	1490 	0		63226 	600 	1490 	682.81 	54.17
J40_Mw180_S10_30_9	770	 	0		52159 	600 	770 	465.72 	39.52
J50_Mw180_S10_30_0	1200 	0		26825 	600 	1200 	607.78 	49.32
J50_Mw180_S10_30_1	1030	0		29323 	600 	1030 	530.31 	48.51
J50_Mw180_S10_30_2	2200	0		86710 	600 	2200 	1792.00 18.55
J50_Mw180_S10_30_3	2250	0		45651 	600 	2250 	798.02 	64.53
J50_Mw180_S10_30_4	1070	0		18361 	600 	1070 	511.65 	52.18
J50_Mw180_S10_30_5	1220	0		35663 	600 	1220 	416.33 	65.87
J50_Mw180_S10_30_6	1190	0		23291 	600 	1190 	540.68 	54.56
J50_Mw180_S10_30_7	1750	0		47429 	600 	1750 	776.76 	55.61
J50_Mw180_S10_30_8	1360	0		29805 	600 	1360 	567.57 	58.26
J50_Mw180_S10_30_9	2410	0		46915 	600 	2410 	902.13 	62.57
