
Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-0.tsp ,2.96228,3.30715,1.78959,3.12439,26.6289,10.1876,48,6.17141,6.88991,3.72832,6.50915,55.477,21.2243
grubhub-15-1.tsp ,2.9452,2.29935,1.52813,2.50927,16.4025,6.31553,32,9.20376,7.18547,4.77541,7.84146,51.2579,19.736
grubhub-15-2.tsp ,3.52163,1.88098,1.24732,3.48,13.3729,0.497154,24,14.6734,7.8374,5.19715,14.5,55.7205,2.07148
grubhub-15-3.tsp ,3.97951,1.1265,0.724553,3.81171,31.7332,6.62455,48,8.29065,2.34688,1.50949,7.94106,66.1108,13.8012
grubhub-15-4.tsp ,2.71187,2.05366,1.15707,3.60341,12.4745,1.99951,24,11.2995,8.55691,4.82114,15.0142,51.977,8.3313

Instance,c(h),p(h),b(h),e(h),waitc(h),waitp(h),Total,c(%),p(%),b(%),e(%),waitc(%),waitp(%)
grubhub-15-0.tsp ,2.2226,3.31496,1.69691,2.61805,22.2254,7.92211,40,5.5565,8.2874,4.24228,6.54512,55.5634,19.8053
grubhub-15-1.tsp ,1.72764,2.77528,1.7465,1.98098,12.8356,10.934,32,5.39888,8.67276,5.45783,6.19055,40.1113,34.1687
grubhub-15-2.tsp ,1.74911,3.41528,2.10309,2.57463,10.3614,3.7965,24,7.28794,14.2304,8.76287,10.7276,43.1724,15.8188
grubhub-15-3.tsp ,2.28797,2.28374,1.52228,2.87659,18.2034,12.826,40,5.71992,5.70935,3.80569,7.19146,45.5085,32.065
grubhub-15-4.tsp ,1.60846,2.6374,1.57106,2.95561,12.0132,3.21431,24,6.7019,10.9892,6.54607,12.315,50.0549,13.393
