10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-3.tsp ,14,1,1,130.712,16.9828,109.922,7,2.76,37.773,Optimal
20
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-3.tsp ,12,3,2,110.882,32.3886,100.685,6,195.48,42.5862,Optimal
30
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-3.tsp ,11,4,2,102.729,32.3886,86.848,6,207.41,48.2696,Optimal
40
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-15-3.tsp ,9,6,4,83.1504,56.942,80.5368,5,2593.03,59.5556,Optimal
