 1A
Instance,Detours(%)
 sarp-10-10-A-1,0,0,0,-2.22167e-05,39.8698,0,-2.23122e-05,0,0,0
 sarp-10-10-A-2,0,0,0,0,0,0,0,0,0,0
 sarp-10-10-B-1,0,53.0118,0,0,0,0,0,0,0,0
 sarp-10-10-B-2,0,0,0,0,0,0,0,0,0,-2.40364e-05
 sarp-10-10-C-1,5.84551,0,0,0,16.3945,-2.66724e-05,0,18.3416,0,57.9983
 sarp-10-10-C-2,9.62485,8.43721,0,-0.56389,0,0,0,0,0,0
 sarp-10-15-A-1,0,0,0,0,0,0,0,0,0,0
 sarp-10-15-A-2,0,0,0,0,0,0,0,0,0,0
 sarp-10-15-B-1,0,0,0,0,0,0,0,0,0,-3.12404e-05
 sarp-10-15-B-2,0,-2.51052e-05,0,0,0,0,0,0,0,0
 sarp-10-15-C-1,-1.44887,0,0,0,0,15.062,0,0,20.8927,0
 sarp-10-15-C-2,0,56.3408,52.9562,8.43401,15.7066,0,0,0,12.4101,0
 sarp-20-30-A-1,0,0,0,0,0,-1.90404e-05,0,0,0,0,0,-1.15996e-05,0,0,0,0,0,0,0,0
 sarp-20-30-A-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 sarp-20-30-B-1,0,0,0,0,0,-1.67332e-05,0,0,0,0,0,0,0,0,0,0,0,-2.04286e-05,0,0
 sarp-20-30-B-2,-9.65009e-06,0,0,0,0,0,0,0,0,0,0,-2.28322e-05,0,0,-2.20531e-05,0,0,0,0,0
 sarp-20-30-C-1,10.0171,54.8447,0,0,0,7.30903,14.0219,0,0,0,36.0676,15.8296,29.9505,12.8556,7.29289,31.8302,0,-1.77399e-05,0,11.9739
 sarp-20-30-C-2,-14.1715,0,9.22867,5.49012,5.94454,0,0,0,0,0,0,0,16.1219,7.74016,24.0722,0,0,0,14.8934,0
 sarp-30-10-A-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36544e-05,0,0
 sarp-30-10-A-2,0,0,0,0,0,0,0,0,-1.05532e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.72446e-05,0,0,0,0
 sarp-30-10-B-1,0,0,0,0,0,-2.39253e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 sarp-30-10-B-2,0,0,0,-2.07448e-05,0,0,-1.33359e-05,0,0,0,0,0,0,-1.40303e-05,0,0,0,0,0,0,0,0,0,40.8123,0,-1.39111e-05,0,0,0,0
 sarp-30-10-C-1,1.67482,0,0,2.42872,-17.5031,0,0,0,0,-4.74924,0,0,0,0,0,-11.1698,0,0,0,0,0,0,24.0091,0,0,0,-5.78042e-06,2.87225,0,0
 sarp-30-10-C-2,0,0,-9.869,0,0,0,0,0,0,0,7.38844,-4.22811,0,0,-11.2841,0,0,0,0,0,0.598016,0,1.44884,0,0,0,0,0,0,0
 sarp-30-15-A-1,0,0,0,0,0,0,0,0,0,-2.20855e-05,0,-1.9703e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 sarp-30-15-A-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39143e-05,0,0,0,0,0,0
 sarp-30-15-B-1,0,0,0,0,0,0,0,-2.06988e-05,0,0,0,0,0,0,0,0,0,0,0,-2.9456e-05,0,0,0,0,0,0,0,0,0,0
 sarp-30-15-B-2,0,0,0,0,0,0,0,0,0,0,-2.65913e-05,0,0,0,-2.16089e-05,0,0,0,0,51.4742,0,0,0,0,0,0,0,0,0,0
 sarp-30-15-C-1,0,-15.1164,16.4663,0,0,0,0,-16.5621,0,0,-6.8631,0,0,0,-1.55501,4.91456,2.31413,-2.91815,-11.7825,0,0,0,0,0,0,-5.63288,0,0,0,0
 sarp-30-15-C-2,-0.650448,3.04738,27.8195,0,0,0,1.2136,0,22.0798,13.7417,0,21.8286,0,0,0,23.0911,0,9.13723,0,0,0,0,1.40096,0,0,0,0,0,-0.611446,6.18833
