 1A
Instance,Detours(%)
 sarp-10-20-A-1,0,0,0,0,0,0,0,0,0,0
 sarp-10-20-A-2,0,0,0,0,0,0,-1.4847e-05,0,0,0
 sarp-10-20-B-1,0,0,0,0,-2.56101e-05,0,0,0,0,0
 sarp-10-20-B-2,0,0,0,0,0,-3.00188e-05,0,0,0,0
 sarp-10-20-C-1,0,50.4521,43.4509,13.7351,8.29898,0,0,0,0,11.8515
 sarp-10-20-C-2,0,0,-6.63665,0,26.83,0,52.0057,4.70098,0,-3.08994e-05
 sarp-10-30-A-1,0,0,0,0,0,0,0,0,-1.82429e-05,0
 sarp-10-30-A-2,0,-1.85096e-05,0,0,0,0,0,0,0,0
 sarp-10-30-B-1,0,0,0,0,0,0,0,0,-1.95107e-05,0
 sarp-10-30-B-2,0,0,0,0,0,0,0,0,-1.87582e-05,0
 sarp-10-30-C-1,21.8059,0,23.2489,2.52693,0,0.415893,0,-2.18321e-05,0,0
 sarp-10-30-C-2,-4.30211,14.152,9.97479,0,3.73307,0,0,0,0,0
 sarp-20-15-A-1,0,0,0,0,-1.91091e-05,0,0,0,0,0,0,0,0,0,0,-1.99267e-05,0,0,0,0
 sarp-20-15-A-2,0,0,0,0,0,0,0,0,0,0,-1.91257e-05,-1.94165e-05,0,0,0,0,0,0,0,0
 sarp-20-15-B-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 sarp-20-15-B-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7064,0,0,0
 sarp-20-15-C-1,-3.10014e-05,-1.40611e-05,0,0,0,12.6358,2.06762,-14.7062,15.2189,0,0,0,0,10.4618,15.2078,0,0,0,47.0037,1.25411
 sarp-20-15-C-2,0,16.0508,0,0,0,0,0,0,2.66805,0,20.8854,-11.2911,0,0,0,7.46138,0,3.20391,0,3.60132
 sarp-20-20-A-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.65178e-05,0
 sarp-20-20-A-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 sarp-20-20-B-1,-2.48403e-05,0,-1.55079e-05,0,-2.24486e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 sarp-20-20-B-2,0,-2.79899e-05,0,0,0,0,0,0,0,-2.13084e-05,0,0,0,0,0,0,0,0,0,0
 sarp-20-20-C-1,43.6472,53.7626,0,-3.04256e-05,0,10.1836,0,0,0,4.05422,0,0,0,28.2598,4.28829,0,24.6557,0,20.4838,4.60184
 sarp-20-20-C-2,0,0,37.1123,-15.3459,1.3618,0,27.2457,0,0,0,24.0318,0,0.25598,14.8033,3.18257,0,-2.32586,0,0,0
