 1A
Instance,Detours(%)
 sfsarp-10-10-1,0,0,0,0,0,0,41.89,0,0,0
 sfsarp-10-10-2,0,0,0,3.97385e-12,0,0,0,0,0,0
 sfsarp-10-10-3,9.55558,0,0,0,0,0,0,0,0,0
 sfsarp-10-10-4,3.12955e-12,0,0,0,0,0,0,0,3.97385e-12,0
 sfsarp-10-10-5,0,0,0,0,0,0,0,3.97385e-12,0,0
 sfsarp-10-15-1,0,0,0,0,0,0,0,0,0,0
 sfsarp-10-15-3,0,0,0,0,0,0,0,0,2.55236e-12,0
 sfsarp-10-15-4,0,0,0,0,0,0,0,0,0,0
 sfsarp-10-15-5,0,0,0,3.97385e-12,0,2.19143e-12,0,0,0,0
 sfsarp-10-20-1,0,0,0,-2.06893e-12,0,35.7395,0,0,0,0
 sfsarp-10-20-2,0,0,0,0,0,0,0,0,0,0
 sfsarp-10-20-3,43.2218,0,0,0,0,2.9059e-12,0,4.02223,0,0
 sfsarp-10-20-4,0,0,0,0,0,0,0,0,0,0
 sfsarp-10-20-5,0,0,0,0,0,0,4.97786,0,0,0
 sfsarp-30-15-2,0,0,0,3.02842e-12,0,0,2.19143e-12,0,0,2.19143e-12,-1.8707e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 sfsarp-30-15-3,0,0,0,0,0,0,0,0,2.55236e-12,-2.06893e-12,0,-2.11099e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55236e-12,3.97385e-12,0
 sfsarp-30-15-4,2.19143e-12,0,0,0,0,0,0,0,2.19143e-12,0,0,0,0,0,0,0,0,0,0,-1.81007e-12,0,0,0,0,0,0,0,3.97385e-12,0,0
 sfsarp-30-15-5,0,0,0,3.01342e-12,0,0,0,0,-1.62077e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.64483e-12,0,0,0,0
 sfsarp-30-20-1,0,0,-1.34106e-12,0,0,0,0,0,0,-1.62077e-12,0,0,0,0,0,0,0,0,0,0,0,2.9059e-12,0,0,0,0,0,0,0,0
 sfsarp-30-20-2,-1.59719e-12,0,0,0,0,0,0,2.9059e-12,0,0,0,3.89648e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.35892,0,0,0
