Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms
sfsarp-10-5-1,5,12.1948,12.1948,12.1948,86.0,1.2920243902439024,52.97299999999999
sfsarp-10-5-2,5,-0.5002,-0.5002,-0.5002,118.0,0.8393902439024391,34.415
sfsarp-10-5-3,5,6.65474,6.65474,6.65474,160.0,0.8284390243902439,33.965999999999994
sfsarp-10-5-4,5,11.3007,11.3007,11.3007,561.0,0.8577317073170733,35.167
sfsarp-10-5-5,5,18.6206,18.6206,18.6206,95.0,0.7533170731707317,30.885999999999992
sfsarp-5-10-1,10,-25.5064,-25.5064,-25.5064,4649.0,0.5115853658536585,20.975
sfsarp-5-10-2,8,-5.95913,-5.95913,-5.95913,1195.0,0.6122682926829268,25.102999999999998
sfsarp-5-10-3,9,-16.2543,-16.2543,-16.2543,1609.0,0.3395853658536585,13.922999999999998
sfsarp-5-10-4,10,-17.9287,-17.9287,-17.9287,1786.0,0.33407317073170734,13.697000000000001
sfsarp-5-10-5,9,-11.8223,-11.8223,-11.8223,2200.0,0.279219512195122,11.448
sfsarp-5-5-1,2,33.9499,33.9499,33.9499,39.0,0.9212439024390244,37.771
sfsarp-5-5-2,5,-7.28176,-7.28176,-7.28176,874.0,0.5758048780487806,23.608
sfsarp-5-5-3,5,0.34384,0.34384,0.34384,48.0,0.5426829268292683,22.249999999999996
sfsarp-5-5-4,5,-5.77214,-5.77214,-5.77214,74.0,0.4838292682926829,19.837000000000003
sfsarp-5-5-5,1,15.8988,15.8988,15.8988,29.0,1.0001230116648991,41.005043478260866
sfsarp-5-6-1,5,12.5294,12.5294,12.5294,32.0,1.3047804878048779,53.495999999999995
sfsarp-5-6-2,6,-11.8186,-11.8186,-11.8186,121.0,0.24141463414634143,9.897999999999998
sfsarp-5-6-3,6,-1.69134,-1.69134,-1.69134,93.0,0.5697317073170731,23.359
sfsarp-5-6-4,5,7.33172,7.33172,7.33172,48.0,1.3391463414634144,54.90499999999999
sfsarp-5-6-5,6,-7.84193,-7.84193,-7.84193,103.0,0.48926829268292676,20.06
sfsarp-5-7-1,7,7.9899,7.9899,7.9899,737.0,1.1919745493107106,48.870956521739124
sfsarp-5-7-2,7,-9.06857,-9.06857,-9.06857,245.0,1.022439024390244,41.92
sfsarp-5-7-3,7,0.32624,0.32624,0.32624,199.0,1.150170731707317,47.157000000000004
sfsarp-5-7-4,7,-12.5497,-12.5497,-12.5497,159.0,0.5040243902439024,20.665
sfsarp-5-7-5,7,-3.10374,-3.10374,-3.10374,199.0,0.934780487804878,38.32599999999999
sfsarp-5-8-1,8,-20.5869,-20.5869,-20.5869,421.0,0.37590243902439024,15.412
sfsarp-5-8-2,5,-1.36977,-1.36977,-1.36977,246.0,0.5838292682926829,23.936999999999994
sfsarp-5-8-3,7,-7.72497,-7.72497,-7.72497,292.0,0.33668292682926826,13.803999999999998
sfsarp-5-8-4,7,-8.71411,-8.71411,-8.71411,183.0,0.6075365853658536,24.908999999999995
sfsarp-5-8-5,8,-12.5613,-12.5613,-12.5613,240.0,0.8540487804878049,35.016
sfsarp-5-9-1,8,-10.5174,-10.5174,-10.5174,435.0,0.8227804878048781,33.734
sfsarp-5-9-2,9,-6.85863,-6.85863,-6.85863,433.0,0.2305121951219512,9.451
sfsarp-5-9-3,6,-0.10771,-0.10771,-0.10771,510.0,0.6996829268292682,28.686999999999998
sfsarp-5-9-4,6,-8.72985,-8.72985,-8.72985,101.0,0.2288292682926829,9.382
sfsarp-5-9-5,9,-10.0007,-10.0007,-10.0007,527.0,0.6111219512195122,25.055999999999997
sfsarp-6-5-1,3,2.19379,2.19379,2.19379,53.0,0.5731463414634146,23.499000000000002
sfsarp-6-5-2,4,0.73887,0.73887,0.73887,35.0,0.12239024390243902,5.018
sfsarp-6-5-3,5,-11.4677,-11.4677,-11.4677,65.0,0.589829268292683,24.183
sfsarp-6-5-4,4,9.40592,9.40592,9.40592,36.0,0.7178536585365853,29.432
sfsarp-6-5-5,5,0.35022,0.35022,0.35022,41.0,0.2880243902439024,11.809
sfsarp-6-6-1,5,15.8547,15.8547,15.8547,136.0,0.9040243902439025,37.065
sfsarp-6-6-2,5,-8.12166,-8.12166,-8.12166,102.0,0.2811219512195122,11.526
sfsarp-6-6-3,5,-2.10749,-2.10749,-2.10749,99.0,0.683829268292683,28.037
sfsarp-6-6-4,5,-15.3144,-15.3144,-15.3144,85.0,0.8858780487804879,36.32099999999999
sfsarp-6-6-5,5,4.02394,4.02394,4.02394,111.0,0.6470000000000001,26.527
sfsarp-6-7-1,7,-9.19675,-9.19675,-9.19675,140.0,1.086048780487805,44.528
sfsarp-6-7-2,7,-2.54171,-2.54171,-2.54171,177.0,0.5458048780487804,22.377999999999997
sfsarp-6-7-3,6,-4.95241,-4.95241,-4.95241,90.0,0.12217073170731706,5.0089999999999995
sfsarp-6-7-4,7,-3.24131,-3.24131,-3.24131,459.0,0.24617073170731704,10.093
sfsarp-6-7-5,7,2.01601,2.01601,2.01601,183.0,0.5713414634146341,23.424999999999997
sfsarp-6-8-1,8,-2.05544,-2.05544,-2.05544,696.0,1.2530721102863203,51.37595652173913
sfsarp-6-8-2,8,-14.8074,-14.8074,-14.8074,427.0,0.3776829268292683,15.485
sfsarp-6-8-3,4,8.39688,8.39688,8.39688,3479.0,0.9000975609756098,36.903999999999996
sfsarp-6-8-4,7,10.3406,10.3406,10.3406,227.0,0.2882682926829268,11.818999999999999
sfsarp-6-8-5,6,13.1505,13.1505,13.1505,460.0,0.1866829268292683,7.654
sfsarp-6-9-1,9,-21.6995,-21.6995,-21.6995,449.0,1.2954400848356311,53.11304347826087
sfsarp-6-9-2,8,-1.23309,-1.23309,-1.23309,513.0,1.1404167550371156,46.75708695652174
sfsarp-6-9-3,3,17.4884,17.4884,17.4884,377.0,1.394,57.153999999999996
sfsarp-6-9-4,6,13.1006,13.1006,13.1006,258.0,1.144730646871686,46.93395652173913
sfsarp-6-9-5,9,-3.81347,-3.81347,-3.81347,549.0,1.1312948038176032,46.383086956521744
sfsarp-7-5-1,5,-3.61812,-3.61812,-3.61812,288.0,0.41387804878048773,16.969
sfsarp-7-5-2,4,2.50689,2.50689,2.50689,49.0,0.6058536585365853,24.84
sfsarp-7-5-3,5,1.08319,1.08319,1.08319,72.0,0.520829268292683,21.354
sfsarp-7-5-4,5,10.6749,10.6749,10.6749,84.0,1.3245609756097558,54.307
sfsarp-7-5-5,5,8.39979,8.39979,8.39979,77.0,1.0090487804878048,41.370999999999995
sfsarp-7-6-1,6,0.29528,0.29528,0.29528,122.0,0.9859756097560974,40.425
sfsarp-7-6-2,6,6.30779,6.30779,6.30779,233.0,0.340390243902439,13.956
sfsarp-7-6-3,4,2.77902,2.77902,2.77902,85.0,0.9430975609756096,38.666999999999994
sfsarp-7-6-4,6,-12.7241,-12.7241,-12.7241,111.0,1.05073276776246,43.08004347826086
sfsarp-7-6-5,6,-8.24541,-8.24541,-8.24541,99.0,0.3860487804878049,15.827999999999996
sfsarp-7-7-1,6,-13.3208,-13.3208,-13.3208,233.0,0.5893414634146341,24.163
