Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms
sarp-10-5-A-1,4,19.902,19.902,19.902,280.0,1.5195121951219512,62.3
sarp-10-5-A-2,3,34.956,34.956,34.956,131.0,2.5317073170731708,103.8
sarp-10-5-B-1,5,24.48,24.48,24.48,154.0,2.4341463414634146,99.79999999999998
sarp-10-5-B-2,3,23.779,23.779,23.779,140.0,1.104878048780488,45.3
sarp-10-5-C-1,5,-11.903,-11.903,-11.903,311.0,1.3853658536585365,56.8
sarp-10-5-C-2,5,6.15,6.15,6.15,214.0,1.7926829268292683,73.5
sarp-5-10-A-1,8,3.882,3.882,3.882,2090.0,1.097560975609756,44.99999999999999
sarp-5-10-A-2,7,3.402,3.402,3.402,1689.0,0.8146341463414635,33.4
sarp-5-10-B-1,4,-1.834,-1.834,-1.834,865.0,0.4560975609756097,18.7
sarp-5-10-B-2,8,-13.849,-13.849,-13.849,2069.0,0.4073170731707317,16.7
sarp-5-10-C-1,10,-56.958,-56.958,-56.958,21314.0,1.3829268292682926,56.7
sarp-5-10-C-2,9,-43.069,-43.069,-43.069,2576.0,0.6951219512195121,28.499999999999993
sarp-5-5-A-1,3,5.413,5.413,5.413,81.0,0.8926829268292683,36.6
sarp-5-5-A-2,3,19.442,19.442,19.442,35.0,0.7609756097560976,31.200000000000003
sarp-5-5-B-1,5,0.511,0.511,0.511,154.0,0.8146341463414634,33.4
sarp-5-5-B-2,3,6.706,6.706,6.706,90.0,0.5073170731707317,20.8
sarp-5-5-C-1,5,1.642,1.642,1.642,117.0,1.512195121951219,62.0
sarp-5-5-C-2,4,6.196,6.196,6.196,82.0,1.7317073170731707,70.99999999999999
sarp-5-6-A-1,5,18.759,18.759,18.759,199.0,1.0317073170731708,42.300000000000004
sarp-5-6-A-2,5,12.827,12.827,12.827,155.0,1.0439024390243903,42.8
sarp-5-6-B-1,6,-6.89,-6.89,-6.89,228.0,1.2463414634146341,51.099999999999994
sarp-5-6-B-2,5,-10.972,-10.972,-10.972,168.0,0.846341463414634,34.7
sarp-5-6-C-1,5,-18.535,-18.535,-18.535,294.0,0.8878048780487804,36.4
sarp-5-6-C-2,5,-22.353,-22.353,-22.353,657.0,0.6634146341463415,27.199999999999996
sarp-5-7-A-1,6,-9.865,-9.865,-9.865,595.0,0.646341463414634,26.499999999999996
sarp-5-7-A-2,3,7.226,7.226,7.226,179.0,0.48048780487804876,19.7
sarp-5-7-B-1,4,10.635,10.635,10.635,53.0,0.2902439024390243,11.899999999999999
sarp-5-7-B-2,5,0.498,0.498,0.498,290.0,1.1024390243902438,45.199999999999996
sarp-5-7-C-1,7,-48.096,-48.096,-48.096,350.0,0.751219512195122,30.799999999999997
sarp-5-7-C-2,7,-39.805,-39.805,-39.805,491.0,0.6073170731707317,24.9
sarp-5-8-A-1,6,5.423,5.423,5.423,901.0,0.9097560975609756,37.3
sarp-5-8-A-2,4,1.045,1.045,1.045,373.0,0.9170731707317072,37.6
sarp-5-8-B-1,6,-10.386,-10.386,-10.386,428.0,0.7365853658536585,30.200000000000003
sarp-5-8-B-2,7,-19.937,-19.937,-19.937,564.0,0.948780487804878,38.9
sarp-5-8-C-1,7,-23.491,-23.491,-23.491,5321.0,1.4951219512195122,61.300000000000004
sarp-5-8-C-2,6,-14.978,-14.978,-14.978,731.0,0.4829268292682926,19.799999999999997
sarp-5-9-A-1,4,7.97,7.97,7.97,494.0,1.1902439024390241,48.8
sarp-5-9-A-2,5,1.127,1.127,1.127,170.0,0.25853658536585367,10.6
sarp-5-9-B-1,7,-4.471,-4.471,-4.471,1295.0,1.1,45.1
sarp-5-9-B-2,4,1.836,1.836,1.836,309.0,0.2024390243902439,8.299999999999999
sarp-5-9-C-1,9,-63.36,-63.36,-63.36,1399.0,1.1121951219512194,45.59999999999999
sarp-5-9-C-2,9,-47.383,-47.383,-47.383,1106.0,1.0219512195121951,41.9
sarp-6-5-A-1,2,29.829,29.829,29.829,93.0,1.4926829268292683,61.199999999999996
sarp-6-5-A-2,3,9.379,9.379,9.379,93.0,1.2097560975609754,49.599999999999994
sarp-6-5-B-1,5,-4.455,-4.455,-4.455,81.0,1.1853658536585365,48.60000000000001
sarp-6-5-B-2,4,12.644,12.644,12.644,61.0,1.5804878048780489,64.8
sarp-6-5-C-1,4,5.133,5.133,5.133,130.0,1.6487804878048777,67.6
sarp-6-5-C-2,4,2.544,2.544,2.544,113.0,1.3170731707317072,53.99999999999999
sarp-6-6-A-1,4,7.262,7.262,7.262,138.0,1.251219512195122,51.3
sarp-6-6-A-2,5,-0.423,-0.423,-0.423,184.0,0.7121951219512194,29.2
sarp-6-6-B-1,3,24.017,24.017,24.017,114.0,2.102439024390244,86.19999999999999
sarp-6-6-B-2,5,-4.952,-4.952,-4.952,150.0,0.7853658536585366,32.199999999999996
sarp-6-6-C-1,5,5.036,5.036,5.036,190.0,0.8585365853658535,35.2
sarp-6-6-C-2,6,-16.217,-16.217,-16.217,352.0,1.1268292682926828,46.2
sarp-6-7-A-1,5,14.941,14.941,14.941,250.0,1.546341463414634,63.4
sarp-6-7-A-2,5,7.274,7.274,7.274,506.0,1.595121951219512,65.4
sarp-6-7-B-1,6,5.537,5.537,5.537,417.0,1.670731707317073,68.49999999999999
sarp-6-7-B-2,7,2.585,2.585,2.585,243.0,0.7463414634146341,30.599999999999998
sarp-6-7-C-1,7,-37.552,-37.552,-37.552,320.0,0.7731707317073171,31.7
sarp-6-7-C-2,6,-11.283,-11.283,-11.283,255.0,1.146341463414634,47.0
sarp-6-8-A-1,6,0.917,0.917,0.917,665.0,1.0999999999999999,45.099999999999994
sarp-6-8-A-2,6,23.204,23.204,23.204,408.0,0.7365853658536585,30.199999999999996
sarp-6-8-B-1,6,1.771,1.771,1.771,521.0,1.1780487804878048,48.3
sarp-6-8-B-2,7,-7.632,-7.632,-7.632,623.0,1.1585365853658536,47.5
sarp-6-8-C-1,7,-34.071,-34.071,-34.071,712.0,0.9,36.9
sarp-6-8-C-2,6,-40.017,-40.017,-40.017,6740.0,0.9999999999999999,41.0
sarp-6-9-A-1,6,3.149,3.149,3.149,1484.0,0.9658536585365853,39.6
sarp-6-9-A-2,7,7.31,7.31,7.31,677.0,0.7414634146341463,30.4
