Instance,Served,Sol Value,LB,UB,Time,Empty hours,Empty kms
sfsarp-10-10-1,10,-27.4666,-27.4666,-27.4666,21.0,0.013951219512195122,0.572
sfsarp-10-10-2,10,-27.2463,-27.2463,-27.2463,41.0,0.008570731707317073,0.3513999999999999
sfsarp-10-10-3,-1,-1,-27.2,-27.2,26.0,-1,-1
sfsarp-10-10-4,-1,-1,-27.3,-27.3,13.0,-1,-1
sfsarp-10-10-5,-1,-1,-27,-27,12.0,-1,-1
sfsarp-10-15-1,-1,-1,-40.9,-40.9,20.0,-1,-1
sfsarp-10-15-2,-1,-1,-41.1,-41.1,17.0,-1,-1
sfsarp-10-15-3,-1,-1,-41,-41,20.0,-1,-1
sfsarp-10-15-4,-1,-1,-40.9,-40.9,17.0,-1,-1
sfsarp-10-15-5,-1,-1,-40.9,-40.9,17.0,-1,-1
sfsarp-10-20-1,-1,-1,-54.7,-54.7,41.0,-1,-1
sfsarp-10-20-2,-1,-1,-54.7,-54.7,35.0,-1,-1
sfsarp-10-20-3,-1,-1,-54.7,-54.7,40.0,-1,-1
sfsarp-10-20-4,-1,-1,-54.7,-54.7,37.0,-1,-1
sfsarp-10-20-5,-1,-1,-54.9,-54.9,28.0,-1,-1
sfsarp-10-30-1,-1,-1,-82.1,-82.1,63.0,-1,-1
sfsarp-10-30-2,-1,-1,-82.3,-82.3,58.0,-1,-1
sfsarp-10-30-3,-1,-1,-82.4,-82.4,71.0,-1,-1
sfsarp-10-30-4,-1,-1,-82.4,-82.4,56.0,-1,-1
sfsarp-10-30-5,-1,-1,-82,-82,62.0,-1,-1
sfsarp-15-10-1,10,-27.0417,-27.0417,-27.0417,26.0,0.01675121951219512,0.6868
sfsarp-15-10-2,10,-27.2294,-27.2294,-27.2294,27.0,0.014553658536585367,0.5967000000000001
sfsarp-15-10-3,10,-27.1549,-27.1549,-27.1549,20.0,0.015702439024390245,0.6437999999999999
sfsarp-15-10-4,10,-27.1308,-27.1308,-27.1308,33.0,0.014453658536585368,0.5925999999999999
sfsarp-15-10-5,10,-27.1259,-27.1259,-27.1259,22.0,0.02715853658536585,1.1135
sfsarp-15-15-1,-1,-1,-40.8,-40.8,53.0,-1,-1
sfsarp-15-15-2,-1,-1,-40.9,-40.9,68.0,-1,-1
sfsarp-15-15-3,-1,-1,-41.1,-41.1,57.0,-1,-1
sfsarp-15-15-4,-1,-1,-40.9,-40.9,47.0,-1,-1
sfsarp-15-15-5,-1,-1,-40.9,-40.9,54.0,-1,-1
sfsarp-15-20-1,-1,-1,-54.7,-54.7,58.0,-1,-1
sfsarp-15-20-2,-1,-1,-54.6,-54.6,103.0,-1,-1
sfsarp-15-20-3,-1,-1,-54.6,-54.6,71.0,-1,-1
sfsarp-15-20-4,-1,-1,-54.6,-54.6,88.0,-1,-1
sfsarp-15-20-5,-1,-1,-54.4,-54.4,75.0,-1,-1
sfsarp-15-30-1,-1,-1,-82.7,-82.7,152.0,-1,-1
sfsarp-15-30-2,-1,-1,-82.7,-82.7,88.0,-1,-1
sfsarp-15-30-3,-1,-1,-82.3,-82.3,101.0,-1,-1
sfsarp-15-30-4,-1,-1,-82.5,-82.5,123.0,-1,-1
sfsarp-15-30-5,-1,-1,-82.2,-82.2,128.0,-1,-1
sfsarp-20-10-1,10,-27.1589,-27.1589,-27.1589,44.0,0.0251170731707317,1.0297999999999998
sfsarp-20-10-2,10,-27.1523,-27.1523,-27.1523,45.0,0.015841463414634143,0.6495000000000001
sfsarp-20-10-3,10,-27.0181,-27.0181,-27.0181,75.0,0.022226829268292683,0.9113
sfsarp-20-10-4,10,-27.0791,-27.0791,-27.0791,42.0,0.018631707317073164,0.7638999999999999
sfsarp-20-10-5,10,-27.0365,-27.0365,-27.0365,52.0,0.021143902439024385,0.8668999999999999
sfsarp-20-15-1,-1,-1,-41,-41,110.0,-1,-1
sfsarp-20-15-2,-1,-1,-40.7,-40.7,60.0,-1,-1
sfsarp-20-15-3,15,-40.6194,-40.6194,-40.6194,145.0,0.02517073170731707,1.0320000000000003
sfsarp-20-15-4,-1,-1,-41.2,-41.2,68.0,-1,-1
sfsarp-20-15-5,-1,-1,-40.9,-40.9,116.0,-1,-1
sfsarp-20-20-1,-1,-1,-54.7,-54.7,130.0,-1,-1
sfsarp-20-20-2,20,-54.4178,-54.4178,-54.4178,990.0,0.022804878048780487,0.9349999999999997
sfsarp-20-20-3,-1,-1,-54.7,-54.7,126.0,-1,-1
sfsarp-20-20-4,-1,-1,-54.8,-54.8,110.0,-1,-1
sfsarp-20-20-5,-1,-1,-54.7,-54.7,186.0,-1,-1
sfsarp-20-30-1,-1,-1,-82.1,-82.1,128.0,-1,-1
sfsarp-20-30-2,-1,-1,-82,-82,148.0,-1,-1
sfsarp-20-30-3,-1,-1,-82.2,-82.2,224.0,-1,-1
sfsarp-20-30-4,-1,-1,-82.3,-82.3,174.0,-1,-1
sfsarp-20-30-5,-1,-1,-82,-82,143.0,-1,-1
sfsarp-30-10-1,10,-27.1093,-27.1093,-27.1093,73.0,0.017765853658536584,0.7283999999999998
sfsarp-30-10-2,-1,-1,-26.9,-26.9,50.0,-1,-1
sfsarp-30-10-3,-1,-1,-27.3,-27.3,59.0,-1,-1
sfsarp-30-10-4,10,-26.8046,-26.8046,-26.8046,180.0,0.029165853658536578,1.1958
sfsarp-30-10-5,10,-27.1174,-27.1174,-27.1174,45.0,0.02540243902439025,1.0415
sfsarp-30-15-1,-1,-1,-41,-41,74.0,-1,-1
sfsarp-30-15-2,15,-40.6248,-40.6248,-40.6248,215.0,0.028187804878048783,1.1557
sfsarp-30-15-3,15,-40.6501,-40.6501,-40.6501,298.0,0.02975121951219513,1.2198000000000002
sfsarp-30-15-4,15,-40.5526,-40.5526,-40.5526,128.0,0.02370487804878049,0.9719
sfsarp-30-15-5,15,-40.6239,-40.6239,-40.6239,187.0,0.028768292682926827,1.1794999999999998
sfsarp-30-20-1,-1,-1,-54.5,-54.5,194.0,-1,-1
sfsarp-30-20-2,-1,-1,-54.4,-54.4,154.0,-1,-1
sfsarp-30-20-3,20,-54.6362,-54.6362,-54.6362,419.0,0.027751219512195124,1.1377999999999997
sfsarp-30-20-4,-1,-1,-54.6,-54.6,157.0,-1,-1
sfsarp-30-20-5,20,-54.4529,-54.4529,-54.4529,447.0,0.023363414634146342,0.9579000000000001
sfsarp-30-30-1,-1,-1,-82.3,-82.3,493.0,-1,-1
sfsarp-30-30-2,-1,-1,-82,-82,436.0,-1,-1
sfsarp-30-30-3,-1,-1,-81.9,-81.9,366.0,-1,-1
sfsarp-30-30-4,-1,-1,-82,-82,373.0,-1,-1
sfsarp-30-30-5,-1,-1,-82.1,-82.1,417.0,-1,-1
sfsarp-5-15-1,-1,-1,-41.1,-41.1,10.0,-1,-1
sfsarp-5-15-2,-1,-1,-41,-41,10.0,-1,-1
sfsarp-5-15-3,-1,-1,-41,-41,11.0,-1,-1
sfsarp-5-15-4,-1,-1,-41.1,-41.1,7.0,-1,-1
sfsarp-5-15-5,-1,-1,-41,-41,7.0,-1,-1
sfsarp-5-20-1,-1,-1,-54.9,-54.9,12.0,-1,-1
sfsarp-5-20-2,-1,-1,-54.8,-54.8,17.0,-1,-1
sfsarp-5-20-3,-1,-1,-54.5,-54.5,15.0,-1,-1
sfsarp-5-20-4,-1,-1,-54.7,-54.7,13.0,-1,-1
sfsarp-5-20-5,-1,-1,-54.9,-54.9,17.0,-1,-1
sfsarp-5-30-1,-1,-1,-82.3,-82.3,29.0,-1,-1
sfsarp-5-30-2,-1,-1,-82.5,-82.5,29.0,-1,-1
sfsarp-5-30-3,-1,-1,-82.1,-82.1,28.0,-1,-1
sfsarp-5-30-4,-1,-1,-82.6,-82.6,28.0,-1,-1
sfsarp-5-30-5,-1,-1,-82.3,-82.3,28.0,-1,-1
