10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-10-0.tsp ,9,1,1,31.9872,3.01805,3.4776,2,0.14,31.5277,Optimal
grubhub-10-1.tsp ,9,1,1,31.66,3.16745,3.13214,2,0.09,31.6953,Optimal
grubhub-10-2.tsp ,9,1,1,31.4776,3.33511,2.77012,2,0.07,32.0426,Optimal
grubhub-10-3.tsp ,9,1,1,31.1578,3.06702,3.17492,2,0.16,31.0499,Optimal
grubhub-10-4.tsp ,9,1,1,32.3201,3.13259,2.79726,2,0.01,32.6554,Optimal
grubhub-10-5.tsp ,9,1,1,31.8988,3.36416,3.2246,2,0.09,32.0384,Optimal
grubhub-10-6.tsp ,9,1,1,31.5164,3.26954,2.4656,2,0.12,32.3203,Optimal
grubhub-10-7.tsp ,9,1,1,31.0547,3.18571,3.39986,2,0.12,30.8405,Optimal
grubhub-10-8.tsp ,9,1,1,32.1536,2.93339,3.12938,2,0.15,31.9577,Optimal
grubhub-10-9.tsp ,9,1,1,31.1533,3.06453,3.02128,2,0.2,31.1965,Optimal
grubhub-11-0.tsp ,10,1,1,36.569,2.9143,3.52268,2,0.13,35.9606,Optimal
grubhub-11-1.tsp ,10,1,1,35.3247,3.16662,3.41918,2,0.32,35.0721,Optimal
grubhub-11-2.tsp ,10,1,1,35.7448,3.36084,3.50428,2,0.1,35.6013,Optimal
grubhub-11-3.tsp ,10,1,1,35.6051,3.23136,3.16158,2,0.15,35.6749,Optimal
grubhub-11-4.tsp ,10,1,1,35.2756,3.30025,2.94906,2,0.13,35.6268,Optimal
grubhub-11-5.tsp ,10,1,1,36.0776,3.13342,3.1395,2,0.14,36.0716,Optimal
grubhub-11-6.tsp ,10,1,1,35.2095,3.03963,3.93668,2,0.62,34.3125,Optimal
grubhub-11-7.tsp ,10,1,1,34.7558,3.17575,3.05532,2,0.14,34.8762,Optimal
grubhub-11-8.tsp ,10,1,1,35.2135,2.96078,2.78208,2,0.17,35.3922,Optimal
grubhub-11-9.tsp ,10,1,1,35.4951,3.19401,3.07142,2,0.23,35.6177,Optimal
grubhub-12-0.tsp ,11,1,1,38.8805,2.93754,3.5972,2,0.31,38.2208,Optimal
grubhub-12-1.tsp ,11,1,1,38.6416,3.20397,4.3562,2,0.47,37.4894,Optimal
grubhub-12-2.tsp ,11,1,1,38.3065,3.12927,2.6703,2,0.03,38.7654,Optimal
grubhub-12-3.tsp ,11,1,1,38.4216,2.90932,4.24534,2,0.42,37.0856,Optimal
grubhub-12-4.tsp ,11,1,1,38.3737,2.97572,4.92292,2,0.41,36.4265,Optimal
grubhub-12-5.tsp ,11,1,1,39.0543,3.48949,4.7035,2,0.17,37.8403,Optimal
grubhub-12-6.tsp ,11,1,1,39.1558,2.88608,4.32906,2,0.3,37.7128,Optimal
grubhub-12-7.tsp ,11,1,1,39.6083,3.00062,3.5742,2,0.33,39.0348,Optimal
grubhub-12-8.tsp ,11,1,1,38.7847,3.19733,3.8962,2,0.4,38.0858,Optimal
grubhub-12-9.tsp ,11,1,1,39.2789,3.14919,3.8686,2,0.41,38.5595,Optimal
grubhub-13-0.tsp ,12,1,1,41.7357,3.03216,3.91644,2,0.42,40.8514,Optimal
grubhub-13-1.tsp ,12,1,1,42.4864,3.27535,4.70994,2,0.42,41.0518,Optimal
