10
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat
grubhub-10-0.tsp ,9,1,1,31.9872,1.7942,3.4776,2,0.16,30.3038,Optimal
grubhub-10-1.tsp ,9,1,1,31.66,1.8878,3.1303,2,0.09,30.4175,Optimal
grubhub-10-2.tsp ,9,1,1,31.4776,1.99284,2.77012,2,0.08,30.7003,Optimal
grubhub-10-3.tsp ,9,1,1,31.1578,1.82488,3.17492,2,0.31,29.8078,Optimal
grubhub-10-4.tsp ,9,1,1,32.3201,1.86596,2.79726,2,0.02,31.3888,Optimal
grubhub-10-5.tsp ,9,1,1,31.8988,2.01104,3.2246,2,0.09,30.6853,Optimal
grubhub-10-6.tsp ,9,1,1,31.5164,1.95176,2.4656,2,0.17,31.0025,Optimal
grubhub-10-7.tsp ,9,1,1,31.0547,1.89924,3.39986,2,0.08,29.5541,Optimal
grubhub-10-8.tsp ,9,1,1,32.1536,1.74116,3.12938,2,0.14,30.7654,Optimal
grubhub-10-9.tsp ,9,1,1,31.1533,1.82332,3.02128,2,0.18,29.9553,Optimal
grubhub-11-0.tsp ,10,1,1,36.569,1.7292,3.52268,2,0.16,34.7755,Optimal
grubhub-11-1.tsp ,10,1,1,35.3247,1.88728,3.41918,2,0.31,33.7928,Optimal
grubhub-11-2.tsp ,10,1,1,35.7448,2.00896,3.50428,2,0.09,34.2494,Optimal
grubhub-11-3.tsp ,10,1,1,35.6051,1.92784,3.16158,2,0.16,34.3714,Optimal
grubhub-11-4.tsp ,10,1,1,35.2756,1.971,2.94906,2,0.12,34.2976,Optimal
grubhub-11-5.tsp ,10,1,1,36.0776,1.86648,3.1395,2,0.16,34.8046,Optimal
grubhub-11-6.tsp ,10,1,1,35.2095,1.80772,3.93668,2,0.54,33.0806,Optimal
grubhub-11-7.tsp ,10,1,1,34.7558,1.893,3.05532,2,0.17,33.5935,Optimal
grubhub-11-8.tsp ,10,1,1,35.2135,1.75832,2.78208,2,0.18,34.1898,Optimal
grubhub-11-9.tsp ,10,1,1,35.4951,1.90444,3.07142,2,0.17,34.3281,Optimal
grubhub-12-0.tsp ,11,1,1,38.8805,1.74376,3.5972,2,0.26,37.027,Optimal
