
Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-10-0.tsp ,81.68,24.12,17.52,144.66,267.98,30.4799,9.00067,6.5378,53.9816
grubhub-10-1.tsp ,87.72,10.3,0,122.6,220.62,39.7607,4.66866,0,55.5707
grubhub-10-2.tsp ,81.32,14.34,0,126.42,222.08,36.6174,6.45713,0,56.9254
grubhub-10-3.tsp ,61.86,14.34,8.24,118.58,203.02,30.4699,7.06334,4.05871,58.408
grubhub-10-4.tsp ,100.18,11.18,10.7,140.86,262.92,38.1028,4.25224,4.06968,53.5752
grubhub-10-5.tsp ,96.1,15.04,0,159.64,270.78,35.4901,5.55432,0,58.9556
grubhub-10-6.tsp ,82.68,12.76,0,106.26,201.7,40.9916,6.32623,0,52.6822
grubhub-10-7.tsp ,66.48,10.74,0,121.64,198.86,33.4306,5.40078,0,61.1687
grubhub-10-8.tsp ,105.04,4.66,0,141.2,250.9,41.8653,1.85731,0,56.2774
grubhub-10-9.tsp ,69.94,7.82,0,113.14,190.9,36.637,4.09639,0,59.2666

Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-10-0.tsp ,76.2,24.12,17.52,131.84,249.68,30.5191,9.66037,7.01698,52.8036
grubhub-10-1.tsp ,77.08,20.94,0,122.6,220.62,34.9379,9.49143,0,55.5707
grubhub-10-2.tsp ,68.92,24.16,5.64,110,208.72,33.0203,11.5753,2.70218,52.7022
grubhub-10-3.tsp ,59.82,26.3,5.36,101.04,192.52,31.0721,13.6609,2.78413,52.4829
grubhub-10-4.tsp ,90.6,20.76,10.7,131.34,253.4,35.7537,8.19258,4.22257,51.8311
grubhub-10-5.tsp ,85.32,25.82,0,143.68,254.82,33.4825,10.1326,0,56.3849
grubhub-10-6.tsp ,51.62,40.82,25.7,75.86,194,26.6082,21.0412,13.2474,39.1031
grubhub-10-7.tsp ,51.22,36.46,4.26,104.32,196.26,26.098,18.5774,2.17059,53.154
grubhub-10-8.tsp ,81.5,23.04,14.62,116.12,235.28,34.6396,9.79259,6.21387,49.354
grubhub-10-9.tsp ,66.18,11.58,0,107.8,185.56,35.665,6.24057,0,58.0944

Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-10-0.tsp ,63.16,37.16,17.52,105.8,223.64,28.2418,16.616,7.83402,47.3082
grubhub-10-1.tsp ,41.96,53.14,24.14,77.54,196.78,21.3233,27.0048,12.2675,39.4044
grubhub-10-2.tsp ,15.3,75.94,45.68,57.56,194.48,7.86713,39.0477,23.4883,29.5969
grubhub-10-3.tsp ,43.62,29.88,13.6,91.18,178.28,24.4671,16.7602,7.62845,51.1443
grubhub-10-4.tsp ,79.56,30.98,11.04,114.1,235.68,33.7576,13.1449,4.68432,48.4131
grubhub-10-5.tsp ,60.34,40.26,11.96,100.24,212.8,28.3553,18.9192,5.6203,47.1053
grubhub-10-6.tsp ,42.4,52.56,25.7,61.42,182.08,23.2865,28.8664,14.1147,33.7324
grubhub-10-7.tsp ,49.78,27.44,0,110.02,187.24,26.5862,14.655,0,58.7588
grubhub-10-8.tsp ,63.94,34.76,16.66,99,214.36,29.8283,16.2157,7.77197,46.184
grubhub-10-9.tsp ,55.8,17.6,5.18,90.86,169.44,32.932,10.3872,3.05713,53.6237

Instance,c(km),p(km),b(km),e(km),Total,c(%),p(%),b(%),e(%)
grubhub-10-0.tsp ,25.82,59.36,36.88,80.16,202.22,12.7683,29.3542,18.2376,39.64
grubhub-10-1.tsp ,18.84,72.76,33.72,56.82,182.14,10.3437,39.9473,18.5132,31.1958
grubhub-10-2.tsp ,29.84,55.12,26.38,81.24,192.58,15.4949,28.6219,13.6982,42.1851
grubhub-10-3.tsp ,25.1,58.16,13.6,60,156.86,16.0015,37.0776,8.67015,38.2507
grubhub-10-4.tsp ,68.1,42.44,11.04,100.72,222.3,30.6343,19.0913,4.96626,45.3081
grubhub-10-5.tsp ,53.06,47.54,11.96,92.28,204.84,25.9031,23.2084,5.8387,45.0498
grubhub-10-6.tsp ,68.1,29.76,0,75.76,173.62,39.2236,17.1409,0,43.6355
grubhub-10-7.tsp ,39.7,37.52,0,110.02,187.24,21.2027,20.0385,0,58.7588
grubhub-10-8.tsp ,58.6,40.1,16.66,93.46,208.82,28.0624,19.2031,7.97816,44.7562
grubhub-10-9.tsp ,42.9,37.02,5.18,83.4,168.5,25.4599,21.9703,3.07418,49.4955
