0	1	1	554	594	590	630	24	3	16	2	1	0	-1	-1
1	1	1	530	570	540	580	14	1	39	2	0	1	-1	-1
2	1	1	524	564	540	580	1	2	67	1	1	1	-1	-1
3	2	1	600	640	0	1440	32	20	10	2	1	1	-1	-1
4	2	1	825	865	0	1440	1	25	19	2	1	0	-1	-1
5	2	1	700	740	0	1440	3	30	33	1	1	1	-1	-1
6	2	1	920	960	0	1440	1	14	44	2	1	1	228	231
7	2	1	560	600	0	1440	0	7	77	2	1	1	153	157
8	1	1	369	409	400	440	19	14	86	2	0	0	-1	-1
9	1	2	760	800	770	810	1	14	93	2	0	0	-1	-1
10	2	1	1085	1125	0	1440	14	1	95	2	0	0	-1	-1
11	1	1	748	788	770	810	2	14	96	2	1	0	-1	-1
12	1	1	390	430	400	440	22	14	98	2	0	0	-1	-1
13	2	1	800	840	0	1440	14	14	102	2	0	0	-1	-1
14	2	2	750	790	0	1440	14	10	103	2	0	0	-1	-1
15	2	2	750	790	0	1440	14	3	111	2	0	0	-1	-1
16	1	1	760	800	770	810	1	14	115	2	1	0	-1	-1
17	1	1	745	785	770	810	38	14	116	2	1	0	-1	-1
18	1	1	742	782	770	810	6	14	119	2	1	0	-1	-1
19	2	1	1130	1170	0	1440	14	1	115	2	1	0	-1	-1
20	2	1	1130	1170	0	1440	14	38	116	2	1	0	-1	-1
21	2	1	1130	1170	0	1440	14	6	118	2	1	0	-1	-1
22	2	1	1130	1170	0	1440	14	6	119	2	1	0	-1	-1
23	2	1	1100	1140	0	1440	14	0	122	2	0	0	-1	-1
24	2	1	1100	1140	0	1440	35	2	123	2	0	1	-1	-1
