0	1	1	629	669	680	720	4	3	3	1	1	0	-1	-1
1	1	1	789	829	805	845	13	1	30	1	0	1	-1	-1
2	1	1	552	592	590	630	1	32	37	2	0	1	-1	-1
3	1	1	530	570	540	580	14	1	39	2	0	1	-1	-1
4	1	1	496	536	515	555	0	35	74	2	1	1	31	34
5	1	1	440	480	440	480	1	1	75	2	1	0	-1	-1
6	2	1	720	760	0	1440	32	1	37	2	0	1	-1	-1
7	2	1	605	645	0	1440	1	14	39	2	0	1	-1	-1
8	2	1	1130	1170	0	1440	1	16	62	1	1	1	-1	-1
9	2	1	690	730	0	1440	1	7	79	2	1	1	153	157
10	1	1	755	795	765	805	1	14	95	2	0	0	-1	-1
11	2	1	1085	1125	0	1440	14	1	95	2	0	0	-1	-1
12	1	1	390	430	400	440	22	14	98	2	0	0	-1	-1
13	2	2	750	790	0	1440	14	10	103	2	0	0	-1	-1
14	1	2	371	411	380	420	3	14	111	2	0	0	-1	-1
15	2	2	750	790	0	1440	14	3	111	2	0	0	-1	-1
16	2	1	1110	1150	0	1440	14	13	113	2	0	0	-1	-1
17	1	1	745	785	770	810	38	14	116	2	1	0	-1	-1
18	1	1	742	782	770	810	6	14	119	2	1	0	-1	-1
19	1	1	687	727	705	745	0	14	122	2	0	0	-1	-1
