Instance,LB,UB,Time,bcCountNodeProc,bcCountCutR1C,bcCountCutInMaster,bcCountCut3rowPackR1C
sfsarp-16-8-11.txt,3.2968,3.2968,17,1,0,0,0
sfsarp-16-8-21.txt,17.011,17.011,24,1,0,0,0
sfsarp-16-8-31.txt,3.21516,3.21516,31,1,0,0,0
sfsarp-16-8-41.txt,4.61758,4.61758,38,1,0,0,0
sfsarp-16-8-51.txt,-2.87515,-2.87515,21,1,0,0,0
sfsarp-50-25-11.txt,-1000000000000.0,3.7,127400,1,0,0,0
sfsarp-50-25-21.txt,-1000000000000.0,-21.0,125253,1,0,0,0
sfsarp-50-25-31.txt,-1000000000000.0,-9.6,125836,1,0,0,0
sfsarp-50-25-41.txt,-1000000000000.0,-15.0,125092,1,0,0,0
sfsarp-50-25-51.txt,-1000000000000.0,8.5,125355,1,0,0,0
