 1A
Instance,c(h),p(h),b(h),e(h),Total,c(%),p(%),b(%),e(%)
 sarp-10-10-A-1,1.57857,3.25274,0.170575,2.45097,7.45286,21.1807,43.6442,2.28872,32.8863
 sarp-10-10-A-2,1.35328,2.78409,0.121586,2.77499,7.03394,19.2393,39.5808,1.72857,39.4514
 sarp-10-10-B-1,1.73168,1.54454,0.214555,1.8932,5.38398,32.1635,28.6877,3.98507,35.1637
 sarp-10-10-B-2,1.39918,2.03254,0.338039,2.16514,5.9349,23.5755,34.2473,5.69579,36.4815
 sarp-10-10-C-1,3.6516,3.2813,0.711452,1.42334,9.06769,40.2705,36.1867,7.84601,15.6968
 sarp-10-10-C-2,2.8062,4.75528,1.70162,1.44218,10.7053,26.2133,44.4199,15.8952,13.4717
 sarp-10-15-A-1,1.28153,2.99305,0.149544,1.77543,6.19956,20.6713,48.2784,2.41217,28.6381
 sarp-10-15-A-2,1.08455,2.32264,0.409673,1.7465,5.56337,19.4945,41.7489,7.36375,31.3928
 sarp-10-15-B-1,1.93494,0,0,2.75853,4.69348,41.2262,0,0,58.7738
 sarp-10-15-B-2,1.67132,0,0,2.44625,4.11757,40.5899,0,0,59.4101
 sarp-10-15-C-1,1.64815,3.41235,2.15892,1.85864,9.07806,18.1553,37.589,23.7817,20.474
 sarp-10-15-C-2,3.5331,3.46718,1.01,1.71975,9.73003,36.3113,35.6338,10.3802,17.6747
 sarp-20-30-A-1,2.37522,0,0,4.43156,6.80677,34.8949,0,0,65.1051
 sarp-20-30-A-2,2.28886,3.77723,0.139024,3.49395,9.69906,23.5988,38.9442,1.43338,36.0236
 sarp-20-30-B-1,2.05405,3.3854,0.679595,3.6744,9.79344,20.9737,34.568,6.93929,37.519
 sarp-20-30-B-2,2.54288,2.34562,0.413362,3.83225,9.13411,27.8394,25.6798,4.52548,41.9553
 sarp-20-30-C-1,7.68312,0,0,4.33764,12.0208,63.9154,0,0,36.0846
 sarp-20-30-C-2,7.57385,0,0,3.80543,11.3793,66.5583,0,0,33.4417
 sarp-30-10-A-1,3.96104,0,0,5.46285,9.42389,42.0319,0,0,57.9681
 sarp-30-10-A-2,3.36236,3.11909,0.598901,7.00459,14.0849,23.872,22.1449,4.25207,49.731
 sarp-30-10-B-1,3.94149,4.37301,0.913586,5.52013,14.7482,26.7252,29.6511,6.19455,37.4291
 sarp-30-10-B-2,3.55463,4.1422,1.16293,5.12657,13.9863,25.415,29.6161,8.31474,36.6542
 sarp-30-10-C-1,10.2328,4.55792,2.51894,5.96269,23.2723,43.9697,19.5852,10.8238,25.6214
 sarp-30-10-C-2,10.0977,5.06834,2.95617,4.72252,22.8448,44.2016,22.186,12.9402,20.6722
 sarp-30-15-A-1,3.32163,3.69279,0.368932,5.61308,12.9964,25.558,28.4139,2.83872,43.1894
 sarp-30-15-A-2,3.13078,2.84814,1.03682,4.865,11.8807,26.3517,23.9727,8.72688,40.9486
 sarp-30-15-B-1,3.74845,3.40805,0.542281,4.39843,12.0972,30.9861,28.1722,4.4827,36.359
 sarp-30-15-B-2,3.66607,4.34057,0.687517,3.83929,12.5334,29.2503,34.6319,5.48546,30.6323
 sarp-30-15-C-1,11.3361,6.29201,1.96637,6.73477,26.3293,43.0552,23.8974,7.46839,25.579
 sarp-30-15-C-2,12.4798,0,0,5.70498,18.1848,68.6277,0,0,31.3723
