0	2	3	-1	1	25	17.570000	0.580000	9.770000
1	1	1	-1	3	25	26.040000	0.830000	9.770000
2	1	3	-1	1	25	17.570000	0.580000	9.770000
3	1	3	-1	1	25	17.570000	0.580000	9.770000
4	1	3	-1	1	25	17.570000	0.580000	9.770000
5	1	3	-1	1	25	17.570000	0.580000	9.770000
6	3	1	-1	0	25	26.040000	0.830000	9.770000
7	3	1	-1	0	25	26.040000	0.830000	9.770000
8	3	3	-1	1	25	17.570000	0.580000	9.770000
9	6	3	-1	1	25	17.570000	0.580000	9.770000
10	5	1	-1	0	25	26.040000	0.830000	9.770000
11	5	1	-1	0	25	26.040000	0.830000	9.770000
12	5	3	-1	1	25	17.570000	0.580000	9.770000
13	16	3	-1	1	25	17.570000	0.580000	9.770000
14	12	3	-1	1	25	17.570000	0.580000	9.770000
15	15	1	-1	0	25	26.040000	0.830000	9.770000
16	15	3	-1	1	25	17.570000	0.580000	9.770000
17	15	3	-1	1	25	17.570000	0.580000	9.770000
18	9	3	-1	1	25	17.570000	0.580000	9.770000
19	7	3	-1	1	25	17.570000	0.580000	9.770000
