Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sarp-20-10-A-10,23.5545,15.6600,10.5500,123.2654,0.66,48.4360,14.19
sarp-20-10-A-9,35.5021,22.2600,22.2070,59.8690,1.10,0.2387,15.85
sarp-20-10-B-10,106.8845,87.1710,87.1200,22.6865,0.70,0.0585,12.38
sarp-20-10-B-9,108.9187,103.2688,97.0440,12.2364,0.68,6.4144,2.88
sarp-20-10-C-10,405.7021,369.9040,369.8750,9.6863,0.94,0.0078,90.65
sarp-20-10-C-9,436.1670,365.8880,365.8490,19.2205,1.11,0.0107,1644.36
sarp-30-15-A-10,64.2737,62.4344,61.1990,5.0241,1.64,2.0187,2.51
sarp-30-15-A-9,74.6074,61.3890,61.3590,21.5916,0.85,0.0489,130.97
sarp-30-15-B-10,135.8684,119.9405,114.3000,18.8700,2.72,4.9348,101.89
sarp-30-15-B-9,99.4783,89.8770,89.8410,10.7271,2.02,0.0401,62.96
sarp-30-15-C-10,594.8001,538.3311,471.8030,26.0696,3.20,14.1008,7200.00
sarp-30-15-C-9,621.9279,551.2867,504.2910,23.3272,4.23,9.3192,7200.00
sarp-40-20-A-10,87.5106,83.2140,83.1280,5.2721,3.97,0.1035,29.35
sarp-40-20-A-9,57.4743,57.4743,56.7400,1.2941,1.36,1.2941,1.36
sarp-40-20-B-10,171.0165,150.8689,128.6940,32.8861,5.81,17.2307,7200.00
sarp-40-20-B-9,143.0915,127.3540,127.3520,12.3591,5.76,0.0016,562.90
sarp-40-20-C-10,852.3015,825.6980,638.1460,33.5590,12.84,29.3901,7200.00
sarp-40-20-C-9,819.8212,803.2031,703.2970,16.5683,15.29,14.2054,7200.00
