Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sarp-16-8-A-10,52.0140,53.1824,51.9450,0.1328,0.26,2.3821,0.26
sarp-16-8-A-9,40.7050,43.1443,39.4620,3.1499,0.14,9.3313,0.14
sarp-16-8-B-10,87.1910,93.8583,85.2360,2.2936,0.12,10.1158,0.12
sarp-16-8-B-9,69.3321,65.0650,65.0060,6.6549,0.37,0.0908,0.39
sarp-16-8-C-10,238.9943,236.4265,226.1550,5.6772,0.50,4.5418,4.68
sarp-16-8-C-9,308.1831,280.7370,280.7220,9.7823,0.36,0.0053,5.46
sarp-50-25-A-10,118.7157,106.4800,106.4020,11.5728,13.87,0.0733,736.66
sarp-50-25-A-9,130.1263,124.5090,124.4520,4.5594,9.69,0.0458,169.99
sarp-50-25-B-10,197.2303,190.0366,172.1480,14.5702,26.66,10.3914,7200.01
sarp-50-25-B-9,198.0932,168.0530,167.9580,17.9421,11.40,0.0566,5299.74
sarp-50-25-C-10,1160.2760,1151.7548,1031.0600,12.5323,28.38,11.7059,7200.00
sarp-50-25-C-9,1224.5520,1216.1321,1058.9600,15.6372,46.99,14.8421,7200.00
