Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sfsarp-16-8-11,62.9437,62.9437,61.4174,2.4851,0.57,2.4851,0.88
sfsarp-16-8-21,75.1184,73.8087,72.6712,3.3675,0.44,1.5653,1.92
sfsarp-16-8-31,95.1288,93.1652,93.0804,2.2007,0.32,0.0911,0.91
sfsarp-16-8-41,76.0711,71.2678,71.2111,6.8248,0.13,0.0796,3.59
sfsarp-16-8-51,72.0466,72.0466,69.6686,3.4133,0.43,3.4133,0.60
sfsarp-50-25-11,283.0405,280.9262,262.6170,7.7769,28.57,6.9718,7200.00
sfsarp-50-25-21,253.7850,251.7481,242.2460,4.7633,26.35,3.9225,7200.00
sfsarp-50-25-31,339.2307,335.7930,302.7460,12.0513,32.92,10.9158,7200.01
sfsarp-50-25-41,244.6888,240.6610,230.8210,6.0080,44.19,4.2630,7200.00
sfsarp-50-25-51,361.3054,357.3829,334.8350,7.9055,27.75,6.7340,7200.00
