Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sarp-16-8-A-1,26.2422,23.8906,18.9250,38.6642,0.36,26.2383,6.37
sarp-16-8-A-2,39.4424,32.1866,27.9130,41.3048,0.33,15.3104,9.42
sarp-16-8-B-1,67.4238,50.2220,50.1920,34.3318,0.34,0.0598,85.34
sarp-16-8-B-2,55.0422,42.2410,42.1760,30.5060,0.33,0.1541,55.94
sarp-16-8-C-1,200.0622,193.9405,191.1020,4.6887,0.34,1.4853,27.33
sarp-16-8-C-2,199.8182,162.7040,162.6110,22.8811,0.29,0.0572,2141.16
sarp-20-10-A-1,46.1883,29.6231,27.9580,65.2060,0.37,5.9557,166.70
sarp-20-10-A-2,58.7514,35.6590,35.6250,64.9162,0.51,0.0954,1553.34
sarp-20-10-B-1,88.9365,60.1160,60.0730,48.0474,0.45,0.0716,1867.66
sarp-20-10-B-2,97.2232,78.1964,65.4330,48.5844,0.40,19.5061,7200.00
sarp-20-10-C-1,217.3397,196.2490,196.2160,10.7655,0.73,0.0168,806.60
sarp-20-10-C-2,254.5810,237.3656,226.6790,12.3090,0.56,4.7144,7200.00
sarp-5-30-C-10,354.2190,346.8821,46.7520,657.6553,8.02,641.9621,7200.00
sarp-5-30-C-4,290.3554,202.5870,46.7520,521.0545,1.19,333.3226,7200.00
sarp-5-30-C-5,192.9315,135.7820,46.7520,312.6700,0.79,190.4304,122.39
sarp-5-30-C-9,352.2296,342.0624,46.7520,653.4001,2.58,631.6530,7200.00
