Instance,Root Objective,Best Bound,Best Integer,Root Gap (%),Root Time (s),Total Gap (%),Total Time (s)
sfsarp-10-5-1,59.2814,44.8316,44.8112,32.2915,0.07,0.0455,1.91
sfsarp-10-5-2,43.4733,43.4733,42.5360,2.2035,0.11,2.2035,0.25
sfsarp-10-5-3,40.0256,38.9542,37.8860,5.6475,0.09,2.8195,0.56
sfsarp-10-5-4,46.7271,44.0625,44.0322,6.1203,0.05,0.0688,0.33
sfsarp-10-5-5,29.1017,25.4396,22.6568,28.4458,0.09,12.2824,4.93
sfsarp-12-6-1,58.8765,50.8962,50.8666,15.7469,0.15,0.0582,317.78
sfsarp-12-6-2,68.0542,65.3789,63.5908,7.0189,0.16,2.8119,8.87
sfsarp-12-6-3,64.2200,59.8142,59.7167,7.5411,0.22,0.1633,63.62
sfsarp-12-6-4,64.3013,53.5730,53.5006,20.1880,0.15,0.1353,10.69
sfsarp-12-6-5,49.0014,46.1559,46.0942,6.3071,0.09,0.1339,0.61
sfsarp-6-3-1,22.7286,22.7286,22.2917,1.9599,0.02,1.9599,0.02
sfsarp-6-3-2,26.3744,26.5351,26.1614,0.8142,0.02,1.4284,0.02
sfsarp-6-3-3,22.6230,22.6230,20.4807,10.4601,0.03,10.4601,0.03
sfsarp-6-3-4,,,25.9656,,0.01,,0.01
sfsarp-6-3-5,25.5885,25.2222,25.2631,1.2880,0.06,0.1619,0.06
sfsarp-8-4-1,35.0334,35.0334,33.6747,4.0348,0.06,4.0348,0.12
sfsarp-8-4-2,,,29.6884,,0.01,,0.01
sfsarp-8-4-3,32.4411,32.4411,32.3200,0.3747,0.04,0.3747,0.04
sfsarp-8-4-4,32.0861,32.0861,32.0165,0.2174,0.02,0.2174,0.02
sfsarp-8-4-5,43.1051,43.1051,41.7512,3.2428,0.10,3.2428,0.17
